b60,b71,TS
1927.34459,2209.272727,8.875
1473.691565,1727.232948,1.65
1401.019686,1610.690941,1.45
1815.544174,2013.596191,8.2
1266.465909,1520.407955,3.875
1538.86501,1780.789682,2.1
2342.516485,2561.15669,11.8
1355.020967,1607.240557,2.4
1896.055389,2207.184681,8.725
1265.385188,1537.191328,1.775
1381.770006,1599.15685,4.475
1431.381864,1656.762937,3.9
1608.252255,1860.550245,2.175
1877.053173,2069.96376,4.95
1932.772407,2200.628521,9.0
2548.288443,2744.671268,5.775
1305.186039,1555.761039,1.9
1611.473431,1868.68758,1.675
1680.854193,2001.0,4.125
1714.838828,1941.838508,4.225
1450.246639,1730.12516,1.65
1623.501921,1834.53137,10.2
1893.795935,2152.319782,6.825
2161.5417,2383.181041,8.55
2059.790013,2276.238636,8.225
1342.48552,1582.178984,2.3
1513.052856,1760.008546,2.175
1476.729704,1731.989081,4.625
1992.398395,2204.182183,6.45
2695.649312,2833.29435,6.05
1734.115077,1951.196863,4.525
1597.60595,1833.26175,3.475
1493.208894,1716.303371,3.275
2197.398688,2471.356914,11.2
1667.125495,1883.934325,1.625
1507.691261,1760.916133,2.25
2711.132468,2889.987175,6.45
1785.654449,2021.56226,2.125
3017.524648,3241.31258,7.575
1722.002435,1945.934416,3.0
1490.752721,1745.306978,4.825
1449.845229,1744.548663,4.35
1602.391676,1836.408134,2.15
2153.155879,2393.359551,8.125
1317.508643,1575.78201,1.475
2508.74936,2667.828585,8.375
1475.028649,1732.911972,1.325
