b64,b82,b92,b141,TS
2053.696863,2462.461268,2581.629962,3035.075864,8.875
1565.482038,1926.221871,2167.81247,2956.348789,1.65
1462.391485,1808.931978,1965.433899,2665.232554,1.45
1899.350192,2236.046415,2379.487676,2874.393886,8.2
1346.658117,1735.424188,1967.182305,2701.075,3.875
1605.07153,1973.147175,2153.868967,2887.032758,2.1
2419.879001,2701.692061,2773.040013,2915.207426,11.8
1468.699424,1856.345711,2028.330826,2821.245999,2.4
2000.727489,2442.39405,2719.381073,3403.322994,8.725
1377.311758,1748.37142,1970.716569,2737.687134,1.775
1470.608195,1822.273848,2014.574264,2678.620198,4.475
1523.018199,1895.718152,2041.831302,2732.185789,3.9
1701.050324,2079.778129,2300.1812,3085.223453,2.175
1954.356227,2278.160152,2317.748536,2650.542491,4.95
2031.867798,2412.560179,2552.245198,3159.189981,9.0
2647.578812,2823.936437,2882.446388,2863.757624,5.775
1408.921104,1771.359091,1989.660552,2606.92224,1.9
1684.50016,2058.268566,2313.703425,3155.798335,1.675
1805.738636,2300.638764,2557.303457,3398.723271,4.125
1794.954545,2181.025448,2300.791613,2846.729994,4.225
1550.071223,1971.552497,2240.828265,3238.321383,1.65
1709.850512,1976.418374,2097.71975,2493.503041,10.2
2016.507202,2401.949264,2604.505442,3288.045935,6.825
2265.805349,2581.852034,2608.571768,2833.399589,8.55
2125.482234,2371.664052,2474.808739,2603.7508,8.225
1416.084032,1763.020889,1959.114417,2633.076436,2.3
1601.484412,2010.317455,2245.675898,3089.39579,2.175
1564.758981,1865.869441,2093.465263,2776.718626,4.625
2077.360514,2429.22809,2535.749278,3083.872231,6.45
2734.837,3030.574458,2987.845545,3045.019782,6.05
1833.65733,2118.991997,2234.476793,2464.076985,4.525
1689.056813,2084.78984,2176.94746,2717.758664,3.475
1573.516537,1978.162367,2129.261434,2914.810097,3.275
2330.944782,2656.997759,2801.904449,3047.425096,11.2
1728.833201,2088.690774,2254.143377,2896.411458,1.625
1605.360755,1988.00048,2177.054417,2874.168214,2.25
2824.381331,3029.521591,3098.031981,3127.077273,6.45
1879.600832,2225.908451,2437.079385,3077.940621,2.125
3103.244078,3386.729513,3334.724872,3281.896607,7.575
1830.637987,2225.212662,2377.821916,3007.999026,3.0
1579.212868,2001.565781,2168.510883,2992.664853,4.825
1569.291977,1982.884634,2221.627947,2953.189112,4.35
1654.745213,2127.898876,2276.95379,3051.218705,2.15
2238.24545,2618.814686,2752.488368,3190.063934,8.125
1416.706466,1849.31178,2003.323784,2766.398848,1.475
2585.214629,2818.204225,2849.572343,2891.083067,8.375
1555.150448,1973.177337,2203.048816,3046.599872,1.325
