b58,b144,b93,b161,b80,b60,b119,b99,b153,b91,b131,b147,TS
1881.037132,2982.832266,2599.96991,2353.316421,2418.870038,1927.34459,2888.841709,2710.246159,2234.233675,2562.490397,3176.982875,2746.527529,8.875
1418.174395,3011.646147,2203.565912,2493.297041,1866.397056,1473.691565,2645.414148,2322.00633,2563.526982,2133.595664,2931.377433,2840.884475,1.65
1362.081626,2671.350032,2003.668374,2082.014085,1768.93662,1401.019686,2398.948784,2084.866517,1969.869078,1927.709987,2725.492478,2373.635563,1.45
1764.202305,2859.525128,2396.018726,2259.520166,2209.444302,1815.544174,2703.488636,2458.721031,2098.948464,2363.109475,2987.673496,2586.536972,8.2
1220.163799,2694.230682,2008.962175,2056.893669,1688.117532,1266.465909,2412.862175,2101.468506,2105.840584,1929.493344,2721.755682,2418.674026,3.875
1514.338503,2906.664979,2206.112201,2369.46463,1939.633486,1538.86501,2625.238487,2278.394208,2226.877671,2104.037348,2977.799494,2617.725115,2.1
2292.600672,2921.18598,2799.09283,2301.855954,2697.297535,2342.516485,2907.262324,2829.435019,2174.661652,2750.423335,3172.683099,2653.212388,11.8
1313.671895,2820.178777,2068.633163,2347.705346,1797.621319,1355.020967,2482.501601,2184.865877,2214.290013,1991.172055,2831.256722,2612.088028,2.4
1828.486153,3413.470486,2747.671309,2974.81975,2415.544706,1896.055389,3150.336129,2840.141636,2824.721633,2694.02532,3560.125495,3174.654376,8.725
1225.483146,2758.983225,1997.589017,2181.607216,1688.193702,1265.385188,2405.965184,2058.687609,2169.702326,1941.44295,2721.631113,2490.867701,1.775
1331.904289,2704.616997,2036.338988,2051.739277,1774.909571,1381.770006,2444.420935,2158.440461,2125.142926,1994.864117,2683.608995,2462.448464,4.475
1398.732394,2791.403228,2077.445324,2378.809305,1844.217439,1431.381864,2483.375059,2161.206678,2183.555626,2010.697579,2832.862003,2593.601994,3.9
1548.262542,3087.41937,2334.575724,2556.476025,2037.880994,1608.252255,2768.580313,2433.318405,2395.13499,2267.333281,3119.243076,2864.991613,2.175
1839.873239,2613.613072,2336.045893,1831.392784,2236.712455,1877.053173,2551.743314,2369.160943,1986.259376,2300.029435,2719.358443,2329.836683,4.95
1905.732554,3137.59523,2588.690141,2719.550896,2355.370999,1932.772407,2951.559059,2643.488956,2740.24888,2518.454065,3145.650928,2953.27977,9.0
2500.354414,2901.597592,2914.669823,2151.164045,2840.652488,2548.288443,2970.277849,2935.98122,2168.969181,2853.400482,3124.862279,2604.94992,5.775
1276.120617,2671.434578,2011.15276,2013.571104,1724.740422,1305.186039,2366.282305,2076.139123,1980.630682,1965.588799,2662.839935,2375.500325,1.9
1537.84219,3168.24936,2370.40541,2636.339309,2011.528489,1611.473431,2782.825864,2436.319302,2671.366837,2256.704225,3139.728393,2908.847951,1.675
1644.409891,3386.838828,2590.930378,2954.93774,2230.402849,1680.854193,3074.040173,2677.602913,2726.204225,2521.865557,3464.883163,3152.130602,4.125
1673.613476,2841.822023,2310.898207,2275.927497,2137.108035,1714.838828,2606.09235,2358.297695,2090.825384,2291.016485,2952.756402,2454.68902,4.225
