b14,b145,b93,b99,b94,TS
654.1446863,2958.143406,2599.96991,2710.246159,2618.077145,8.875
499.3438835,3018.592024,2203.565912,2322.00633,2230.211742,1.65
521.584347,2635.059859,2003.668374,2084.866517,2034.107074,1.45
639.0632202,2837.705026,2396.018726,2458.721031,2411.419814,8.2
365.9993506,2661.075974,2008.962175,2101.468506,2038.919318,3.875
550.6664029,2885.416838,2206.112201,2278.394208,2239.717993,2.1
1044.432778,2871.881082,2799.09283,2829.435019,2815.894686,11.8
440.1174776,2797.040653,2068.633163,2184.865877,2101.15509,2.4
664.7186264,3394.078968,2747.671309,2840.141636,2773.490426,8.725
404.3590758,2732.206837,1997.589017,2058.687609,2016.988764,1.775
435.8902049,2719.887484,2036.338988,2158.440461,2060.298335,4.475
513.2910271,2768.589967,2077.445324,2161.206678,2106.329008,3.9
515.6520019,3092.970565,2334.575724,2433.318405,2367.689983,2.175
850.1492325,2626.329008,2336.045893,2369.160943,2345.885267,4.95
813.7837708,3141.168214,2588.690141,2643.488956,2609.784731,9.0
1078.742857,2902.14366,2914.669823,2935.98122,2938.200803,5.775
423.6983766,2646.200812,2011.15276,2076.139123,2026.871753,1.9
558.8778809,3154.319942,2370.40541,2436.319302,2403.700064,1.675
563.5680218,3370.689981,2590.930378,2677.602913,2623.294814,4.125
657.7983355,2787.40717,2310.898207,2358.297695,2313.651408,4.225
488.8085787,3237.829385,2265.800416,2373.955346,2289.946223,1.65
725.1309219,2439.741677,2124.304577,2148.419334,2127.696863,10.2
704.3689181,3259.889725,2632.370999,2748.597311,2653.981114,6.825
853.0788099,2820.285013,2633.666245,2685.495806,2651.986865,8.55
795.9478233,2522.347631,2513.876921,2523.488956,2533.708387,8.225
465.0978003,2611.754708,1982.671784,2072.419845,1997.254787,2.3
483.5586327,3077.705017,2280.635385,2420.60595,2317.814844,2.175
502.5089413,2774.225352,2135.121538,2196.234689,2162.76626,4.625
779.5577849,3007.79374,2554.7374,2662.84077,2581.761156,6.45
1358.619402,2927.511632,2986.675107,2965.516854,2960.104289,6.05
609.128041,2415.521447,2251.152689,2253.770487,2261.766805,4.525
513.9181833,2710.459566,2218.033075,2292.180567,2249.568444,3.475
527.193385,2930.38946,2152.189587,2259.483463,2177.615287,3.275
801.6600512,2994.204545,2850.684699,2868.065941,2839.909411,11.2
642.1425859,2841.745213,2295.214433,2334.243709,2322.199715,1.625
519.5947503,2834.519526,2207.941581,2302.119238,2234.645006,2.25
1272.621591,2985.053247,3095.785877,3123.598377,3093.385714,6.45
626.6165173,3088.584507,2461.002881,2575.960147,2489.398047,2.125
1636.894206,3188.53105,3349.639405,3308.940301,3345.426376,7.575
542.6381494,2960.238961,2416.184091,2539.776299,2443.034416,3.0
509.1691741,2988.864757,2212.290493,2292.427977,2245.275288,4.825
483.9329008,2972.965184,2268.508467,2360.51179,2308.496756,4.35
553.136414,2943.563539,2312.786517,2371.395157,2329.120589,2.15
858.2660231,3110.781295,2778.01899,2840.067574,2791.737775,8.125
447.4583867,2773.756402,2032.919334,2120.570262,2057.233035,1.475
1046.703425,2851.432939,2855.707426,2911.462708,2863.974552,8.375
511.0473752,3019.330186,2234.692382,2298.760243,2263.557458,1.325
