b160,b157,b93,b143,b100,b152,b113,b146,TS
2376.273367,2375.788892,2599.96991,3000.951504,2683.955666,2298.674776,2704.712228,2870.233515,8.875
2548.553885,2608.951575,2203.565912,2997.548346,2314.696313,2552.899509,2439.294034,2950.391676,1.65
2130.335147,2038.288252,2003.668374,2705.209507,2090.991997,2014.871959,2195.697823,2519.611396,1.45
2266.503361,2229.118598,2396.018726,2878.534411,2481.695743,2123.542894,2546.382202,2733.256402,8.2
2118.810714,2138.768994,2008.962175,2725.828571,2099.931006,2141.032143,2232.814773,2557.37224,3.875
2406.922931,2362.432822,2206.112201,2926.552936,2301.581896,2215.169331,2433.069315,2766.676215,2.1
2306.383643,2223.515045,2799.09283,2958.3121,2823.400128,2220.769366,2786.324264,2775.474392,11.8
2370.636044,2358.871319,2068.633163,2838.78217,2171.332106,2252.819782,2308.65573,2717.502401,2.4
2941.486311,2886.039721,2747.671309,3425.502295,2828.863111,2910.777338,2984.579047,3319.134357,8.725
2228.512581,2302.927204,1997.589017,2752.893021,2051.003798,2136.044786,2207.065991,2617.383922,1.775
2111.78281,2208.441101,2036.338988,2693.964149,2144.649808,2136.442862,2259.242958,2603.56146,4.475
2389.688875,2347.877987,2077.445324,2805.683336,2172.110777,2245.592024,2314.948726,2703.372844,3.9
2523.047318,2526.133565,2334.575724,3081.194968,2429.063934,2502.067416,2548.792372,3008.475866,2.175
1887.313024,1959.566229,2336.045893,2593.659598,2371.238171,1987.786833,2395.902358,2502.272353,4.95
2751.18678,2750.740877,2588.690141,3126.997439,2669.46927,2748.288572,2775.53249,3066.482875,9.0
2155.125201,2193.729695,2914.669823,2891.736437,2924.421188,2172.855377,2874.467897,2798.015088,5.775
2061.610714,2071.90763,2011.15276,2676.562013,2078.486039,2006.527435,2189.257305,2544.832143,1.9
2732.888764,2707.039373,2370.40541,3179.160851,2438.643086,2699.216869,2592.50112,3040.600032,1.675
2905.548015,2829.53185,2590.930378,3400.472471,2707.296895,2821.197023,2890.085948,3284.109955,4.125
2339.451985,2202.455026,2310.898207,2852.390525,2346.596991,2007.412292,2486.056818,2625.602753,4.225
3027.960627,3068.007843,2265.800416,3293.901569,2392.514885,3031.84299,2580.615717,3194.004962,1.65
1774.997279,1803.052017,2124.304577,2498.544334,2163.485115,1830.118118,2143.331466,2279.87596,10.2
2815.34299,2758.891485,2632.370999,3323.706146,2751.00144,2744.923816,2880.072503,3179.911492,6.825
2242.776547,2218.585061,2633.666245,2890.28897,2681.375218,2226.413673,2684.487735,2729.838266,8.55
1737.167734,1672.598431,2513.876921,2604.193822,2510.362516,1660.572823,2483.511684,2376.706786,8.225
2075.916284,2087.592182,1982.671784,2641.238171,2066.477924,2132.929103,2194.590125,2525.813103,2.3
2659.385504,2678.952524,2280.635385,3060.76626,2419.725589,2672.348315,2566.436303,2995.490109,2.175
2222.111094,2158.410824,2135.121538,2799.786042,2187.578256,2092.337237,2279.932584,2668.689033,4.625
2496.851204,2554.536597,2554.7374,3029.428892,2647.905618,2528.175923,2676.742857,2897.798716,6.45
2184.802026,2199.865643,2986.675107,3038.39579,2954.301788,2233.330907,2851.140845,2781.28533,6.05
1623.538252,1629.640045,2251.152689,2488.628521,2252.854994,1645.372919,2252.096191,2319.492478,4.525
2215.902516,2190.559266,2218.033075,2765.381389,2292.980693,2166.019307,2401.95474,2640.009179,3.475
2492.348473,2412.223137,2152.189587,2940.510049,2268.184839,2339.014559,2425.645355,2862.215699,3.275
2494.231274,2325.146287,2850.684699,3044.144686,2851.598271,2315.828585,2854.770166,2866.271287,11.2
2413.602785,2281.443425,2295.214433,2912.018516,2349.701219,2094.572242,2524.153347,2708.64947,1.625
2347.494558,2312.816421,2207.941581,2866.167093,2293.802817,2289.252081,2418.693022,2753.109315,2.25
2229.250325,2306.391396,3095.785877,3144.939773,3132.313799,2319.476786,3036.896753,2872.048701,6.45
2528.983515,2597.430698,2461.002881,3052.972471,2574.535051,2614.326344,2658.112836,3005.549776,2.125
2532.216229,2632.537292,3349.639405,3242.358195,3350.822663,2446.772407,3281.840269,3083.240237,7.575
2470.259091,2384.438149,2416.184091,3036.261364,2542.388149,2296.581006,2609.026461,2856.721104,3.0
2626.715429,2519.102913,2212.290493,3051.790333,2289.455986,2446.497439,2485.453905,2911.776248,4.825
2546.681437,2496.842697,2268.508467,3005.991613,2357.953315,2461.030068,2482.277101,2901.45292,4.35
2487.648046,2378.01725,2312.786517,3055.080551,2388.575408,2233.287545,2570.336287,2827.758506,2.15
2631.388511,2640.958854,2778.01899,3147.089413,2849.932901,2447.335813,2842.614812,2970.435987,8.125
2393.260403,2376.661812,2032.919334,2787.428297,2131.600992,2273.491997,2287.524968,2697.338828,1.475
2097.96783,1978.331786,2855.707426,2875.523367,2876.669974,1995.971191,2845.613956,2704.133483,8.375
2645.235595,2517.283131,2234.692382,3070.915973,2318.864917,2351.990717,2545.021127,2899.372119,1.325
