b101,b136,b116,b99,b160,b88,b98,b133,b90,b33,b144,b128,b26,b61,b156,b31,b24,b92,b59,b97,b44,b161,b123,b129,b57,b87,b27,b152,b49,b58,b124,b105,b86,b157,b148,b84,b29,TS
2682.713988,3164.052497,2730.81226,2710.246159,2376.273367,2525.767125,2713.945583,3168.12356,2547.78041,1293.257362,2982.832266,3025.588988,1001.71911,1949.268246,2413.050896,1263.622119,925.5065621,2581.629962,1904.703105,2693.334507,1492.940621,2353.316421,3003.538252,3061.338508,1844.445262,2544.306818,1098.25064,2298.674776,1575.701504,1881.037132,3019.416453,2717.131882,2562.556818,2375.788892,2638.18694,2512.917734,1243.667254,8.875
2316.702959,2931.966767,2485.44833,2322.00633,2548.553885,2057.126128,2314.51179,2958.013768,2105.739199,920.0427283,3011.646147,2865.462731,703.9006172,1502.337395,2614.22551,906.7406235,656.80978,2167.81247,1446.081025,2287.9185,1073.933376,2493.297041,2744.751385,2888.831302,1398.933376,2049.217756,774.0436778,2552.899509,1137.051432,1418.174395,2767.008704,2358.733819,2040.801709,2608.951575,2744.979427,1999.43029,884.2285172,1.65
2107.577465,2636.946223,2312.756242,2084.866517,2130.335147,1929.082266,2078.549296,2663.974072,1927.212228,932.3660371,2671.350032,2581.644686,717.2802497,1420.408771,2042.28041,922.5171255,665.1171575,1965.433899,1381.783771,2069.458067,1020.035531,2082.014085,2507.414052,2634.347471,1327.251601,1913.006082,789.7599232,2014.871959,1099.822023,1362.081626,2528.960307,2152.572983,1894.587388,2038.288252,2269.785051,1855.68662,900.5462548,1.45
2495.869558,2855.631882,2605.190301,2458.721031,2266.503361,2299.759763,2443.146447,2934.696703,2340.236236,1226.702145,2859.525128,2844.610435,967.6101152,1840.352913,2309.214149,1204.970871,879.5112036,2379.487676,1789.403649,2438.304577,1385.759123,2259.520166,2773.107394,2886.476953,1733.706626,2301.643726,1058.668534,2123.542894,1478.825384,1764.202305,2790.131402,2517.0637,2302.255762,2229.118598,2465.533611,2257.223752,1196.658131,8.2
2118.593344,2671.97289,2352.704221,2101.468506,2118.810714,1885.116396,2091.351136,2709.329058,1914.362013,768.5180195,2694.230682,2620.5875,590.2741883,1290.728734,2131.622078,747.299513,536.9366883,1967.182305,1243.686039,2069.237013,890.5012987,2056.893669,2526.456331,2647.805844,1198.467695,1854.401461,654.6553571,2141.032143,954.4051948,1220.163799,2556.157468,2177.930357,1822.742532,2138.768994,2303.523864,1783.138636,749.6649351,3.875
2319.546289,2878.794429,2563.530305,2278.394208,2406.922931,2097.762621,2262.383447,2903.464947,2101.161418,994.0235797,2906.664979,2788.439152,765.8806773,1551.521127,2425.116474,989.1607849,713.8795696,2153.868967,1526.641399,2256.945878,1109.205254,2369.46463,2732.846653,2850.541225,1476.686818,2087.76721,842.329799,2215.169331,1219.21918,1514.338503,2754.796487,2400.906156,2076.263016,2362.432822,2520.652951,2027.173129,959.4396265,2.1
2825.698143,2941.717029,2870.223592,2829.435019,2306.383643,2749.363476,2828.560179,3025.333547,2749.704866,1691.489757,2921.18598,3010.9371,1415.368278,2367.141005,2265.535691,1680.326344,1321.413092,2773.040013,2317.893246,2823.439501,1875.283771,2301.855954,2998.828745,3061.754962,2253.575064,2730.048656,1518.222951,2220.769366,1969.831946,2292.600672,3019.175896,2847.274328,2710.12404,2223.515045,2549.888924,2691.120519,1672.103713,11.8
2177.006722,2912.431178,2360.877241,2184.865877,2370.636044,1959.902209,2180.830346,2883.618758,1979.199104,864.3509923,2820.178777,2713.325224,657.6782971,1377.049776,2382.547375,848.7426376,614.1930218,2028.330826,1334.471511,2156.733675,994.8919654,2347.705346,2622.599552,2744.388604,1294.448303,1971.056338,730.0227273,2252.819782,1040.090269,1313.671895,2649.277049,2214.201184,1980.207266,2358.871319,2522.236556,1930.746639,840.2243918,2.4
2838.31793,3416.005855,3082.417788,2840.141636,2941.486311,2646.914543,2838.195442,3494.49818,2676.640133,1223.447381,3413.470486,3334.530464,919.0330749,1930.190853,2951.21649,1210.470802,869.0914702,2719.381073,1861.417788,2827.612439,1388.368887,2974.81975,3262.727963,3382.075803,1800.067257,2638.717202,1012.015034,2910.777338,1501.933217,1828.486153,3281.816268,2925.766893,2629.289761,2886.039721,3037.372369,2519.941446,1165.542016,8.725
2067.639183,2680.359867,2294.728913,2058.687609,2228.512581,1859.101757,2065.969299,2754.990663,1911.692673,798.5016617,2758.983225,2648.408767,622.1876879,1289.181833,2288.524134,796.3101757,555.4620984,1970.716569,1245.580313,2059.794429,932.1000158,2181.607216,2516.015034,2685.752018,1206.168856,1848.285488,687.1087197,2136.044786,970.2055705,1225.483146,2539.932584,2142.165374,1844.619085,2302.927204,2430.805824,1806.918975,772.330432,1.775
