b15,b146,b152,b92,TS
693.2098271,2870.233515,2298.674776,2581.629962,8.875
517.0110777,2950.391676,2552.899509,2167.81247,1.65
529.6040333,2519.611396,2014.871959,1965.433899,1.45
653.8898848,2733.256402,2123.542894,2379.487676,8.2
394.2272727,2557.37224,2141.032143,1967.182305,3.875
550.0468429,2766.676215,2215.169331,2153.868967,2.1
1064.662932,2775.474392,2220.769366,2773.040013,11.8
469.4138924,2717.502401,2252.819782,2028.330826,2.4
697.235322,3319.134357,2910.777338,2719.381073,8.725
433.8919133,2617.383922,2136.044786,1970.716569,1.775
462.1117157,2603.56146,2136.442862,2014.574264,4.475
543.1737617,2703.372844,2245.592024,2041.831302,3.9
542.5855357,3008.475866,2502.067416,2300.1812,2.175
869.0746954,2502.272353,1987.786833,2317.748536,4.95
836.2544814,3066.482875,2748.288572,2552.245198,9.0
1105.2939,2798.015088,2172.855377,2882.446388,5.775
449.1090909,2544.832143,2006.527435,1989.660552,1.9
586.1283611,3040.600032,2699.216869,2313.703425,1.675
584.3810819,3284.109955,2821.197023,2557.303457,4.125
683.4015685,2625.602753,2007.412292,2300.791613,4.225
511.3516325,3194.004962,3031.84299,2240.828265,1.65
737.6888604,2279.87596,1830.118118,2097.71975,10.2
731.7080666,3179.911492,2744.923816,2604.505442,6.825
897.1956006,2729.838266,2226.413673,2608.571768,8.55
840.4939181,2376.706786,1660.572823,2474.808739,8.225
491.1215382,2525.813103,2132.929103,1959.114417,2.3
507.0037981,2995.490109,2672.348315,2245.675898,2.175
535.0553885,2668.689033,2092.337237,2093.465263,4.625
807.5804173,2897.798716,2528.175923,2535.749278,6.45
1387.750277,2781.28533,2233.330907,2987.845545,6.05
634.7588028,2319.492478,1645.372919,2234.476793,4.525
555.1221712,2640.009179,2166.019307,2176.94746,3.475
554.4427916,2862.215699,2339.014559,2129.261434,3.275
827.403009,2866.271287,2315.828585,2801.904449,11.2
637.0602944,2708.64947,2094.572242,2254.143377,1.625
539.5833867,2753.109315,2289.252081,2177.054417,2.25
1311.322565,2872.048701,2319.476786,3098.031981,6.45
646.9795134,3005.549776,2614.326344,2437.079385,2.125
1668.557939,3083.240237,2446.772407,3334.724872,7.575
574.374513,2856.721104,2296.581006,2377.821916,3.0
540.8153009,2911.776248,2446.497439,2168.510883,4.825
506.9200823,2901.45292,2461.030068,2221.627947,4.35
578.2362716,2827.758506,2233.287545,2276.95379,2.15
879.8995094,2970.435987,2447.335813,2752.488368,8.125
478.5102433,2697.338828,2273.491997,2003.323784,1.475
1076.611556,2704.133483,1995.971191,2849.572343,8.375
510.5680218,2899.372119,2351.990717,2203.048816,1.325
