b92,b143,TS
2581.629962,3000.951504,8.875
2167.81247,2997.548346,1.65
1965.433899,2705.209507,1.45
2379.487676,2878.534411,8.2
1967.182305,2725.828571,3.875
2153.868967,2926.552936,2.1
2773.040013,2958.3121,11.8
2028.330826,2838.78217,2.4
2719.381073,3425.502295,8.725
1970.716569,2752.893021,1.775
2014.574264,2693.964149,4.475
2041.831302,2805.683336,3.9
2300.1812,3081.194968,2.175
2317.748536,2593.659598,4.95
2552.245198,3126.997439,9.0
2882.446388,2891.736437,5.775
1989.660552,2676.562013,1.9
2313.703425,3179.160851,1.675
2557.303457,3400.472471,4.125
2300.791613,2852.390525,4.225
2240.828265,3293.901569,1.65
2097.71975,2498.544334,10.2
2604.505442,3323.706146,6.825
2608.571768,2890.28897,8.55
2474.808739,2604.193822,8.225
1959.114417,2641.238171,2.3
2245.675898,3060.76626,2.175
2093.465263,2799.786042,4.625
2535.749278,3029.428892,6.45
2987.845545,3038.39579,6.05
2234.476793,2488.628521,4.525
2176.94746,2765.381389,3.475
2129.261434,2940.510049,3.275
2801.904449,3044.144686,11.2
2254.143377,2912.018516,1.625
2177.054417,2866.167093,2.25
3098.031981,3144.939773,6.45
2437.079385,3052.972471,2.125
3334.724872,3242.358195,7.575
2377.821916,3036.261364,3.0
2168.510883,3051.790333,4.825
2221.627947,3005.991613,4.35
2276.95379,3055.080551,2.15
2752.488368,3147.089413,8.125
2003.323784,2787.428297,1.475
2849.572343,2875.523367,8.375
2203.048816,3070.915973,1.325
