b61,b59,b149,b144,b93,b33,b99,TS
1949.268246,1904.703105,2594.319462,2982.832266,2599.96991,1293.257362,2710.246159,8.875
1502.337395,1446.081025,2687.247349,3011.646147,2203.565912,920.0427283,2322.00633,1.65
1420.408771,1381.783771,2252.847151,2671.350032,2003.668374,932.3660371,2084.866517,1.45
1840.352913,1789.403649,2427.612516,2859.525128,2396.018726,1226.702145,2458.721031,8.2
1290.728734,1243.686039,2276.07289,2694.230682,2008.962175,768.5180195,2101.468506,3.875
1551.521127,1526.641399,2517.903149,2906.664979,2206.112201,994.0235797,2278.394208,2.1
2367.141005,2317.893246,2503.103233,2921.18598,2799.09283,1691.489757,2829.435019,11.8
1377.049776,1334.471511,2485.403169,2820.178777,2068.633163,864.3509923,2184.865877,2.4
1930.190853,1861.417788,3046.44026,3413.470486,2747.671309,1223.447381,2840.141636,8.725
1289.181833,1245.580313,2391.557683,2758.983225,1997.589017,798.5016617,2058.687609,1.775
1405.916293,1357.536492,2340.800576,2704.616997,2036.338988,861.824904,2158.440461,4.475
1446.323627,1414.623675,2463.541383,2791.403228,2077.445324,949.3082766,2161.206678,3.9
1637.026586,1578.05982,2734.345466,3087.41937,2334.575724,1013.583795,2433.318405,2.175
1896.564013,1858.252572,2138.258269,2613.613072,2336.045893,1306.591233,2369.160943,4.95
1945.086268,1919.886204,2831.302497,3137.59523,2588.690141,1342.527849,2643.488956,9.0
2571.613323,2524.055538,2374.870947,2901.597592,2914.669823,1780.333387,2935.98122,5.775
1318.43961,1290.60276,2198.33263,2671.434578,2011.15276,838.2061688,2076.139123,1.9
1644.791293,1574.550576,2818.288412,3168.24936,2370.40541,1020.93662,2436.319302,1.675
1698.314661,1663.356274,3038.618118,3386.838828,2590.930378,1039.393246,2677.602913,4.125
1731.045615,1694.431018,2421.073944,2841.822023,2310.898207,1173.447343,2358.297695,4.225
1464.629001,1434.919334,3072.204545,3267.208227,2265.800416,920.634443,2373.955346,1.65
1644.162452,1606.372439,1945.778969,2469.836428,2124.304577,1163.617638,2148.419334,10.2
1923.047055,1866.145967,2987.31178,3295.684219,2632.370999,1264.829065,2748.597311,6.825
2176.712296,2145.395157,2435.732394,2858.7047,2633.666245,1503.813262,2685.495806,8.55
2083.46719,2035.042254,1982.184859,2564.057458,2513.876921,1410.296575,2523.488956,8.225
1365.393891,1319.465263,2287.729704,2631.990347,1982.671784,870.8455452,2072.419845,2.3
1544.198133,1483.720525,2766.60959,3070.843804,2280.635385,910.4162051,2420.60595,2.175
1508.158253,1443.900617,2352.337553,2790.491375,2135.121538,986.8746637,2196.234689,4.625
2022.9,1956.984751,2623.588122,3021.153933,2554.7374,1362.513162,2662.84077,6.45
2737.477924,2641.267131,2510.050957,2982.503402,2986.675107,2007.408134,2965.516854,6.05
1755.802817,1712.264085,1980.600672,2459.097151,2251.152689,1160.998239,2253.770487,4.525
1617.344991,1578.012818,2409.513372,2741.224561,2218.033075,1057.402437,2292.180567,3.475
1514.614812,1472.160627,2629.113784,2937.205412,2152.189587,987.0307011,2259.483463,3.275
2224.515685,2180.010083,2624.692061,3032.734955,2850.684699,1458.556338,2868.065941,11.2
1670.722899,1665.464156,2457.824814,2875.566387,2295.214433,1110.659915,2334.243709,1.625
1530.681658,1486.616037,2514.825544,2862.755602,2207.941581,1009.888764,2302.119238,2.25
2734.440584,2688.086851,2544.241396,3069.710714,3095.785877,1970.92013,3123.598377,6.45
1813.307458,1758.074104,2706.987996,3075.047535,2461.002881,1131.713348,2575.960147,2.125
3028.267286,3004.784091,2728.425576,3220.934379,3349.639405,2270.557458,3308.940301,7.575
1736.064123,1708.833766,2565.830357,2998.010065,2416.184091,1126.091558,2539.776299,3.0
1506.546095,1476.383643,2772.215269,3026.90749,2212.290493,978.2525608,2292.427977,4.825
1477.402595,1422.141795,2620.804241,2993.073904,2268.508467,909.5833201,2360.51179,4.35
1629.112676,1570.873081,2618.667827,2998.757557,2312.786517,1035.210476,2371.395157,2.15
2181.704067,2118.273303,2797.003323,3144.558949,2778.01899,1489.107612,2840.067574,8.125
1336.603553,1300.237996,2473.060499,2786.065941,2032.919334,849.831306,2120.570262,1.475
2538.573624,2475.53089,2370.871319,2866.451184,2855.707426,1737.915173,2911.462708,8.375
1484.341229,1470.106434,2705.108035,3043.764565,2234.692382,940.2824904,2298.760243,1.325
