b144,b93,b80,TS
2982.832266,2599.96991,2418.870038,8.875
3011.646147,2203.565912,1866.397056,1.65
2671.350032,2003.668374,1768.93662,1.45
2859.525128,2396.018726,2209.444302,8.2
2694.230682,2008.962175,1688.117532,3.875
2906.664979,2206.112201,1939.633486,2.1
2921.18598,2799.09283,2697.297535,11.8
2820.178777,2068.633163,1797.621319,2.4
3413.470486,2747.671309,2415.544706,8.725
2758.983225,1997.589017,1688.193702,1.775
2704.616997,2036.338988,1774.909571,4.475
2791.403228,2077.445324,1844.217439,3.9
3087.41937,2334.575724,2037.880994,2.175
2613.613072,2336.045893,2236.712455,4.95
3137.59523,2588.690141,2355.370999,9.0
2901.597592,2914.669823,2840.652488,5.775
2671.434578,2011.15276,1724.740422,1.9
3168.24936,2370.40541,2011.528489,1.675
3386.838828,2590.930378,2230.402849,4.125
2841.822023,2310.898207,2137.108035,4.225
3267.208227,2265.800416,1920.141005,1.65
2469.836428,2124.304577,1955.15621,10.2
3295.684219,2632.370999,2356.663732,6.825
2858.7047,2633.666245,2541.645197,8.55
2564.057458,2513.876921,2355.828905,8.225
2631.990347,1982.671784,1710.660706,2.3
3070.843804,2280.635385,1963.762937,2.175
2790.491375,2135.121538,1841.724956,4.625
3021.153933,2554.7374,2390.982825,6.45
2982.503402,2986.675107,3005.221079,6.05
2459.097151,2251.152689,2080.581146,4.525
2741.224561,2218.033075,2039.00902,3.475
2937.205412,2152.189587,1932.211426,3.275
3032.734955,2850.684699,2630.867958,11.2
2875.566387,2295.214433,2050.110935,1.625
2862.755602,2207.941581,1943.87532,2.25
3069.710714,3095.785877,3032.888149,6.45
3075.047535,2461.002881,2195.691581,2.125
3220.934379,3349.639405,3354.913892,7.575
2998.010065,2416.184091,2169.614773,3.0
3026.90749,2212.290493,1945.669174,4.825
2993.073904,2268.508467,1921.826871,4.35
2998.757557,2312.786517,2065.27805,2.15
3144.558949,2778.01899,2576.246716,8.125
2786.065941,2032.919334,1790.893566,1.475
2866.451184,2855.707426,2809.408451,8.375
3043.764565,2234.692382,1936.682458,1.325
