b160,b143,b92,b100,b43,b80,TS
2376.273367,3000.951504,2581.629962,2683.955666,1475.072503,2418.870038,8.875
2548.553885,2997.548346,2167.81247,2314.696313,1062.085931,1866.397056,1.65
2130.335147,2705.209507,1965.433899,2090.991997,1006.934539,1768.93662,1.45
2266.503361,2878.534411,2379.487676,2481.695743,1371.90653,2209.444302,8.2
2118.810714,2725.828571,1967.182305,2099.931006,877.6876623,1688.117532,3.875
2406.922931,2926.552936,2153.868967,2301.581896,1099.464947,1939.633486,2.1
2306.383643,2958.3121,2773.040013,2823.400128,1861.589469,2697.297535,11.8
2370.636044,2838.78217,2028.330826,2171.332106,981.1073944,1797.621319,2.4
2941.486311,3425.502295,2719.381073,2828.863111,1374.080551,2415.544706,8.725
2228.512581,2752.893021,1970.716569,2051.003798,921.6382339,1688.193702,1.775
2111.78281,2693.964149,2014.574264,2144.649808,975.9268566,1774.909571,4.475
2389.688875,2805.683336,2041.831302,2172.110777,1063.581421,1844.217439,3.9
2523.047318,3081.194968,2300.1812,2429.063934,1170.07153,2037.880994,2.175
1887.313024,2593.659598,2317.748536,2371.238171,1447.005064,2236.712455,4.95
2751.18678,3126.997439,2552.245198,2669.46927,1506.167734,2355.370999,9.0
2155.125201,2891.736437,2882.446388,2924.421188,1978.61236,2840.652488,5.775
2061.610714,2676.562013,1989.660552,2078.486039,962.712987,1724.740422,1.9
2732.888764,3179.160851,2313.703425,2438.643086,1135.178137,2011.528489,1.675
2905.548015,3400.472471,2557.303457,2707.296895,1223.308099,2230.402849,4.125
2339.451985,2852.390525,2300.791613,2346.596991,1303.15749,2137.108035,4.225
3027.960627,3293.901569,2240.828265,2392.514885,1034.723271,1920.141005,1.65
1774.997279,2498.544334,2097.71975,2163.485115,1270.59283,1955.15621,10.2
2815.34299,3323.706146,2604.505442,2751.00144,1398.169174,2356.663732,6.825
2242.776547,2890.28897,2608.571768,2681.375218,1657.638867,2541.645197,8.55
1737.167734,2604.193822,2474.808739,2510.362516,1572.341229,2355.828905,8.225
2075.916284,2641.238171,1959.114417,2066.477924,976.7075487,1710.660706,2.3
2659.385504,3060.76626,2245.675898,2419.725589,1054.801234,1963.762937,2.175
2222.111094,2799.786042,2093.465263,2187.578256,1112.102864,1841.724956,4.625
2496.851204,3029.428892,2535.749278,2647.905618,1525.692456,2390.982825,6.45
2184.802026,3038.39579,2987.845545,2954.301788,2141.064251,3005.221079,6.05
1623.538252,2488.628521,2234.476793,2252.854994,1325.49968,2080.581146,4.525
2215.902516,2765.381389,2176.94746,2292.980693,1200.97009,2039.00902,3.475
2492.348473,2940.510049,2129.261434,2268.184839,1095.300522,1932.211426,3.275
2494.231274,3044.144686,2801.904449,2851.598271,1659.915013,2630.867958,11.2
2413.602785,2912.018516,2254.143377,2349.701219,1224.242285,2050.110935,1.625
2347.494558,2866.167093,2177.054417,2293.802817,1110.536652,1943.87532,2.25
2229.250325,3144.939773,3098.031981,3132.313799,2156.33474,3032.888149,6.45
2528.983515,3052.972471,2437.079385,2574.535051,1303.942061,2195.691581,2.125
2532.216229,3242.358195,3334.724872,3350.822663,2474.670775,3354.913892,7.575
2470.259091,3036.261364,2377.821916,2542.388149,1293.933117,2169.614773,3.0
2626.715429,3051.790333,2168.510883,2289.455986,1084.616837,1945.669174,4.825
2546.681437,3005.991613,2221.627947,2357.953315,1048.037822,1921.826871,4.35
2487.648046,3055.080551,2276.95379,2388.575408,1143.105396,2065.27805,2.15
2631.388511,3147.089413,2752.488368,2849.932901,1631.253363,2576.246716,8.125
2393.260403,2787.428297,2003.323784,2131.600992,940.8972471,1790.893566,1.475
2097.96783,2875.523367,2849.572343,2876.669974,1939.513444,2809.408451,8.375
2645.235595,3070.915973,2203.048816,2318.864917,1058.368758,1936.682458,1.325
