b145,b93,b16,TS
2958.143406,2599.96991,728.3165813,8.875
3018.592024,2203.565912,534.7276468,1.65
2635.059859,2003.668374,536.7162292,1.45
2837.705026,2396.018726,672.6080346,8.2
2661.075974,2008.962175,417.9714286,3.875
2885.416838,2206.112201,557.1910112,2.1
2871.881082,2799.09283,1086.975992,11.8
2797.040653,2068.633163,493.6203585,2.4
3394.078968,2747.671309,725.9139104,8.725
2732.206837,1997.589017,452.6192436,1.775
2719.887484,2036.338988,487.2167093,4.475
2768.589967,2077.445324,567.328533,3.9
3092.970565,2334.575724,565.536319,2.175
2626.329008,2336.045893,884.8751385,4.95
3141.168214,2588.690141,856.3207426,9.0
2902.14366,2914.669823,1130.335634,5.775
2646.200812,2011.15276,469.0074675,1.9
3154.319942,2370.40541,608.2884123,1.675
3370.689981,2590.930378,603.1882202,4.125
2787.40717,2310.898207,705.1935019,4.225
3237.829385,2265.800416,533.8737196,1.65
2439.741677,2124.304577,752.5396927,10.2
3259.889725,2632.370999,758.6597311,6.825
2820.285013,2633.666245,933.9322678,8.55
2522.347631,2513.876921,875.5289693,8.225
2611.754708,1982.671784,513.1368887,2.3
3077.705017,2280.635385,525.0090204,2.175
2774.225352,2135.121538,560.8102548,4.625
3007.79374,2554.7374,834.2778491,6.45
2927.511632,2986.675107,1410.557367,6.05
2415.521447,2251.152689,658.7767286,4.525
2710.459566,2218.033075,589.8971356,3.475
2930.38946,2152.189587,577.5780978,3.275
2994.204545,2850.684699,852.0934699,11.2
2841.745213,2295.214433,642.9886058,1.625
2834.519526,2207.941581,560.40621,2.25
2985.053247,3095.785877,1346.945455,6.45
3088.584507,2461.002881,664.9316581,2.125
3188.53105,3349.639405,1692.295455,7.575
2960.238961,2416.184091,601.2147727,3.0
2988.864757,2212.290493,567.0140845,4.825
2972.965184,2268.508467,525.9870233,4.35
2943.563539,2312.786517,598.1235955,2.15
3110.781295,2778.01899,901.3313815,8.125
2773.756402,2032.919334,503.7863316,1.475
2851.432939,2855.707426,1109.076665,8.375
3019.330186,2234.692382,518.6854994,1.325
