b55,b92,b143,b60,b59,TS
1756.961428,2581.629962,3000.951504,1927.34459,1904.703105,8.875
1347.152398,2167.81247,2997.548346,1473.691565,1446.081025,1.65
1250.128041,1965.433899,2705.209507,1401.019686,1381.783771,1.45
1664.84395,2379.487676,2878.534411,1815.544174,1789.403649,8.2
1141.161201,1967.182305,2725.828571,1266.465909,1243.686039,3.875
1387.38044,2153.868967,2926.552936,1538.86501,1526.641399,2.1
2166.25112,2773.040013,2958.3121,2342.516485,2317.893246,11.8
1236.600832,2028.330826,2838.78217,1355.020967,1334.471511,2.4
1722.199399,2719.381073,3425.502295,1896.055389,1861.417788,8.725
1166.702959,1970.716569,2752.893021,1265.385188,1245.580313,1.775
1237.981114,2014.574264,2693.964149,1381.770006,1357.536492,4.475
1316.473493,2041.831302,2805.683336,1431.381864,1414.623675,3.9
1421.650419,2300.1812,3081.194968,1608.252255,1578.05982,2.175
1756.036082,2317.748536,2593.659598,1877.053173,1858.252572,4.95
1806.90589,2552.245198,3126.997439,1932.772407,1919.886204,9.0
2398.301124,2882.446388,2891.736437,2548.288443,2524.055538,5.775
1188.92289,1989.660552,2676.562013,1305.186039,1290.60276,1.9
1473.908771,2313.703425,3179.160851,1611.473431,1574.550576,1.675
1515.640845,2557.303457,3400.472471,1680.854193,1663.356274,4.125
1586.523528,2300.791613,2852.390525,1714.838828,1694.431018,4.225
1299.995359,2240.828265,3293.901569,1450.246639,1434.919334,1.65
1515.887004,2097.71975,2498.544334,1623.501921,1606.372439,10.2
1736.391005,2604.505442,3323.706146,1893.795935,1866.145967,6.825
2015.815952,2608.571768,2890.28897,2161.5417,2145.395157,8.55
1918.256402,2474.808739,2604.193822,2059.790013,2035.042254,8.225
1210.991138,1959.114417,2641.238171,1342.48552,1319.465263,2.3
1345.713562,2245.675898,3060.76626,1513.052856,1483.720525,2.175
1327.138788,2093.465263,2799.786042,1476.729704,1443.900617,4.625
1807.986517,2535.749278,3029.428892,1992.398395,1956.984751,6.45
2460.918342,2987.845545,3038.39579,2695.649312,2641.267131,6.05
1616.089789,2234.476793,2488.628521,1734.115077,1712.264085,4.525
1445.720684,2176.94746,2765.381389,1597.60595,1578.012818,3.475
1386.169331,2129.261434,2940.510049,1493.208894,1472.160627,3.275
2032.37404,2801.904449,3044.144686,2197.398688,2180.010083,11.2
1526.101124,2254.143377,2912.018516,1667.125495,1665.464156,1.625
1372.534571,2177.054417,2866.167093,1507.691261,1486.616037,2.25
2496.319156,3098.031981,3144.939773,2711.132468,2688.086851,6.45
1607.666933,2437.079385,3052.972471,1785.654449,1758.074104,2.125
2840.130442,3334.724872,3242.358195,3017.524648,3004.784091,7.575
1565.531331,2377.821916,3036.261364,1722.002435,1708.833766,3.0
1354.273047,2168.510883,3051.790333,1490.752721,1476.383643,4.825
1333.936857,2221.627947,3005.991613,1449.845229,1422.141795,4.35
1428.726064,2276.95379,3055.080551,1602.391676,1570.873081,2.15
1986.399747,2752.488368,3147.089413,2153.155879,2118.273303,8.125
1218.798976,2003.323784,2787.428297,1317.508643,1300.237996,1.475
2296.180538,2849.572343,2875.523367,2508.74936,2475.53089,8.375
1341.441101,2203.048816,3070.915973,1475.028649,1470.106434,1.325
