b14,b15,b16,b17,b20,b21,b22,b23,b32,b36,b45,b46,b48,b49,b50,b51,b52,b53,b55,b56,b57,b58,b62,b63,b64,b68,b69,b75,b76,b80,b84,b85,b88,b89,b90,b91,b95,b96,b102,b103,b105,b107,b108,b110,b111,b112,b116,b120,b123,b124,b126,b127,b131,b132,b135,b137,b139,b142,b145,b146,b152,b155,b156,b158,b160,b161,b163,TS
483.5586327,507.0037981,525.0090204,532.4135148,572.6592815,592.614496,612.300997,631.8414306,903.2291502,951.0541225,1083.273303,1099.957905,1144.806457,1152.460832,1151.302896,1162.072322,1180.198291,1211.138313,1345.713562,1389.877354,1421.950942,1453.110777,1559.919766,1573.403228,1601.484412,1721.080709,1739.66213,1850.055863,1876.41035,1963.762937,2082.457351,2116.463523,2147.772432,2166.253521,2188.083399,2210.718785,2369.729862,2403.37775,2449.035449,2467.939231,2497.145593,2478.999842,2467.241019,2460.20652,2491.349581,2528.803292,2638.883526,2806.211426,2897.714987,2921.329957,2912.506093,2933.434246,3050.395949,3077.538851,3134.898718,3036.375376,3052.474284,3062.038297,3077.705017,2995.490109,2672.348315,2685.465105,2683.368729,2672.490742,2659.385504,2632.573192,2534.09606,2.175
536.1315621,558.434379,577.456146,591.4785531,635.6827785,651.4239757,669.9675096,688.0328105,985.2335147,1043.799776,1165.154129,1179.021607,1204.303617,1212.504321,1218.425576,1232.037132,1252.613796,1288.825064,1424.408771,1459.939661,1479.433739,1497.449104,1611.647567,1635.056658,1659.485595,1767.026088,1796.919494,1920.378521,1942.377721,2008.535851,2111.18726,2132.597951,2186.827785,2206.522727,2227.691101,2250.432458,2359.884763,2358.882522,2451.298656,2487.800896,2480.835147,2488.543054,2484.682618,2463.903169,2493.31242,2532.851633,2707.24952,2814.457106,2871.426857,2879.145166,2951.612196,2969.167574,3191.191741,3136.572343,3105.003681,3005.523688,3008.082106,3106.834507,3092.722311,3011.774968,2590.701825,2666.725992,2631.153489,2563.638284,2675.194302,2688.304898,2555.457106,3.975
1358.619402,1387.750277,1410.557367,1423.862003,1502.245608,1540.595664,1583.081975,1625.895395,2009.817218,2049.807248,2190.784301,2227.545023,2333.775439,2353.851242,2365.27805,2356.866118,2345.392942,2357.403703,2460.918342,2504.728913,2545.172496,2588.687134,2719.443741,2707.702643,2734.837,2762.286912,2782.403228,2923.375218,2933.544548,3005.221079,3022.664979,3016.223295,3045.228675,3026.475392,3007.470802,2991.097167,2916.067416,2922.444532,2973.428707,2975.613388,2906.215382,2902.863111,2866.997468,2792.531571,2811.560848,2831.671467,2893.856939,2961.784143,3000.439943,3021.862795,3064.705966,3076.467479,3230.420003,3165.43203,3150.031967,2978.335813,2967.39674,3092.013451,2927.511632,2781.28533,2233.330907,2283.193543,2241.621301,2163.035132,2184.802026,2109.173762,1905.084349,6.05
723.9199744,747.0729834,769.7783291,790.5693022,865.0941101,892.4403009,915.2869718,937.7645647,1288.015205,1339.022407,1475.733995,1500.75064,1547.09299,1570.882682,1593.066101,1617.410051,1640.201665,1676.170935,1789.667894,1828.68614,1864.035691,1898.784891,1975.441101,1990.099072,2022.174616,2116.070743,2128.933419,2266.56114,2284.072823,2377.039052,2442.241037,2457.540813,2480.607234,2496.940461,2515.588348,2534.016965,2605.7492,2620.347471,2689.879481,2712.802817,2704.551216,2712.175576,2692.600352,2638.12612,2671.190141,2708.598271,2836.617798,2922.6879,3001.339469,3029.643246,3045.299776,3054.295615,3223.587868,3194.653489,3174.457266,3020.514725,3028.458547,3153.822503,3103.849072,2998.050896,2521.883003,2686.443982,2644.184219,2562.497759,2683.798496,2646.364117,2377.348271,9.925
465.0978003,491.1215382,513.1368887,524.6396582,557.3184048,569.412407,580.9139104,592.7398323,859.6896661,902.0928944,997.2345308,1008.203988,1040.454819,1047.307011,1045.740149,1051.972147,1066.299731,1093.631113,1210.991138,1247.745688,1273.181358,1297.360342,1379.777022,1391.788099,1416.084032,1488.699794,1511.143061,1626.873081,1646.443108,1710.660706,1812.773382,1827.871657,1891.678747,1907.864852,1922.333914,1937.880677,1983.858205,1988.174236,2099.267764,2124.193385,2124.596772,2119.918183,2110.128976,2091.41304,2120.326159,2158.64583,2309.149074,2407.281215,2453.865327,2460.247191,2495.186422,2522.85868,2671.225194,2655.530147,2678.540434,2608.05982,2608.677797,2642.305428,2611.754708,2525.813103,2132.929103,2164.056971,2126.467479,2055.813578,2075.916284,2056.05618,1942.321412,2.3
850.1492325,869.0746954,884.8751385,895.1139421,927.6137047,938.0925779,974.2813736,1011.910429,1316.881627,1369.943504,1476.239595,1495.818959,1519.500396,1541.637759,1571.631429,1590.018199,1602.892863,1629.850609,1756.036082,1791.520494,1816.041146,1839.873239,1922.644248,1949.453395,1954.356227,2033.778288,2052.446115,2117.285172,2121.382339,2236.712455,2296.567811,2301.605159,2259.050166,2271.174236,2285.281057,2300.029435,2332.532679,2332.338028,2393.027694,2405.305586,2405.101282,2393.307011,2375.248299,2334.944453,2353.232315,2374.850768,2444.680013,2570.70834,2578.491533,2583.330749,2639.462257,2650.329957,2719.358443,2747.125495,2778.663713,2677.647571,2671.524292,2592.462415,2626.329008,2502.272353,1987.786833,2014.964868,1988.02532,1928.52176,1887.313024,1831.392784,1653.725273,4.95
627.1515685,659.7122279,687.1115557,703.1976633,760.8241037,783.578265,811.2572023,838.7005442,1137.473592,1199.904609,1321.96975,1339.166293,1351.945903,1373.658611,1402.668054,1416.353393,1424.616997,1453.789853,1607.675096,1655.121159,1690.824904,1723.788412,1796.980474,1828.778009,1854.153489,1958.46719,1976.900448,2071.834347,2081.996319,2177.895327,2262.253681,2272.554097,2308.642446,2330.222151,2351.251761,2374.534251,2464.752241,2484.084827,2507.487196,2529.085948,2572.036652,2544.03281,2510.942061,2449.424776,2496.631882,2550.302337,2634.376601,2784.495198,2851.756402,2865.957266,2856.352113,2882.910211,3041.078425,2967.408451,2981.789853,2867.130122,2809.112836,2927.5,2911.776889,2802.623239,2235.953105,2385.471191,2282.648367,2089.474712,2314.65765,2336.435499,2198.806658,7.5
515.6520019,542.5855357,565.536319,582.4769742,630.2225036,644.5967716,672.8963444,701.8017091,1004.180567,1058.502453,1192.619244,1202.870707,1240.973572,1258.55705,1275.453711,1287.867384,1296.577781,1314.040354,1421.650419,1466.769742,1507.601677,1548.262542,1654.392942,1670.290078,1701.050324,1798.316664,1818.359392,1918.043203,1936.466688,2037.880994,2150.514955,2187.569869,2197.160468,2217.381864,2242.692356,2267.333281,2399.61054,2420.338661,2461.864694,2486.478398,2486.637759,2479.415256,2467.890014,2434.501978,2466.370312,2507.049691,2651.456243,2808.943978,2914.126919,2942.611014,2947.335021,2968.672258,3119.243076,3114.141953,3144.902674,3046.84507,3044.468112,3078.035923,3092.970565,3008.475866,2502.067416,2715.200032,2621.090995,2432.006014,2523.047318,2556.476025,2473.190378,2.175
626.6165173,646.9795134,664.9316581,679.4113316,726.4198143,743.9460627,774.3228233,806.2664853,1122.050736,1171.011684,1330.231594,1345.089469,1404.884443,1416.161812,1415.294014,1431.200064,1454.850672,1490.354033,1607.666933,1653.128361,1691.382202,1730.68806,1830.519526,1846.06258,1879.600832,1987.044814,2000.901889,2095.008643,2112.884603,2195.691581,2282.394366,2318.543054,2336.049936,2358.432939,2385.15669,2411.483515,2539.238636,2570.236716,2587.684699,2597.691421,2621.450224,2607.014085,2591.272407,2567.070423,2593.324264,2625.370839,2749.341229,2893.421095,2977.537932,3000.205506,2994.899968,3009.832746,3093.067542,3128.285531,3175.075864,3077.060659,3072.164373,3047.261364,3088.584507,3005.549776,2614.326344,2638.201665,2618.319942,2570.192862,2528.983515,2486.308579,2321.099712,2.125
440.1174776,469.4138924,493.6203585,504.7596031,542.2243918,556.3026569,579.4290973,602.6298015,856.6782971,878.793854,1007.732875,1018.443342,1032.869238,1040.090269,1048.358195,1056.304738,1065.207746,1090.088348,1236.600832,1274.845391,1294.448303,1313.671895,1407.212868,1438.916293,1468.699424,1538.658931,1557.314981,1676.543694,1699.122919,1797.621319,1930.746639,1959.682458,1959.902209,1968.271127,1979.199104,1991.172055,2113.902049,2132.159731,2199.158771,2222.325064,2214.201184,2254.943502,2256.994878,2231.476953,2254.173656,2281.761364,2360.877241,2525.989437,2622.599552,2649.277049,2687.40701,2699.645006,2831.256722,2855.082907,2968.198944,2844.049296,2800.516805,2844.857875,2797.040653,2717.502401,2252.819782,2404.994238,2382.547375,2333.888444,2370.636044,2347.705346,2179.576665,2.4
