b14,b15,b27,b29,b31,b33,b34,b35,b37,b48,b49,b51,b52,b53,b56,b58,b59,b60,b61,b64,b65,b73,b75,b76,b80,b81,b82,b84,b88,b90,b91,b95,b102,b103,b110,b111,b113,b116,b120,b121,b133,b138,b145,b146,b152,b155,b158,b160,b163,TS
483.5586327,507.0037981,757.9672417,875.2826397,896.3600253,910.4162051,922.7365089,936.8012344,963.3046368,1144.806457,1152.460832,1162.072322,1180.198291,1211.138313,1389.877354,1453.110777,1483.720525,1513.052856,1544.198133,1601.484412,1632.416205,1797.200981,1850.055863,1876.41035,1963.762937,1974.660548,2010.317455,2082.457351,2147.772432,2188.083399,2210.718785,2369.729862,2449.035449,2467.939231,2460.20652,2491.349581,2566.436303,2638.883526,2806.211426,2839.28264,3104.053964,3008.707074,3077.705017,2995.490109,2672.348315,2685.465105,2672.490742,2659.385504,2534.09606,2.175
536.1315621,558.434379,851.6107554,963.1470871,968.9295775,1001.134603,1016.473592,1030.7508,1058.451024,1204.303617,1212.504321,1232.037132,1252.613796,1288.825064,1459.939661,1497.449104,1525.851953,1557.009603,1587.430218,1659.485595,1683.555858,1881.428937,1920.378521,1942.377721,2008.535851,2029.927817,2057.510403,2111.18726,2186.827785,2227.691101,2250.432458,2359.884763,2451.298656,2487.800896,2463.903169,2493.31242,2570.419014,2707.24952,2814.457106,2851.426216,3094.997119,2977.364917,3092.722311,3011.774968,2590.701825,2666.725992,2563.638284,2675.194302,2555.457106,3.975
1358.619402,1387.750277,1858.301472,1997.890647,2012.67938,2007.408134,2019.00902,2033.927204,2066.236588,2333.775439,2353.851242,2356.866118,2345.392942,2357.403703,2504.728913,2588.687134,2641.267131,2695.649312,2737.477924,2734.837,2761.271562,2883.910112,2923.375218,2933.544548,3005.221079,3029.316348,3030.574458,3022.664979,3045.228675,3007.470802,2991.097167,2916.067416,2973.428707,2975.613388,2792.531571,2811.560848,2851.140845,2893.856939,2961.784143,2970.454344,3137.388194,2950.923406,2927.511632,2781.28533,2233.330907,2283.193543,2163.035132,2184.802026,1905.084349,6.05
723.9199744,747.0729834,1139.877561,1272.520647,1270.735755,1305.446543,1318.154289,1329.056018,1340.833387,1547.09299,1570.882682,1617.410051,1640.201665,1676.170935,1828.68614,1898.784891,1919.012004,1939.40589,1960.03249,2022.174616,2056.326344,2226.892606,2266.56114,2284.072823,2377.039052,2407.711908,2420.287452,2442.241037,2480.607234,2515.588348,2534.016965,2605.7492,2689.879481,2712.802817,2638.12612,2671.190141,2746.822983,2836.617798,2922.6879,2938.580986,3175.162292,2976.073624,3103.849072,2998.050896,2521.883003,2686.443982,2562.497759,2683.798496,2377.348271,9.925
465.0978003,491.1215382,742.795379,842.3487894,848.1253363,870.8455452,881.8409558,891.7474284,919.915493,1040.454819,1047.307011,1051.972147,1066.299731,1093.631113,1247.745688,1297.360342,1319.465263,1342.48552,1365.393891,1416.084032,1442.6069,1589.181041,1626.873081,1646.443108,1710.660706,1733.831935,1763.020889,1812.773382,1891.678747,1922.333914,1937.880677,1983.858205,2099.267764,2124.193385,2091.41304,2120.326159,2194.590125,2309.149074,2407.281215,2439.945561,2646.573508,2590.643614,2611.754708,2525.813103,2132.929103,2164.056971,2055.813578,2075.916284,1942.321412,2.3
850.1492325,869.0746954,1192.617186,1325.184365,1326.224719,1306.591233,1322.054914,1346.923406,1379.137838,1519.500396,1541.637759,1590.018199,1602.892863,1629.850609,1791.520494,1839.873239,1858.252572,1877.053173,1896.564013,1954.356227,1957.43029,2116.430606,2117.285172,2121.382339,2236.712455,2267.238171,2278.160152,2296.567811,2259.050166,2285.281057,2300.029435,2332.532679,2393.027694,2405.305586,2334.944453,2353.232315,2395.902358,2444.680013,2570.70834,2582.460832,2772.012818,2652.680013,2626.329008,2502.272353,1987.786833,2014.964868,1928.52176,1887.313024,1653.725273,4.95
627.1515685,659.7122279,999.4758323,1125.326665,1136.331306,1138.324904,1153.796735,1178.40717,1206.304417,1351.945903,1373.658611,1416.353393,1424.616997,1453.789853,1655.121159,1723.788412,1738.916933,1752.041773,1766.261844,1854.153489,1877.586428,2052.823464,2071.834347,2081.996319,2177.895327,2203.160371,2224.734795,2262.253681,2308.642446,2351.251761,2374.534251,2464.752241,2507.487196,2529.085948,2449.424776,2496.631882,2602.693502,2634.376601,2784.495198,2813.082586,2917.222631,2823.123399,2911.776889,2802.623239,2235.953105,2385.471191,2089.474712,2314.65765,2198.806658,7.5
515.6520019,542.5855357,850.8142111,982.1775597,994.1378383,1013.583795,1027.267289,1043.015192,1075.02532,1240.973572,1258.55705,1287.867384,1296.577781,1314.040354,1466.769742,1548.262542,1578.05982,1608.252255,1637.026586,1701.050324,1733.305586,1887.444532,1918.043203,1936.466688,2037.880994,2045.203671,2079.778129,2150.514955,2197.160468,2242.692356,2267.333281,2399.61054,2461.864694,2486.478398,2434.501978,2466.370312,2548.792372,2651.456243,2808.943978,2847.644722,3109.929894,3009.489318,3092.970565,3008.475866,2502.067416,2715.200032,2432.006014,2523.047318,2473.190378,2.175
626.6165173,646.9795134,957.8455506,1093.840749,1112.216229,1131.713348,1144.002881,1157.340109,1187.507362,1404.884443,1416.161812,1431.200064,1454.850672,1490.354033,1653.128361,1730.68806,1758.074104,1785.654449,1813.307458,1879.600832,1915.464629,2060.932458,2095.008643,2112.884603,2195.691581,2201.773848,2225.908451,2282.394366,2336.049936,2385.15669,2411.483515,2539.238636,2587.684699,2597.691421,2567.070423,2593.324264,2658.112836,2749.341229,2893.421095,2923.918534,3162.828105,3048.838988,3088.584507,3005.549776,2614.326344,2638.201665,2570.192862,2528.983515,2321.099712,2.125
440.1174776,469.4138924,730.0227273,840.2243918,848.7426376,864.3509923,869.7716069,874.3626761,896.0670615,1032.869238,1040.090269,1056.304738,1065.207746,1090.088348,1274.845391,1313.671895,1334.471511,1355.020967,1377.049776,1468.699424,1497.355954,1633.059539,1676.543694,1699.122919,1797.621319,1813.951985,1856.345711,1930.746639,1959.902209,1979.199104,1991.172055,2113.902049,2199.158771,2222.325064,2231.476953,2254.173656,2308.65573,2360.877241,2525.989437,2565.213828,2883.618758,2798.330986,2797.040653,2717.502401,2252.819782,2404.994238,2333.888444,2370.636044,2179.576665,2.4
