b15,b17,b19,b22,b24,b26,b27,b35,b48,b49,b53,b55,b56,b58,b59,b60,b61,b64,b66,b68,b74,b75,b80,b81,b84,b88,b90,b91,b96,b102,b103,b107,b109,b111,b112,b116,b125,b131,b132,b137,b138,b142,b144,b146,b152,b155,b156,b158,b160,b161,b163,TS
507.0037981,532.4135148,553.5003956,612.300997,642.4584586,685.3217281,757.9672417,936.8012344,1144.806457,1152.460832,1211.138313,1345.713562,1389.877354,1453.110777,1483.720525,1513.052856,1544.198133,1601.484412,1662.996518,1721.080709,1823.326317,1850.055863,1963.762937,1974.660548,2082.457351,2147.772432,2188.083399,2210.718785,2403.37775,2449.035449,2467.939231,2478.999842,2461.84871,2491.349581,2528.803292,2638.883526,2914.48457,3050.395949,3077.538851,3036.375376,3008.707074,3062.038297,3070.843804,2995.490109,2672.348315,2685.465105,2683.368729,2672.490742,2659.385504,2632.573192,2534.09606,2.175
558.434379,591.4785531,620.6482074,669.9675096,709.5254481,777.293694,851.6107554,1030.7508,1204.303617,1212.504321,1288.825064,1424.408771,1459.939661,1497.449104,1525.851953,1557.009603,1587.430218,1659.485595,1709.765205,1767.026088,1900.752081,1920.378521,2008.535851,2029.927817,2111.18726,2186.827785,2227.691101,2250.432458,2358.882522,2451.298656,2487.800896,2488.543054,2468.850032,2493.31242,2532.851633,2707.24952,2916.150768,3191.191741,3136.572343,3005.523688,2977.364917,3106.834507,3109.190621,3011.774968,2590.701825,2666.725992,2631.153489,2563.638284,2675.194302,2688.304898,2555.457106,3.975
1387.750277,1423.862003,1463.19655,1583.081975,1662.587435,1763.159677,1858.301472,2033.927204,2333.775439,2353.851242,2357.403703,2460.918342,2504.728913,2588.687134,2641.267131,2695.649312,2737.477924,2734.837,2770.663238,2762.286912,2903.261592,2923.375218,3005.221079,3029.316348,3022.664979,3045.228675,3007.470802,2991.097167,2922.444532,2973.428707,2975.613388,2902.863111,2825.202089,2811.560848,2831.671467,2893.856939,3046.814844,3230.420003,3165.43203,2978.335813,2950.923406,3092.013451,2982.503402,2781.28533,2233.330907,2283.193543,2241.621301,2163.035132,2184.802026,2109.173762,1905.084349,6.05
747.0729834,790.5693022,835.2664853,915.2869718,965.8815621,1051.045615,1139.877561,1329.056018,1547.09299,1570.882682,1676.170935,1789.667894,1828.68614,1898.784891,1919.012004,1939.40589,1960.03249,2022.174616,2084.458227,2116.070743,2248.3129,2266.56114,2377.039052,2407.711908,2442.241037,2480.607234,2515.588348,2534.016965,2620.347471,2689.879481,2712.802817,2712.175576,2662.819462,2671.190141,2708.598271,2836.617798,3036.768726,3223.587868,3194.653489,3020.514725,2976.073624,3153.822503,3128.283611,2998.050896,2521.883003,2686.443982,2644.184219,2562.497759,2683.798496,2646.364117,2377.348271,9.925
491.1215382,524.6396582,546.2916601,580.9139104,613.1330907,676.0449438,742.795379,891.7474284,1040.454819,1047.307011,1093.631113,1210.991138,1247.745688,1297.360342,1319.465263,1342.48552,1365.393891,1416.084032,1464.586169,1488.699794,1606.640608,1626.873081,1710.660706,1733.831935,1812.773382,1891.678747,1922.333914,1937.880677,1988.174236,2099.267764,2124.193385,2119.918183,2096.550878,2120.326159,2158.64583,2309.149074,2477.131983,2671.225194,2655.530147,2608.05982,2590.643614,2642.305428,2631.990347,2525.813103,2132.929103,2164.056971,2126.467479,2055.813578,2075.916284,2056.05618,1942.321412,2.3
869.0746954,895.1139421,917.1188479,974.2813736,1033.929103,1103.694572,1192.617186,1346.923406,1519.500396,1541.637759,1629.850609,1756.036082,1791.520494,1839.873239,1858.252572,1877.053173,1896.564013,1954.356227,1969.722899,2033.778288,2118.019307,2117.285172,2236.712455,2267.238171,2296.567811,2259.050166,2285.281057,2300.029435,2332.338028,2393.027694,2405.305586,2393.307011,2352.876246,2353.232315,2374.850768,2444.680013,2615.140054,2719.358443,2747.125495,2677.647571,2652.680013,2592.462415,2613.613072,2502.272353,1987.786833,2014.964868,1988.02532,1928.52176,1887.313024,1831.392784,1653.725273,4.95
659.7122279,703.1976633,738.3950064,811.2572023,855.6269206,915.0158451,999.4758323,1178.40717,1351.945903,1373.658611,1453.789853,1607.675096,1655.121159,1723.788412,1738.916933,1752.041773,1766.261844,1854.153489,1903.016645,1958.46719,2063.495839,2071.834347,2177.895327,2203.160371,2262.253681,2308.642446,2351.251761,2374.534251,2484.084827,2507.487196,2529.085948,2544.03281,2475.596671,2496.631882,2550.302337,2634.376601,2857.37356,3041.078425,2967.408451,2867.130122,2823.123399,2927.5,2932.302337,2802.623239,2235.953105,2385.471191,2282.648367,2089.474712,2314.65765,2336.435499,2198.806658,7.5
542.5855357,582.4769742,615.4744422,672.8963444,718.6630796,768.956797,850.8142111,1043.015192,1240.973572,1258.55705,1314.040354,1421.650419,1466.769742,1548.262542,1578.05982,1608.252255,1637.026586,1701.050324,1761.984966,1798.316664,1901.908372,1918.043203,2037.880994,2045.203671,2150.514955,2197.160468,2242.692356,2267.333281,2420.338661,2461.864694,2486.478398,2479.415256,2451.682386,2466.370312,2507.049691,2651.456243,2942.930685,3119.243076,3114.141953,3046.84507,3009.489318,3078.035923,3087.41937,3008.475866,2502.067416,2715.200032,2621.090995,2432.006014,2523.047318,2556.476025,2473.190378,2.175
646.9795134,679.4113316,709.8180218,774.3228233,821.2485595,873.1038732,957.8455506,1157.340109,1404.884443,1416.161812,1490.354033,1607.666933,1653.128361,1730.68806,1758.074104,1785.654449,1813.307458,1879.600832,1947.335147,1987.044814,2078.651088,2095.008643,2195.691581,2201.773848,2282.394366,2336.049936,2385.15669,2411.483515,2570.236716,2587.684699,2597.691421,2607.014085,2575.545455,2593.324264,2625.370839,2749.341229,2995.896767,3093.067542,3128.285531,3077.060659,3048.838988,3047.261364,3075.047535,3005.549776,2614.326344,2638.201665,2618.319942,2570.192862,2528.983515,2486.308579,2321.099712,2.125
469.4138924,504.7596031,527.8610755,579.4290973,614.1930218,657.6782971,730.0227273,874.3626761,1032.869238,1040.090269,1090.088348,1236.600832,1274.845391,1313.671895,1334.471511,1355.020967,1377.049776,1468.699424,1520.643086,1538.658931,1654.607074,1676.543694,1797.621319,1813.951985,1930.746639,1959.902209,1979.199104,1991.172055,2132.159731,2199.158771,2222.325064,2254.943502,2242.865557,2254.173656,2281.761364,2360.877241,2668.671255,2831.256722,2855.082907,2844.049296,2798.330986,2844.857875,2820.178777,2717.502401,2252.819782,2404.994238,2382.547375,2333.888444,2370.636044,2347.705346,2179.576665,2.4
693.2098271,748.6402049,793.2877721,875.231274,925.5065621,1001.71911,1098.25064,1317.372439,1558.606754,1575.701504,1614.316741,1756.961428,1807.300416,1881.037132,1904.703105,1927.34459,1949.268246,2053.696863,2107.84347,2135.49888,2246.752081,2272.086428,2418.870038,2439.022247,2512.917734,2525.767125,2547.78041,2562.490397,2672.50048,2707.051697,2733.34219,2724.347471,2673.636524,2662.46911,2683.31386,2730.81226,3019.195423,3176.982875,3168.191261,3093.755922,3044.341069,3017.650608,2982.832266,2870.233515,2298.674776,2448.389085,2413.050896,2342.364597,2376.273367,2353.316421,2169.052497,8.875
478.5102433,516.7205506,543.0707426,578.6760563,609.990557,668.2983355,740.1771767,869.2893726,996.8484315,1009.846511,1079.492478,1218.798976,1251.658131,1281.707586,1300.237996,1317.508643,1336.603553,1416.706466,1443.556018,1493.49856,1632.711908,1653.949264,1790.893566,1815.665653,1905.111236,1945.503361,1964.691741,1976.458547,2082.608515,2152.222631,2165.085627,2221.887964,2199.107394,2217.447183,2252.638444,2361.850352,2607.128361,2795.288412,2803.900288,2770.93694,2722.170294,2783.449584,2786.065941,2697.338828,2273.491997,2383.425896,2380.885403,2374.245038,2393.260403,2350.620038,2152.354513,1.475
550.0468429,580.7974363,624.4861529,678.0822915,713.8795696,765.8806773,842.329799,1018.834942,1183.745371,1219.21918,1251.906156,1387.38044,1435.258743,1514.338503,1526.641399,1538.86501,1551.521127,1605.07153,1632.008071,1695.747112,1813.150657,1849.41573,1939.633486,1945.365881,2027.173129,2097.762621,2101.161418,2104.037348,2250.189745,2335.749486,2354.368254,2347.276943,2294.805507,2329.491059,2381.217914,2563.530305,2758.513056,2977.799494,2931.725906,2815.163159,2784.385029,2937.581263,2906.664979,2766.676215,2215.169331,2488.175819,2425.116474,2303.229941,2406.922931,2369.46463,2198.796012,2.1
