b28,b34,b35,b48,b53,b57,b58,b59,b60,b61,b62,b63,b64,b66,b69,b70,b71,b72,b73,b75,b78,b87,b90,b91,b92,b95,b102,b103,b104,b106,b109,b111,b112,b113,b118,b132,b142,b143,b144,b148,b152,b156,b157,b161,b162,b163,TS
1192.827625,1304.945583,1317.372439,1558.606754,1614.316741,1844.445262,1881.037132,1904.703105,1927.34459,1949.268246,1985.685179,2023.71975,2053.696863,2107.84347,2157.524488,2183.683579,2209.272727,2216.861556,2223.857554,2272.086428,2375.49904,2544.306818,2547.78041,2562.490397,2581.629962,2646.523047,2707.051697,2733.34219,2729.358995,2711.728553,2673.636524,2662.46911,2683.31386,2704.712228,2839.452305,3168.191261,3017.650608,3000.951504,2982.832266,2638.18694,2298.674776,2413.050896,2375.788892,2353.316421,2258.176376,2169.052497,8.875
843.520652,932.7314448,950.6469378,1130.093053,1209.377433,1398.933376,1418.174395,1446.081025,1473.691565,1502.337395,1519.984175,1537.062035,1565.482038,1617.244342,1669.105238,1698.830669,1727.232948,1746.906156,1767.100332,1775.523026,1832.512898,2049.217756,2105.739199,2133.595664,2167.81247,2242.354961,2327.692515,2338.848552,2348.289128,2363.963127,2331.011869,2354.006488,2397.400538,2439.294034,2604.824181,2944.069473,2979.828454,2997.548346,3011.646147,2744.979427,2552.899509,2614.22551,2608.951575,2493.297041,2406.170755,2327.454344,1.65
861.1789373,932.0944302,929.365717,1080.722151,1144.908451,1327.251601,1362.081626,1381.783771,1401.019686,1420.408771,1433.823143,1447.288892,1462.391485,1499.314501,1575.926857,1595.354353,1610.690941,1616.060339,1620.432618,1670.297695,1740.326665,1913.006082,1927.212228,1927.709987,1965.433899,2047.753521,2128.384443,2150.471351,2152.12484,2141.818502,2095.269846,2122.984155,2159.632042,2195.697823,2371.232714,2688.118918,2724.09235,2705.209507,2671.350032,2269.785051,2014.871959,2042.28041,2038.288252,2082.014085,1976.837708,1880.612356,1.45
1149.334667,1237.59283,1248.319462,1459.677657,1550.771607,1733.706626,1764.202305,1789.403649,1815.544174,1840.352913,1858.977913,1878.006082,1899.350192,1941.24968,1993.210467,2001.399968,2013.596191,2048.547055,2083.817061,2107.978553,2168.467029,2301.643726,2340.236236,2363.109475,2379.487676,2424.034251,2505.810019,2516.460787,2518.171255,2513.84267,2451.980474,2463.695262,2505.649808,2546.382202,2679.383483,2957.491197,2887.387324,2878.534411,2859.525128,2465.533611,2123.542894,2309.214149,2229.118598,2259.520166,2179.274648,2104.183259,8.2
717.6175325,777.8063312,787.3925325,939.2288961,1000.144318,1198.467695,1220.163799,1243.686039,1266.465909,1290.728734,1305.922727,1320.098214,1346.658117,1398.025812,1469.92224,1496.166558,1520.407955,1530.10487,1539.489448,1594.609578,1649.28961,1854.401461,1914.362013,1929.493344,1967.182305,2036.586201,2152.275162,2185.997078,2182.691883,2179.863474,2159.526786,2168.375487,2200.267532,2232.814773,2389.373214,2713.748701,2737.782305,2725.828571,2694.230682,2303.523864,2141.032143,2131.622078,2138.768994,2056.893669,1942.371916,1828.964123,3.875
916.1611014,1004.734135,1018.834942,1183.745371,1251.906156,1476.686818,1514.338503,1526.641399,1538.86501,1551.521127,1573.896344,1596.060136,1605.07153,1632.008071,1727.373002,1757.919608,1780.789682,1779.213008,1777.358759,1849.41573,1927.312391,2087.76721,2101.161418,2104.037348,2153.868967,2243.966925,2335.749486,2354.368254,2378.316664,2385.446748,2294.805507,2329.491059,2381.217914,2433.069315,2602.921981,2931.725906,2937.581263,2926.552936,2906.664979,2520.652951,2215.169331,2425.116474,2362.432822,2369.46463,2281.905048,2198.796012,2.1
1619.552337,1709.203105,1732.415493,1940.739117,2032.628681,2253.575064,2292.600672,2317.893246,2342.516485,2367.141005,2379.206466,2390.139885,2419.879001,2472.331466,2506.717029,2535.15525,2561.15669,2570.275608,2578.116517,2604.823944,2664.337708,2730.048656,2749.704866,2750.423335,2773.040013,2813.653169,2837.871159,2850.600992,2850.18822,2836.439821,2736.661172,2732.551376,2760.221671,2786.324264,2892.148848,3091.783611,2966.518886,2958.3121,2921.18598,2549.888924,2220.769366,2265.535691,2223.515045,2301.855954,2229.734155,2162.40765,11.8
802.1819782,869.7716069,874.3626761,1032.869238,1090.088348,1294.448303,1313.671895,1334.471511,1355.020967,1377.049776,1407.212868,1438.916293,1468.699424,1520.643086,1557.314981,1583.541613,1607.240557,1620.806818,1633.059539,1676.543694,1764.290493,1971.056338,1979.199104,1991.172055,2028.330826,2113.902049,2199.158771,2222.325064,2219.629481,2221.825544,2242.865557,2254.173656,2281.761364,2308.65573,2440.757682,2855.082907,2844.857875,2838.78217,2820.178777,2522.236556,2252.819782,2382.547375,2358.871319,2347.705346,2262.582106,2179.576665,2.4
1104.114259,1237.721475,1258.625099,1487.381231,1564.842064,1800.067257,1828.486153,1861.417788,1896.055389,1930.190853,1956.152872,1979.71736,2000.727489,2047.863744,2164.131825,2185.358759,2207.184681,2231.508467,2256.415889,2303.995094,2403.748536,2638.717202,2676.640133,2694.02532,2719.381073,2795.900775,2878.659123,2921.507201,2929.133882,2919.839057,2900.841272,2910.868017,2948.710081,2984.579047,3121.28533,3523.202405,3422.519702,3425.502295,3413.470486,3037.372369,2910.777338,2951.21649,2886.039721,2974.81975,2888.016933,2806.421111,8.725
747.4687451,811.002532,824.9631271,958.6489951,1058.438994,1206.168856,1225.483146,1245.580313,1265.385188,1289.181833,1319.890647,1351.328375,1377.311758,1423.425067,1485.619718,1513.363349,1537.191328,1555.227093,1571.185156,1587.050008,1674.81611,1848.285488,1911.692673,1941.44295,1970.716569,2035.561323,2085.842538,2107.128185,2129.203671,2126.267289,2063.322678,2126.543124,2169.581738,2207.065991,2359.679696,2740.469695,2741.564172,2752.893021,2758.983225,2430.805824,2136.044786,2288.524134,2302.927204,2181.607216,2146.300997,2127.809147,1.775
794.4010883,875.199904,890.8767606,1037.559859,1101.056178,1304.552977,1331.904289,1357.536492,1381.770006,1405.916293,1424.680698,1443.225672,1470.608195,1515.643246,1555.770967,1576.602433,1599.15685,1626.322663,1651.667734,1680.172855,1739.403809,1931.565941,1977.78265,1994.864117,2014.574264,2087.378841,2184.040173,2207.729994,2212.339949,2207.169494,2150.212708,2175.828585,2217.809859,2259.242958,2407.988636,2706.493918,2682.435659,2693.964149,2704.616997,2362.127881,2136.442862,2218.293534,2208.441101,2051.739277,1976.298496,1900.401408,4.475
892.7119797,960.5921823,976.9759456,1109.872923,1188.143377,1376.1304,1398.732394,1414.623675,1431.381864,1446.323627,1474.911537,1504.962019,1523.018199,1553.945245,1607.400063,1633.496281,1656.762937,1672.088463,1687.802184,1730.674474,1801.480772,1967.96376,1998.963127,2010.697579,2041.831302,2105.945245,2192.93116,2204.685235,2215.111885,2227.524767,2205.508783,2227.34515,2271.964077,2314.948726,2459.47286,2798.266814,2790.136097,2805.683336,2791.403228,2494.204146,2245.592024,2366.238329,2347.877987,2378.809305,2289.855357,2205.579839,3.9
932.3486311,1027.267289,1043.015192,1240.973572,1314.040354,1507.601677,1548.262542,1578.05982,1608.252255,1637.026586,1654.392942,1670.290078,1701.050324,1761.984966,1818.359392,1839.709289,1860.550245,1873.797753,1887.444532,1918.043203,2014.024371,2206.488527,2242.692356,2267.333281,2300.1812,2399.61054,2461.864694,2486.478398,2488.727805,2483.401171,2451.682386,2466.370312,2507.049691,2548.792372,2728.001899,3114.141953,3078.035923,3081.194968,3087.41937,2738.00633,2502.067416,2621.090995,2526.133565,2556.476025,2515.339294,2473.190378,2.175
1281.43298,1322.054914,1346.923406,1519.500396,1629.850609,1816.041146,1839.873239,1858.252572,1877.053173,1896.564013,1922.644248,1949.453395,1954.356227,1969.722899,2052.446115,2059.294034,2069.96376,2093.677006,2116.430606,2117.285172,2177.814686,2279.219497,2285.281057,2300.029435,2317.748536,2332.532679,2393.027694,2405.305586,2405.170597,2401.372053,2352.876246,2353.232315,2374.850768,2395.902358,2525.668935,2747.125495,2592.462415,2593.659598,2613.613072,2194.133091,1987.786833,1988.02532,1959.566229,1831.392784,1738.749327,1653.725273,4.95
1282.926857,1354.532971,1367.480154,1566.392286,1665.208867,1878.40493,1905.732554,1919.886204,1932.772407,1945.086268,1982.584507,2021.411812,2031.867798,2053.567702,2151.141805,2175.904449,2200.628521,2217.433419,2234.462388,2234.098752,2289.18662,2446.412932,2492.158451,2518.454065,2552.245198,2587.416933,2694.445262,2702.458707,2716.12612,2734.670294,2681.09379,2695.645006,2735.323303,2775.53249,2931.713668,3165.068022,3127.529449,3126.997439,3137.59523,2860.710627,2748.288572,2766.933739,2750.740877,2719.550896,2620.52993,2527.574264,9.0
1652.413644,1789.02183,1805.515409,2098.429374,2232.785714,2474.37512,2500.354414,2524.055538,2548.288443,2571.613323,2601.087319,2630.78427,2647.578812,2676.588122,2710.236918,2727.564526,2744.671268,2752.854575,2759.173194,2755.66565,2849.494061,2841.142055,2836.151685,2853.400482,2882.446388,2931.980899,2936.775281,2951.894703,2941.979615,2910.033868,2821.572552,2802.294382,2838.817657,2874.467897,2951.030819,3071.084751,2878.509952,2891.736437,2901.597592,2428.922151,2172.855377,2284.796308,2193.729695,2151.164045,2093.999839,2042.310433,5.775
782.761526,851.1530844,867.9741883,1002.860552,1080.496916,1249.832468,1276.120617,1290.60276,1305.186039,1318.43961,1349.58961,1385.728409,1408.921104,1447.303896,1503.564935,1530.90974,1555.761039,1586.312987,1616.359253,1630.769156,1689.955195,1885.145779,1935.804708,1965.588799,1989.660552,2031.514286,2101.91737,2118.217045,2129.009416,2141.616071,2125.108442,2138.176623,2164.299675,2189.257305,2334.970942,2673.984578,2656.01461,2676.562013,2671.434578,2231.064286,2006.527435,2062.310877,2071.90763,2013.571104,1911.604545,1823.953409,1.9
937.7684059,1033.898047,1044.918534,1224.78265,1323.517606,1518.559059,1537.84219,1574.550576,1611.473431,1644.791293,1653.376921,1662.8113,1684.50016,1729.615717,1807.43726,1840.761044,1868.68758,1878.743598,1888.441421,1942.797695,1987.7508,2236.568502,2259.826504,2256.704225,2313.703425,2401.010563,2493.426216,2519.899008,2518.678617,2522.051697,2483.949424,2509.184379,2550.548175,2592.50112,2752.074424,3138.013604,3187.819782,3179.160851,3168.24936,2827.337068,2699.216869,2688.487836,2707.039373,2636.339309,2498.517446,2379.989117,1.675
963.2485595,1056.417254,1078.378041,1289.329065,1361.957426,1606.180858,1644.409891,1663.356274,1680.854193,1698.314661,1739.987516,1783.272727,1805.738636,1850.423656,1963.885563,1982.084507,2001.0,2021.150608,2041.175256,2076.224872,2178.739277,2411.146287,2480.995839,2521.865557,2557.303457,2651.714629,2738.284411,2750.132362,2765.752561,2791.049296,2786.12644,2813.419974,2851.963348,2890.085948,3041.189661,3439.732074,3406.113796,3400.472471,3386.838828,3037.923816,2821.197023,2938.035051,2829.53185,2954.93774,2861.72007,2768.862836,4.125
1098.816901,1190.060179,1207.609955,1368.528169,1470.888604,1647.145487,1673.613476,1694.431018,1714.838828,1731.045615,1744.246959,1763.699904,1794.954545,1842.345871,1892.138764,1914.555378,1941.838508,1971.403489,1997.403329,2039.815941,2084.099072,2265.727753,2283.683899,2291.016485,2300.791613,2314.731754,2404.252401,2422.622439,2435.666293,2453.369878,2395.444782,2414.809859,2449.886204,2486.056818,2589.053777,2928.990237,2861.420935,2852.390525,2841.822023,2419.369078,2007.412292,2224.973271,2202.455026,2275.927497,2192.40509,2135.494718,4.225
820.3433099,935.4958387,947.8111396,1083.355474,1169.31338,1383.100672,1418.173976,1434.919334,1450.246639,1464.629001,1494.806178,1528.136684,1550.071223,1590.871799,1673.81274,1701.861556,1730.12516,1761.231434,1792.134283,1829.229994,1882.332266,2127.529449,2194.853233,2216.310179,2240.828265,2305.143406,2435.004321,2457.84267,2468.384923,2480.40685,2469.071703,2490.616997,2536.109475,2580.615717,2779.149648,3168.759763,3284.028809,3293.901569,3267.208227,3073.715109,3031.84299,3073.830826,3068.007843,2993.239757,2906.700224,2825.555378,1.65
1096.633643,1178.918534,1197.068182,1338.972791,1405.757843,1567.795935,1589.396447,1606.372439,1623.501921,1644.162452,1678.431018,1705.070102,1709.850512,1727.775928,1790.424136,1813.495999,1834.53137,1855.178457,1873.807778,1866.907971,1960.385403,2030.611236,2054.128681,2072.337548,2097.71975,2108.548175,2163.912772,2162.557458,2161.305058,2154.784251,2079.224072,2084.977753,2113.34283,2143.331466,2299.378201,2560.110915,2528.058579,2498.544334,2469.836428,2003.855154,1830.118118,1814.634283,1803.052017,1667.895807,1541.572183,1447.350352,10.2
1154.755762,1286.611876,1310.462548,1497.772247,1584.34251,1809.850352,1838.497279,1866.145967,1893.795935,1923.047055,1956.896767,1991.110435,2016.507202,2062.885083,2118.011844,2133.606274,2152.319782,2197.37596,2240.358995,2272.166453,2333.059699,2515.175736,2561.324584,2578.684699,2604.505442,2659.011524,2778.176697,2798.367638,2812.284251,2819.422535,2755.102593,2780.721031,2832.041293,2880.072503,3054.576985,3394.421575,3330.169334,3323.706146,3295.684219,2995.192702,2744.923816,2828.101152,2758.891485,2819.956306,2753.095871,2690.238636,6.825
