b28,b33,b36,b47,b54,b56,b57,b58,b59,b60,b63,b64,b67,b69,b71,b72,b78,b90,b91,b92,b103,b105,b106,b108,b109,b112,b113,b127,b131,b142,b143,b144,b148,b152,b154,b157,b161,b162,b163,TS
1192.827625,1293.257362,1328.744398,1544.211108,1686.93774,1807.300416,1844.445262,1881.037132,1904.703105,1927.34459,2023.71975,2053.696863,2121.429257,2157.524488,2209.272727,2216.861556,2375.49904,2547.78041,2562.490397,2581.629962,2733.34219,2717.131882,2711.728553,2707.022887,2673.636524,2683.31386,2704.712228,3020.837708,3176.982875,3017.650608,3000.951504,2982.832266,2638.18694,2298.674776,2347.290333,2375.788892,2353.316421,2258.176376,2169.052497,8.875
843.520652,920.0427283,966.5864852,1108.486469,1279.673366,1381.381073,1398.933376,1418.174395,1446.081025,1473.691565,1537.062035,1565.482038,1632.029435,1669.105238,1727.232948,1746.906156,1832.512898,2105.739199,2133.595664,2167.81247,2338.848552,2358.733819,2363.963127,2351.7047,2331.011869,2397.400538,2439.294034,2846.843963,2931.377433,2979.828454,2997.548346,3011.646147,2744.979427,2552.899509,2591.108561,2608.951575,2493.297041,2406.170755,2327.454344,1.65
861.1789373,932.3660371,929.7064661,1067.785851,1198.87516,1290.394046,1327.251601,1362.081626,1381.783771,1401.019686,1447.288892,1462.391485,1525.475352,1575.926857,1610.690941,1616.060339,1740.326665,1927.212228,1927.709987,1965.433899,2150.471351,2152.572983,2141.818502,2110.196383,2095.269846,2159.632042,2195.697823,2559.042093,2725.492478,2724.09235,2705.209507,2671.350032,2269.785051,2014.871959,2013.828745,2038.288252,2082.014085,1976.837708,1880.612356,1.45
1149.334667,1226.702145,1259.441741,1440.361876,1607.929257,1702.065941,1733.706626,1764.202305,1789.403649,1815.544174,1878.006082,1899.350192,1961.172375,1993.210467,2013.596191,2048.547055,2168.467029,2340.236236,2363.109475,2379.487676,2516.460787,2517.0637,2513.84267,2481.903649,2451.980474,2505.649808,2546.382202,2830.370679,2987.673496,2887.387324,2878.534411,2859.525128,2465.533611,2123.542894,2263.922055,2229.118598,2259.520166,2179.274648,2104.183259,8.2
717.6175325,768.5180195,796.7603896,925.0258117,1070.44724,1176.683604,1198.467695,1220.163799,1243.686039,1266.465909,1320.098214,1346.658117,1421.692045,1469.92224,1520.407955,1530.10487,1649.28961,1914.362013,1929.493344,1967.182305,2185.997078,2177.930357,2179.863474,2180.350325,2159.526786,2200.267532,2232.814773,2610.828896,2721.755682,2737.782305,2725.828571,2694.230682,2303.523864,2141.032143,2115.301786,2138.768994,2056.893669,1942.371916,1828.964123,3.875
916.1611014,994.0235797,1032.153822,1164.150182,1320.553094,1435.258743,1476.686818,1514.338503,1526.641399,1538.86501,1596.060136,1605.07153,1663.880361,1727.373002,1780.789682,1779.213008,1927.312391,2101.161418,2104.037348,2153.868967,2354.368254,2400.906156,2385.446748,2319.882576,2294.805507,2381.217914,2433.069315,2774.658332,2977.799494,2937.581263,2926.552936,2906.664979,2520.652951,2215.169331,2389.207628,2362.432822,2369.46463,2281.905048,2198.796012,2.1
1619.552337,1691.489757,1754.395006,1914.846351,2101.117798,2212.865077,2253.575064,2292.600672,2317.893246,2342.516485,2390.139885,2419.879001,2480.274648,2506.717029,2561.15669,2570.275608,2664.337708,2749.704866,2750.423335,2773.040013,2850.600992,2847.274328,2836.439821,2777.304898,2736.661172,2760.221671,2786.324264,2999.679738,3172.683099,2966.518886,2958.3121,2921.18598,2549.888924,2220.769366,2257.49952,2223.515045,2301.855954,2229.734155,2162.40765,11.8
802.1819782,864.3509923,878.793854,1025.446863,1164.224872,1274.845391,1294.448303,1313.671895,1334.471511,1355.020967,1438.916293,1468.699424,1529.277209,1557.314981,1607.240557,1620.806818,1764.290493,1979.199104,1991.172055,2028.330826,2222.325064,2214.201184,2221.825544,2256.994878,2242.865557,2281.761364,2308.65573,2699.645006,2831.256722,2844.857875,2838.78217,2820.178777,2522.236556,2252.819782,2316.24952,2358.871319,2347.705346,2262.582106,2179.576665,2.4
1104.114259,1223.447381,1277.418895,1456.830828,1644.090362,1772.097326,1800.067257,1828.486153,1861.417788,1896.055389,1979.71736,2000.727489,2089.94113,2164.131825,2207.184681,2231.508467,2403.748536,2676.640133,2694.02532,2719.381073,2921.507201,2925.766893,2919.839057,2918.807248,2900.841272,2948.710081,2984.579047,3311.475075,3560.125495,3422.519702,3425.502295,3413.470486,3037.372369,2910.777338,2921.861845,2886.039721,2974.81975,2888.016933,2806.421111,8.725
747.4687451,798.5016617,839.6203513,953.5747745,1115.283431,1186.555784,1206.168856,1225.483146,1245.580313,1265.385188,1351.328375,1377.311758,1441.852825,1485.619718,1537.191328,1555.227093,1674.81611,1911.692673,1941.44295,1970.716569,2107.128185,2142.165374,2126.267289,2076.815319,2063.322678,2169.581738,2207.065991,2612.689191,2721.631113,2741.564172,2752.893021,2758.983225,2430.805824,2136.044786,2223.099225,2302.927204,2181.607216,2146.300997,2127.809147,1.775
