b31,b32,b33,b36,b56,b59,b62,b65,b66,b72,b75,b90,b92,b95,b99,b104,b105,b109,b113,b130,b131,b142,b143,b152,b156,b161,b162,b163,TS
1263.622119,1278.294174,1293.257362,1328.744398,1807.300416,1904.703105,1985.685179,2083.815461,2107.84347,2216.861556,2272.086428,2547.78041,2581.629962,2646.523047,2710.246159,2729.358995,2717.131882,2673.636524,2704.712228,3136.882042,3176.982875,3017.650608,3000.951504,2298.674776,2413.050896,2353.316421,2258.176376,2169.052497,8.875
906.7406235,913.7043836,920.0427283,966.5864852,1381.381073,1446.081025,1519.984175,1594.172654,1617.244342,1746.906156,1775.523026,2105.739199,2167.81247,2242.354961,2322.00633,2348.289128,2358.733819,2331.011869,2439.294034,2913.081342,2931.377433,2979.828454,2997.548346,2552.899509,2614.22551,2493.297041,2406.170755,2327.454344,1.65
922.5171255,927.4596671,932.3660371,929.7064661,1290.394046,1381.783771,1433.823143,1478.542734,1499.314501,1616.060339,1670.297695,1927.212228,1965.433899,2047.753521,2084.866517,2152.12484,2152.572983,2095.269846,2195.697823,2708.013924,2725.492478,2724.09235,2705.209507,2014.871959,2042.28041,2082.014085,1976.837708,1880.612356,1.45
1204.970871,1215.986236,1226.702145,1259.441741,1702.065941,1789.403649,1858.977913,1919.75064,1941.24968,2048.547055,2107.978553,2340.236236,2379.487676,2424.034251,2458.721031,2518.171255,2517.0637,2451.980474,2546.382202,2958.139085,2987.673496,2887.387324,2878.534411,2123.542894,2309.214149,2259.520166,2179.274648,2104.183259,8.2
747.299513,758.2150974,768.5180195,796.7603896,1176.683604,1243.686039,1305.922727,1371.868506,1398.025812,1530.10487,1594.609578,1914.362013,1967.182305,2036.586201,2101.468506,2182.691883,2177.930357,2159.526786,2232.814773,2695.587175,2721.755682,2737.782305,2725.828571,2141.032143,2131.622078,2056.893669,1942.371916,1828.964123,3.875
989.1607849,991.2098433,994.0235797,1032.153822,1435.258743,1526.641399,1573.896344,1613.670676,1632.008071,1779.213008,1849.41573,2101.161418,2153.868967,2243.966925,2278.394208,2378.316664,2400.906156,2294.805507,2433.069315,2951.044786,2977.799494,2937.581263,2926.552936,2215.169331,2425.116474,2369.46463,2281.905048,2198.796012,2.1
1680.326344,1686.06162,1691.489757,1754.395006,2212.865077,2317.893246,2379.206466,2449.994078,2472.331466,2570.275608,2604.823944,2749.704866,2773.040013,2813.653169,2829.435019,2850.18822,2847.274328,2736.661172,2786.324264,3151.859635,3172.683099,2966.518886,2958.3121,2220.769366,2265.535691,2301.855954,2229.734155,2162.40765,11.8
848.7426376,856.6782971,864.3509923,878.793854,1274.845391,1334.471511,1407.212868,1497.355954,1520.643086,1620.806818,1676.543694,1979.199104,2028.330826,2113.902049,2184.865877,2219.629481,2214.201184,2242.865557,2308.65573,2795.598592,2831.256722,2844.857875,2838.78217,2252.819782,2382.547375,2347.705346,2262.582106,2179.576665,2.4
1210.470802,1217.337079,1223.447381,1277.418895,1772.097326,1861.417788,1956.152872,2021.989239,2047.863744,2231.508467,2303.995094,2676.640133,2719.381073,2795.900775,2840.141636,2929.133882,2925.766893,2900.841272,2984.579047,3490.427916,3560.125495,3422.519702,3425.502295,2910.777338,2951.21649,2974.81975,2888.016933,2806.421111,8.725
796.3101757,797.7865169,798.5016617,839.6203513,1186.555784,1245.580313,1319.890647,1402.772432,1423.425067,1555.227093,1587.050008,1911.692673,1970.716569,2035.561323,2058.687609,2129.203671,2142.165374,2063.322678,2207.065991,2707.472385,2721.631113,2741.564172,2752.893021,2136.044786,2288.524134,2181.607216,2146.300997,2127.809147,1.775
841.7267926,851.6387644,861.824904,904.0233675,1276.353073,1357.536492,1424.680698,1495.419174,1515.643246,1626.322663,1680.172855,1977.78265,2014.574264,2087.378841,2158.440461,2212.339949,2215.677657,2150.212708,2259.242958,2660.278969,2683.608995,2682.435659,2693.964149,2136.442862,2218.293534,2051.739277,1976.298496,1900.401408,4.475
947.7050166,948.3168223,949.3082766,993.7339769,1354.492166,1414.623675,1474.911537,1538.708656,1553.945245,1672.088463,1730.674474,1998.963127,2041.831302,2105.945245,2161.206678,2215.111885,2223.176135,2205.508783,2314.948726,2784.97642,2832.862003,2790.136097,2805.683336,2245.592024,2366.238329,2378.809305,2289.855357,2205.579839,3.9
994.1378383,1004.180567,1013.583795,1058.502453,1466.769742,1578.05982,1654.392942,1733.305586,1761.984966,1873.797753,1918.043203,2242.692356,2300.1812,2399.61054,2433.318405,2488.727805,2486.637759,2451.682386,2548.792372,3081.174869,3119.243076,3078.035923,3081.194968,2502.067416,2621.090995,2556.476025,2515.339294,2473.190378,2.175
1326.224719,1316.881627,1306.591233,1369.943504,1791.520494,1858.252572,1922.644248,1957.43029,1969.722899,2093.677006,2117.285172,2285.281057,2317.748536,2332.532679,2369.160943,2405.170597,2405.101282,2352.876246,2395.902358,2697.114259,2719.358443,2592.462415,2593.659598,1987.786833,1988.02532,1831.392784,1738.749327,1653.725273,4.95
1336.435019,1339.773848,1342.527849,1380.980474,1850.145327,1919.886204,1982.584507,2038.264725,2053.567702,2217.433419,2234.098752,2492.158451,2552.245198,2587.416933,2643.488956,2716.12612,2728.830346,2681.09379,2775.53249,3113.776889,3145.650928,3127.529449,3126.997439,2748.288572,2766.933739,2719.550896,2620.52993,2527.574264,9.0
1790.010273,1784.457303,1780.333387,1821.508989,2445.836437,2524.055538,2601.087319,2663.097753,2676.588122,2752.854575,2755.66565,2836.151685,2882.446388,2931.980899,2935.98122,2941.979615,2922.948957,2821.572552,2874.467897,3110.381862,3124.862279,2878.509952,2891.736437,2172.855377,2284.796308,2151.164045,2093.999839,2042.310433,5.775
823.8060065,830.2318182,838.2061688,885.2118506,1222.891721,1290.60276,1349.58961,1428.516721,1447.303896,1586.312987,1630.769156,1935.804708,1989.660552,2031.514286,2076.139123,2129.009416,2135.671266,2125.108442,2189.257305,2670.289773,2662.839935,2656.01461,2676.562013,2006.527435,2062.310877,2013.571104,1911.604545,1823.953409,1.9
981.7559219,1001.414693,1020.93662,1057.799456,1502.460787,1574.550576,1653.376921,1706.640365,1729.615717,1878.743598,1942.797695,2259.826504,2313.703425,2401.010563,2436.319302,2518.678617,2518.570583,2483.949424,2592.50112,3112.81274,3139.728393,3187.819782,3179.160851,2699.216869,2688.487836,2636.339309,2498.517446,2379.989117,1.675
1031.521607,1035.776729,1039.393246,1101.385243,1568.648528,1663.356274,1739.987516,1823.609795,1850.423656,2021.150608,2076.224872,2480.995839,2557.303457,2651.714629,2677.602913,2765.752561,2780.845711,2786.12644,2890.085948,3405.066901,3464.883163,3406.113796,3400.472471,2821.197023,2938.035051,2954.93774,2861.72007,2768.862836,4.125
1159.84235,1165.886844,1173.447343,1219.014885,1617.683579,1694.431018,1744.246959,1825.412772,1842.345871,1971.403489,2039.815941,2283.683899,2300.791613,2314.731754,2358.297695,2435.666293,2452.410051,2395.444782,2486.056818,2953.869558,2952.756402,2861.420935,2852.390525,2007.412292,2224.973271,2275.927497,2192.40509,2135.494718,4.225
884.3095391,902.7223111,920.634443,960.9894366,1347.96991,1434.919334,1494.806178,1569.709827,1590.871799,1761.231434,1829.229994,2194.853233,2240.828265,2305.143406,2373.955346,2468.384923,2475.109475,2469.071703,2580.615717,3113.545615,3163.354033,3284.028809,3293.901569,3031.84299,3073.830826,2993.239757,2906.700224,2825.555378,1.65
1170.897247,1167.126921,1163.617638,1211.68854,1543.990877,1606.372439,1678.431018,1713.646127,1727.775928,1855.178457,1866.907971,2054.128681,2097.71975,2108.548175,2148.419334,2161.305058,2162.103873,2079.224072,2143.331466,2547.141485,2560.091549,2528.058579,2498.544334,1830.118118,1814.634283,1667.895807,1541.572183,1447.350352,10.2
1234.372439,1249.229834,1264.829065,1332.379481,1780.2492,1866.145967,1956.896767,2041.985115,2062.885083,2197.37596,2272.166453,2561.324584,2604.505442,2659.011524,2748.597311,2812.284251,2821.263924,2755.102593,2880.072503,3400.584827,3450.987196,3330.169334,3323.706146,2744.923816,2828.101152,2819.956306,2753.095871,2690.238636,6.825
1492.338819,1497.886374,1503.813262,1541.224719,2057.996044,2145.395157,2211.19022,2281.185789,2297.075487,2393.834942,2437.071372,2580.021681,2608.571768,2646.112834,2685.495806,2700.913752,2705.653584,2620.915809,2684.487735,3001.973888,3020.322045,2886.727963,2890.28897,2226.413673,2260.504352,2228.087039,2133.6069,2043.30796,8.55
1363.886044,1387.548015,1410.296575,1444.021447,1959.919974,2035.042254,2099.667894,2136.169814,2150.705826,2271.675096,2311.06258,2447.526729,2474.808739,2508.984795,2523.488956,2549.758163,2534.482875,2449.648848,2483.511684,2831.661972,2849.559539,2630.476953,2604.193822,1660.572823,1741.661012,1697.477433,1564.365077,1435.895166,8.225
848.1253363,859.6896661,870.8455452,902.0928944,1247.745688,1319.465263,1379.777022,1442.6069,1464.586169,1585.471435,1626.873081,1922.333914,1959.114417,1983.858205,2072.419845,2127.305903,2124.596772,2096.550878,2194.590125,2650.099858,2671.225194,2642.305428,2641.238171,2132.929103,2126.467479,2056.05618,1994.798069,1942.321412,2.3
896.3600253,903.2291502,910.4162051,951.0541225,1389.877354,1483.720525,1559.919766,1632.416205,1662.996518,1778.942238,1850.055863,2188.083399,2245.675898,2369.729862,2420.60595,2483.020731,2497.145593,2461.84871,2566.436303,3019.013768,3050.395949,3062.038297,3060.76626,2672.348315,2683.368729,2632.573192,2580.322994,2534.09606,2.175
952.4296566,969.8683336,986.8746637,1010.090046,1360.271087,1443.900617,1525.045893,1588.790631,1609.543599,1730.805349,1771.451179,2046.171704,2093.465263,2155.112676,2196.234689,2241.083399,2229.6721,2201.001899,2279.932584,2822.121855,2855.005855,2799.094952,2799.786042,2092.337237,2177.376484,2211.002532,2142.607058,2076.62953,4.625
1343.793419,1353.054735,1362.513162,1402.973515,1847.62809,1956.984751,2028.094061,2117.244783,2142.924719,2238.239807,2295.033708,2501.717175,2535.749278,2616.710754,2662.84077,2694.245425,2687.254093,2594.095666,2676.742857,3056.407544,3079.873515,3038.391974,3029.428892,2528.175923,2532.747352,2385.767897,2255.975762,2157.303852,6.45
2012.67938,2009.817218,2007.408134,2049.807248,2504.728913,2641.267131,2719.443741,2761.271562,2770.663238,2858.352904,2923.375218,3007.470802,2987.845545,2916.067416,2965.516854,2941.89856,2906.215382,2825.202089,2851.140845,3249.293717,3230.420003,3092.013451,3038.39579,2233.330907,2241.621301,2109.173762,1999.407185,1905.084349,6.05
1139.797855,1149.68806,1160.998239,1223.009283,1649.74904,1712.264085,1785.991837,1844.826344,1857.069622,1975.179738,2012.330826,2205.890365,2234.476793,2257.746479,2253.770487,2260.74904,2248.53153,2223.15765,2252.096191,2594.163412,2594.568662,2493.832907,2488.628521,1645.372919,1680.161012,1602.246479,1480.995038,1372.525288,4.525
1038.162367,1047.487261,1057.402437,1097.909321,1484.65944,1578.012818,1641.98639,1709.626681,1727.141795,1847.290711,1907.072322,2138.69932,2176.94746,2240.70106,2292.180567,2357.998576,2363.287387,2316.62684,2401.95474,2819.689508,2851.560057,2764.237221,2765.381389,2166.019307,2225.178193,2222.793796,2203.683652,2189.765469,3.475
962.0705808,975.040671,987.0307011,1023.827504,1415.25542,1472.160627,1535.415256,1591.15493,1615.705966,1746.379332,1829.978478,2095.084824,2129.261434,2207.367305,2259.483463,2345.270454,2353.109353,2327.58063,2425.645355,2943.340402,2979.916917,2936.384238,2940.510049,2339.014559,2489.782877,2490.405444,2389.989555,2291.948568,3.275
1433.057298,1445.888284,1458.556338,1501.101793,2082.791133,2180.010083,2265.9992,2359.490557,2377.090589,2472.993438,2532.238796,2726.601312,2801.904449,2805.525288,2868.065941,2862.748079,2875.551056,2748.935659,2854.770166,3279.067382,3263.8742,3048.914693,3044.144686,2315.828585,2388.097471,2421.319942,2320.725512,2273.244878,11.2
1109.806298,1110.206995,1110.659915,1155.305428,1578.324735,1665.464156,1694.154613,1741.592974,1769.558316,1906.445007,1966.203671,2213.473018,2254.143377,2331.512265,2334.243709,2423.93021,2445.983067,2370.628897,2524.153347,2995.457034,3027.160468,2941.830511,2912.018516,2094.572242,2320.955056,2345.322361,2204.412724,2078.234847,1.625
966.7275928,988.0019206,1009.888764,1021.769206,1409.664853,1486.616037,1554.230954,1635.932778,1662.158451,1771.568022,1840.622119,2134.147567,2177.054417,2256.427177,2302.119238,2367.479353,2362.182298,2339.778969,2418.693022,2935.131242,2941.101152,2870.34507,2866.167093,2289.252081,2357.819622,2329.956786,2289.808259,2260.307778,2.25
1944.681981,1957.525487,1970.92013,2089.124675,2548.923539,2688.086851,2773.690747,2828.23263,2838.226461,2948.676299,3018.508279,3094.743669,3098.031981,3113.943669,3123.598377,3129.277597,3118.081818,2998.586039,3036.896753,3327.886039,3369.320617,3169.254058,3144.939773,2319.476786,2337.820455,2174.693344,2080.971266,1992.778571,6.45
1112.216229,1122.050736,1131.713348,1171.011684,1653.128361,1758.074104,1830.519526,1915.464629,1947.335147,2041.041773,2095.008643,2385.15669,2437.079385,2539.238636,2575.960147,2610.364117,2621.450224,2575.545455,2658.112836,3069.159091,3093.067542,3047.261364,3052.972471,2614.326344,2618.319942,2486.308579,2399.996799,2321.099712,2.125
2238.12356,2253.37548,2270.557458,2335.630602,2893.935819,3004.784091,3066.598111,3093.194302,3096.337708,3260.421735,3267.244878,3308.885563,3334.724872,3297.525288,3308.940301,3324.06322,3339.073944,3238.107875,3281.840269,3462.931018,3475.649328,3263.642606,3242.358195,2446.772407,2690.821703,2496.59443,2443.325384,2400.483195,7.575
1083.117045,1105.220942,1126.091558,1171.925325,1615.309091,1708.833766,1772.899513,1851.185065,1867.498864,1969.641883,2047.821916,2342.864935,2377.821916,2449.732955,2539.776299,2581.487987,2587.668669,2530.025812,2609.026461,3085.564935,3126.124513,3058.259091,3036.261364,2296.581006,2433.810065,2460.013312,2340.930682,2220.751461,3.0
967.5305698,973.2021447,978.2525608,1006.533771,1394.473752,1476.383643,1532.099872,1600.431818,1621.65557,1759.96783,1814.951184,2123.03105,2168.510883,2239.951504,2292.427977,2385.943502,2397.998239,2368.296255,2485.453905,3032.804738,3067.113796,3050.754641,3051.790333,2446.497439,2578.816581,2630.899968,2569.585147,2519.358035,4.825
894.4975471,900.9531571,909.5833201,952.5557841,1368.74996,1422.141795,1511.932901,1588.953632,1612.132932,1769.677481,1815.326634,2156.407976,2221.627947,2312.894604,2360.51179,2414.207311,2405.842064,2418.220446,2482.277101,2966.040829,3001.379332,2994.369837,3005.991613,2461.030068,2505.351638,2557.254945,2490.451654,2428.413831,4.35
