b41,b58,b59,b64,b91,b94,b100,b104,b105,b107,b110,b113,b121,b131,b142,b144,b149,b151,b152,TS
1437.672695,1881.037132,1904.703105,2053.696863,2562.490397,2618.077145,2683.955666,2729.358995,2717.131882,2724.347471,2648.254161,2704.712228,2966.904449,3176.982875,3017.650608,2982.832266,2594.319462,2486.06242,2298.674776,8.875
1024.696946,1418.174395,1446.081025,1565.482038,2133.595664,2230.211742,2314.696313,2348.289128,2358.733819,2364.319671,2318.405919,2439.294034,2703.584428,2931.377433,2979.828454,3011.646147,2687.247349,2567.489476,2552.899509,1.65
1000.029449,1362.081626,1381.783771,1462.391485,1927.709987,2034.107074,2090.991997,2152.12484,2152.572983,2125.895327,2085.455826,2195.697823,2451.175256,2725.492478,2724.09235,2671.350032,2252.847151,2203.191101,2014.871959,1.45
1343.979994,1764.202305,1789.403649,1899.350192,2363.109475,2411.419814,2481.695743,2518.171255,2517.0637,2506.490237,2425.399648,2546.382202,2741.399968,2987.673496,2887.387324,2859.525128,2427.612516,2335.984475,2123.542894,8.2
844.0423701,1220.163799,1243.686039,1346.658117,1929.493344,2038.919318,2099.931006,2182.691883,2177.930357,2191.671753,2139.175487,2232.814773,2465.915097,2721.755682,2737.782305,2694.230682,2276.07289,2217.816071,2141.032143,3.875
1102.368096,1514.338503,1526.641399,1605.07153,2104.037348,2239.717993,2301.581896,2378.316664,2400.906156,2347.276943,2276.929736,2433.069315,2673.846969,2977.799494,2937.581263,2906.664979,2517.903149,2486.308118,2215.169331,2.1
1814.642125,2292.600672,2317.893246,2419.879001,2750.423335,2815.894686,2823.400128,2850.18822,2847.274328,2815.670455,2707.833067,2786.324264,2946.852593,3172.683099,2966.518886,2921.18598,2503.103233,2390.145327,2220.769366,11.8
947.2770487,1313.671895,1334.471511,1468.699424,1991.172055,2101.15509,2171.332106,2219.629481,2214.201184,2254.943502,2231.476953,2308.65573,2565.213828,2831.256722,2844.857875,2820.178777,2485.403169,2401.46831,2252.819782,2.4
1351.756765,1828.486153,1861.417788,2000.727489,2694.02532,2773.490426,2828.863111,2929.133882,2925.766893,2926.42665,2887.459883,2984.579047,3222.768634,3560.125495,3422.519702,3413.470486,3046.44026,3034.15129,2910.777338,8.725
883.8308277,1225.483146,1245.580313,1377.311758,1941.44295,2016.988764,2051.003798,2129.203671,2142.165374,2100.554835,2081.052065,2207.065991,2471.82244,2721.631113,2741.564172,2758.983225,2391.557683,2245.350055,2136.044786,1.775
940.8993278,1331.904289,1357.536492,1470.608195,1994.864117,2060.298335,2144.649808,2212.339949,2215.677657,2186.65781,2135.457907,2259.242958,2515.890205,2683.608995,2682.435659,2704.616997,2340.800576,2288.766165,2136.442862,4.475
1010.62858,1398.732394,1414.623675,1523.018199,2010.697579,2106.329008,2172.110777,2215.111885,2223.176135,2232.0978,2194.119639,2314.948726,2528.203513,2832.862003,2790.136097,2791.403228,2463.541383,2383.821174,2245.592024,3.9
1131.653901,1548.262542,1578.05982,1701.050324,2267.333281,2367.689983,2429.063934,2488.727805,2486.637759,2479.415256,2434.501978,2548.792372,2847.644722,3119.243076,3078.035923,3087.41937,2734.345466,2726.437411,2502.067416,2.175
1452.783827,1839.873239,1858.252572,1954.356227,2300.029435,2345.885267,2371.238171,2405.170597,2405.101282,2393.307011,2334.944453,2395.902358,2582.460832,2719.358443,2592.462415,2613.613072,2138.258269,2028.161893,1987.786833,4.95
1492.647407,1905.732554,1919.886204,2031.867798,2518.454065,2609.784731,2669.46927,2716.12612,2728.830346,2726.234315,2662.623399,2775.53249,2951.004802,3145.650928,3127.529449,3137.59523,2831.302497,2772.659091,2748.288572,9.0
