b52,b58,b59,b64,b66,b69,b71,b72,b77,b78,b80,b91,b92,b95,b96,b99,b104,b109,b136,b143,b144,b152,b158,b161,b162,TS
1596.699584,1881.037132,1904.703105,2053.696863,2107.84347,2157.524488,2209.272727,2216.861556,2336.375,2375.49904,2418.870038,2562.490397,2581.629962,2646.523047,2672.50048,2710.246159,2729.358995,2673.636524,3164.052497,3000.951504,2982.832266,2298.674776,2342.364597,2353.316421,2258.176376,8.875
1172.20921,1418.174395,1446.081025,1565.482038,1617.244342,1669.105238,1727.232948,1746.906156,1808.065833,1832.512898,1866.397056,2133.595664,2167.81247,2242.354961,2261.253205,2322.00633,2348.289128,2331.011869,2931.966767,2997.548346,3011.646147,2552.899509,2598.212692,2493.297041,2406.170755,1.65
1124.615717,1362.081626,1381.783771,1462.391485,1499.314501,1575.926857,1610.690941,1616.060339,1719.46927,1740.326665,1768.93662,1927.709987,1965.433899,2047.753521,2060.53137,2084.866517,2152.12484,2095.269846,2636.946223,2705.209507,2671.350032,2014.871959,2038.210467,2082.014085,1976.837708,1.45
1523.335147,1764.202305,1789.403649,1899.350192,1941.24968,1993.210467,2013.596191,2048.547055,2144.15717,2168.467029,2209.444302,2363.109475,2379.487676,2424.034251,2433.004481,2458.721031,2518.171255,2451.980474,2855.631882,2878.534411,2859.525128,2123.542894,2150.12644,2259.520166,2179.274648,8.2
978.6814935,1220.163799,1243.686039,1346.658117,1398.025812,1469.92224,1520.407955,1530.10487,1635.15763,1649.28961,1688.117532,1929.493344,1967.182305,2036.586201,2045.709253,2101.468506,2182.691883,2159.526786,2671.97289,2725.828571,2694.230682,2141.032143,2144.237175,2056.893669,1942.371916,3.875
1236.081658,1514.338503,1526.641399,1605.07153,1632.008071,1727.373002,1780.789682,1779.213008,1905.282798,1927.312391,1939.633486,2104.037348,2153.868967,2243.966925,2250.189745,2278.394208,2378.316664,2294.805507,2878.794429,2926.552936,2906.664979,2215.169331,2303.229941,2369.46463,2281.905048,2.1
2007.850672,2292.600672,2317.893246,2419.879001,2472.331466,2506.717029,2561.15669,2570.275608,2642.007042,2664.337708,2697.297535,2750.423335,2773.040013,2813.653169,2814.546575,2829.435019,2850.18822,2736.661172,2941.717029,2958.3121,2921.18598,2220.769366,2194.993118,2301.855954,2229.734155,11.8
1065.207746,1313.671895,1334.471511,1468.699424,1520.643086,1557.314981,1607.240557,1620.806818,1731.518246,1764.290493,1797.621319,1991.172055,2028.330826,2113.902049,2132.159731,2184.865877,2219.629481,2242.865557,2912.431178,2838.78217,2820.178777,2252.819782,2333.888444,2347.705346,2262.582106,2.4
1528.702326,1828.486153,1861.417788,2000.727489,2047.863744,2164.131825,2207.184681,2231.508467,2365.843013,2403.748536,2415.544706,2694.02532,2719.381073,2795.900775,2815.33692,2840.141636,2929.133882,2900.841272,3416.005855,3425.502295,3413.470486,2910.777338,2832.935275,2974.81975,2888.016933,8.725
1014.314923,1225.483146,1245.580313,1377.311758,1423.425067,1485.619718,1537.191328,1555.227093,1646.020889,1674.81611,1688.193702,1941.44295,1970.716569,2035.561323,2047.801234,2058.687609,2129.203671,2063.322678,2680.359867,2752.893021,2758.983225,2136.044786,2294.44295,2181.607216,2146.300997,1.775
1075.117798,1331.904289,1357.536492,1470.608195,1515.643246,1555.770967,1599.15685,1626.322663,1717.884123,1739.403809,1774.909571,1994.864117,2014.574264,2087.378841,2111.322663,2158.440461,2212.339949,2150.212708,2706.172215,2693.964149,2704.616997,2136.442862,2200.373079,2051.739277,1976.298496,4.475
1162.898402,1398.732394,1414.623675,1523.018199,1553.945245,1607.400063,1656.762937,1672.088463,1777.181991,1801.480772,1844.217439,2010.697579,2041.831302,2105.945245,2112.972464,2161.206678,2215.111885,2205.508783,2817.83605,2805.683336,2791.403228,2245.592024,2334.479348,2378.809305,2289.855357,3.9
1296.577781,1548.262542,1578.05982,1701.050324,1761.984966,1818.359392,1860.550245,1873.797753,1974.225352,2014.024371,2037.880994,2267.333281,2300.1812,2399.61054,2420.338661,2433.318405,2488.727805,2451.682386,3103.053331,3081.194968,3087.41937,2502.067416,2432.006014,2556.476025,2515.339294,2.175
1602.892863,1839.873239,1858.252572,1954.356227,1969.722899,2052.446115,2069.96376,2093.677006,2150.651052,2177.814686,2236.712455,2300.029435,2317.748536,2332.532679,2332.338028,2369.160943,2405.170597,2352.876246,2729.896186,2593.659598,2613.613072,1987.786833,1928.52176,1831.392784,1738.749327,4.95
