b28,b57,b58,b59,b70,b72,b73,b91,b92,b103,b104,b106,b109,b112,b124,b128,b144,b146,b147,b152,b155,b157,b161,b163,TS
1192.827625,1844.445262,1881.037132,1904.703105,2183.683579,2216.861556,2223.857554,2562.490397,2581.629962,2733.34219,2729.358995,2711.728553,2673.636524,2683.31386,3019.416453,3025.588988,2982.832266,2870.233515,2746.527529,2298.674776,2448.389085,2375.788892,2353.316421,2169.052497,8.875
843.520652,1398.933376,1418.174395,1446.081025,1698.830669,1746.906156,1767.100332,2133.595664,2167.81247,2338.848552,2348.289128,2363.963127,2331.011869,2397.400538,2767.008704,2865.462731,3011.646147,2950.391676,2840.884475,2552.899509,2617.463681,2608.951575,2493.297041,2327.454344,1.65
861.1789373,1327.251601,1362.081626,1381.783771,1595.354353,1616.060339,1620.432618,1927.709987,1965.433899,2150.471351,2152.12484,2141.818502,2095.269846,2159.632042,2528.960307,2581.644686,2671.350032,2519.611396,2373.635563,2014.871959,2046.298656,2038.288252,2082.014085,1880.612356,1.45
1149.334667,1733.706626,1764.202305,1789.403649,2001.399968,2048.547055,2083.817061,2363.109475,2379.487676,2516.460787,2518.171255,2513.84267,2451.980474,2505.649808,2790.131402,2844.610435,2859.525128,2733.256402,2586.536972,2123.542894,2390.242157,2229.118598,2259.520166,2104.183259,8.2
717.6175325,1198.467695,1220.163799,1243.686039,1496.166558,1530.10487,1539.489448,1929.493344,1967.182305,2185.997078,2182.691883,2179.863474,2159.526786,2200.267532,2556.157468,2620.5875,2694.230682,2557.37224,2418.674026,2141.032143,2124.645942,2138.768994,2056.893669,1828.964123,3.875
916.1611014,1476.686818,1514.338503,1526.641399,1757.919608,1779.213008,1777.358759,2104.037348,2153.868967,2354.368254,2378.316664,2385.446748,2294.805507,2381.217914,2754.796487,2788.439152,2906.664979,2766.676215,2617.725115,2215.169331,2488.175819,2362.432822,2369.46463,2198.796012,2.1
1619.552337,2253.575064,2292.600672,2317.893246,2535.15525,2570.275608,2578.116517,2750.423335,2773.040013,2850.600992,2850.18822,2836.439821,2736.661172,2760.221671,3019.175896,3010.9371,2921.18598,2775.474392,2653.212388,2220.769366,2310.579065,2223.515045,2301.855954,2162.40765,11.8
802.1819782,1294.448303,1313.671895,1334.471511,1583.541613,1620.806818,1633.059539,1991.172055,2028.330826,2222.325064,2219.629481,2221.825544,2242.865557,2281.761364,2649.277049,2713.325224,2820.178777,2717.502401,2612.088028,2252.819782,2404.994238,2358.871319,2347.705346,2179.576665,2.4
1104.114259,1800.067257,1828.486153,1861.417788,2185.358759,2231.508467,2256.415889,2694.02532,2719.381073,2921.507201,2929.133882,2919.839057,2900.841272,2948.710081,3281.816268,3334.530464,3413.470486,3319.134357,3174.654376,2910.777338,3003.669726,2886.039721,2974.81975,2806.421111,8.725
747.4687451,1206.168856,1225.483146,1245.580313,1513.363349,1555.227093,1571.185156,1941.44295,1970.716569,2107.128185,2129.203671,2126.267289,2063.322678,2169.581738,2539.932584,2648.408767,2758.983225,2617.383922,2490.867701,2136.044786,2259.41668,2302.927204,2181.607216,2127.809147,1.775
