b66,b87,b91,b94,b102,b103,b114,b124,b131,b142,b145,b150,b152,TS
2107.84347,2544.306818,2562.490397,2618.077145,2707.051697,2733.34219,2717.670615,3019.416453,3176.982875,3017.650608,2958.143406,2545.721831,2298.674776,8.875
1617.244342,2049.217756,2133.595664,2230.211742,2327.692515,2338.848552,2464.11505,2767.008704,2931.377433,2979.828454,3018.592024,2629.44026,2552.899509,1.65
1499.314501,1913.006082,1927.709987,2034.107074,2128.384443,2150.471351,2233.877881,2528.960307,2725.492478,2724.09235,2635.059859,2233.559699,2014.871959,1.45
1941.24968,2301.643726,2363.109475,2411.419814,2505.810019,2516.460787,2572.277529,2790.131402,2987.673496,2887.387324,2837.705026,2385.818182,2123.542894,8.2
1398.025812,1854.401461,1929.493344,2038.919318,2152.275162,2185.997078,2270.118019,2556.157468,2721.755682,2737.782305,2661.075974,2249.10211,2141.032143,3.875
1632.008071,2087.76721,2104.037348,2239.717993,2335.749486,2354.368254,2480.161418,2754.796487,2977.799494,2937.581263,2885.416838,2513.41668,2215.169331,2.1
2472.331466,2730.048656,2750.423335,2815.894686,2837.871159,2850.600992,2812.15637,3019.175896,3172.683099,2966.518886,2871.881082,2452.513764,2220.769366,11.8
1520.643086,1971.056338,1991.172055,2101.15509,2199.158771,2222.325064,2328.939821,2649.277049,2831.256722,2844.857875,2797.040653,2446.737196,2252.819782,2.4
2047.863744,2638.717202,2694.02532,2773.490426,2878.659123,2921.507201,3018.582054,3281.816268,3560.125495,3422.519702,3394.078968,3052.09416,2910.777338,8.725
1423.425067,1848.285488,1941.44295,2016.988764,2085.842538,2107.128185,2236.341668,2539.932584,2721.631113,2741.564172,2732.206837,2337.199557,2136.044786,1.775
1515.643246,1931.565941,1994.864117,2060.298335,2184.040173,2207.729994,2297.740877,2569.542894,2683.608995,2682.435659,2719.887484,2318.774648,2136.442862,4.475
1553.945245,1967.96376,2010.697579,2106.329008,2192.93116,2204.685235,2349.498338,2611.264124,2832.862003,2790.136097,2768.589967,2429.069631,2245.592024,3.9
1761.984966,2206.488527,2267.333281,2367.689983,2461.864694,2486.478398,2586.954581,2942.611014,3119.243076,3078.035923,3092.970565,2729.560373,2502.067416,2.175
1969.722899,2279.219497,2300.029435,2345.885267,2393.027694,2405.305586,2413.237379,2583.330749,2719.358443,2592.462415,2626.329008,2084.542807,1987.786833,4.95
2053.567702,2446.412932,2518.454065,2609.784731,2694.445262,2702.458707,2797.712708,2990.739597,3145.650928,3127.529449,3141.168214,2801.18598,2748.288572,9.0
2676.588122,2841.142055,2853.400482,2938.200803,2936.775281,2951.894703,2891.891172,3016.144462,3124.862279,2878.509952,2902.14366,2315.258266,2172.855377,5.775
1447.303896,1885.145779,1965.588799,2026.871753,2101.91737,2118.217045,2215.655519,2516.936039,2662.839935,2656.01461,2646.200812,2162.91461,2006.527435,1.9
1729.615717,2236.568502,2256.704225,2403.700064,2493.426216,2519.899008,2629.268406,2954.706306,3139.728393,3187.819782,3154.319942,2808.052337,2699.216869,1.675
1850.423656,2411.146287,2521.865557,2623.294814,2738.284411,2750.132362,2912.451184,3177.795935,3464.883163,3406.113796,3370.689981,3038.557618,2821.197023,4.125
1842.345871,2265.727753,2291.016485,2313.651408,2404.252401,2422.622439,2505.452465,2714.580986,2952.756402,2861.420935,2787.40717,2427.585147,2007.412292,4.225
1590.871799,2127.529449,2216.310179,2289.946223,2435.004321,2457.84267,2622.956946,2964.334027,3163.354033,3284.028809,3237.829385,3069.331306,3031.84299,1.65
1727.775928,2030.611236,2072.337548,2127.696863,2163.912772,2162.557458,2169.900928,2402.328905,2560.091549,2528.058579,2439.741677,1886.221831,1830.118118,10.2
2062.885083,2515.175736,2578.684699,2653.981114,2778.176697,2798.367638,2923.522407,3208.444462,3450.987196,3330.169334,3259.889725,2971.181498,2744.923816,6.825
2297.075487,2561.685393,2587.311758,2651.986865,2687.830353,2693.94113,2711.687609,2880.197183,3020.322045,2886.727963,2820.285013,2399.347365,2226.413673,8.55
2150.705826,2459.90605,2438.366197,2533.708387,2543.349552,2565.423656,2512.34235,2683.423335,2849.559539,2630.476953,2522.347631,1918.597791,1660.572823,8.225
1464.586169,1868.683019,1937.880677,1997.254787,2099.267764,2124.193385,2231.660706,2460.247191,2671.225194,2642.305428,2611.754708,2278.651211,2132.929103,2.3
1662.996518,2147.448172,2210.718785,2317.814844,2449.035449,2467.939231,2594.568761,2921.329957,3050.395949,3062.038297,3077.705017,2778.241336,2672.348315,2.175
1609.543599,2019.865169,2054.736509,2162.76626,2224.198607,2250.163475,2314.879253,2605.120747,2855.005855,2799.094952,2774.225352,2321.674474,2092.337237,4.625
