b31,b33,b35,b36,b58,b59,b60,b66,b72,b78,b87,b91,b103,b104,b108,b112,b143,b144,b161,b162,TS
1263.622119,1293.257362,1317.372439,1328.744398,1881.037132,1904.703105,1927.34459,2107.84347,2216.861556,2375.49904,2544.306818,2562.490397,2733.34219,2729.358995,2707.022887,2683.31386,3000.951504,2982.832266,2353.316421,2258.176376,8.875
906.7406235,920.0427283,950.6469378,966.5864852,1418.174395,1446.081025,1473.691565,1617.244342,1746.906156,1832.512898,2049.217756,2133.595664,2338.848552,2348.289128,2351.7047,2397.400538,2997.548346,3011.646147,2493.297041,2406.170755,1.65
922.5171255,932.3660371,929.365717,929.7064661,1362.081626,1381.783771,1401.019686,1499.314501,1616.060339,1740.326665,1913.006082,1927.709987,2150.471351,2152.12484,2110.196383,2159.632042,2705.209507,2671.350032,2082.014085,1976.837708,1.45
1204.970871,1226.702145,1248.319462,1259.441741,1764.202305,1789.403649,1815.544174,1941.24968,2048.547055,2168.467029,2301.643726,2363.109475,2516.460787,2518.171255,2481.903649,2505.649808,2878.534411,2859.525128,2259.520166,2179.274648,8.2
747.299513,768.5180195,787.3925325,796.7603896,1220.163799,1243.686039,1266.465909,1398.025812,1530.10487,1649.28961,1854.401461,1929.493344,2185.997078,2182.691883,2180.350325,2200.267532,2725.828571,2694.230682,2056.893669,1942.371916,3.875
989.1607849,994.0235797,1018.834942,1032.153822,1514.338503,1526.641399,1538.86501,1632.008071,1779.213008,1927.312391,2087.76721,2104.037348,2354.368254,2378.316664,2319.882576,2381.217914,2926.552936,2906.664979,2369.46463,2281.905048,2.1
1680.326344,1691.489757,1732.415493,1754.395006,2292.600672,2317.893246,2342.516485,2472.331466,2570.275608,2664.337708,2730.048656,2750.423335,2850.600992,2850.18822,2777.304898,2760.221671,2958.3121,2921.18598,2301.855954,2229.734155,11.8
848.7426376,864.3509923,874.3626761,878.793854,1313.671895,1334.471511,1355.020967,1520.643086,1620.806818,1764.290493,1971.056338,1991.172055,2222.325064,2219.629481,2256.994878,2281.761364,2838.78217,2820.178777,2347.705346,2262.582106,2.4
1210.470802,1223.447381,1258.625099,1277.418895,1828.486153,1861.417788,1896.055389,2047.863744,2231.508467,2403.748536,2638.717202,2694.02532,2921.507201,2929.133882,2918.807248,2948.710081,3425.502295,3413.470486,2974.81975,2888.016933,8.725
796.3101757,798.5016617,824.9631271,839.6203513,1225.483146,1245.580313,1265.385188,1423.425067,1555.227093,1674.81611,1848.285488,1941.44295,2107.128185,2129.203671,2076.815319,2169.581738,2752.893021,2758.983225,2181.607216,2146.300997,1.775
841.7267926,861.824904,890.8767606,904.0233675,1331.904289,1357.536492,1381.770006,1515.643246,1626.322663,1739.403809,1931.565941,1994.864117,2207.729994,2212.339949,2168.196223,2217.809859,2693.964149,2704.616997,2051.739277,1976.298496,4.475
947.7050166,949.3082766,976.9759456,993.7339769,1398.732394,1414.623675,1431.381864,1553.945245,1672.088463,1801.480772,1967.96376,2010.697579,2204.685235,2215.111885,2222.456718,2271.964077,2805.683336,2791.403228,2378.809305,2289.855357,3.9
994.1378383,1013.583795,1043.015192,1058.502453,1548.262542,1578.05982,1608.252255,1761.984966,1873.797753,2014.024371,2206.488527,2267.333281,2486.478398,2488.727805,2467.890014,2507.049691,3081.194968,3087.41937,2556.476025,2515.339294,2.175
1326.224719,1306.591233,1346.923406,1369.943504,1839.873239,1858.252572,1877.053173,1969.722899,2093.677006,2177.814686,2279.219497,2300.029435,2405.305586,2405.170597,2375.248299,2374.850768,2593.659598,2613.613072,1831.392784,1738.749327,4.95
1336.435019,1342.527849,1367.480154,1380.980474,1905.732554,1919.886204,1932.772407,2053.567702,2217.433419,2289.18662,2446.412932,2518.454065,2702.458707,2716.12612,2705.012164,2735.323303,3126.997439,3137.59523,2719.550896,2620.52993,9.0
1790.010273,1780.333387,1805.515409,1821.508989,2500.354414,2524.055538,2548.288443,2676.588122,2752.854575,2849.494061,2841.142055,2853.400482,2951.894703,2941.979615,2875.525843,2838.817657,2891.736437,2901.597592,2151.164045,2093.999839,5.775
823.8060065,838.2061688,867.9741883,885.2118506,1276.120617,1290.60276,1305.186039,1447.303896,1586.312987,1689.955195,1885.145779,1965.588799,2118.217045,2129.009416,2144.973377,2164.299675,2676.562013,2671.434578,2013.571104,1911.604545,1.9
981.7559219,1020.93662,1044.918534,1057.799456,1537.84219,1574.550576,1611.473431,1729.615717,1878.743598,1987.7508,2236.568502,2256.704225,2519.899008,2518.678617,2507.546575,2550.548175,3179.160851,3168.24936,2636.339309,2498.517446,1.675
1031.521607,1039.393246,1078.378041,1101.385243,1644.409891,1663.356274,1680.854193,1850.423656,2021.150608,2178.739277,2411.146287,2521.865557,2750.132362,2765.752561,2792.816261,2851.963348,3400.472471,3386.838828,2954.93774,2861.72007,4.125
1159.84235,1173.447343,1207.609955,1219.014885,1673.613476,1694.431018,1714.838828,1842.345871,1971.403489,2084.099072,2265.727753,2291.016485,2422.622439,2435.666293,2422.628521,2449.886204,2852.390525,2841.822023,2275.927497,2192.40509,4.225
884.3095391,920.634443,947.8111396,960.9894366,1418.173976,1434.919334,1450.246639,1590.871799,1761.231434,1882.332266,2127.529449,2216.310179,2457.84267,2468.384923,2480.458387,2536.109475,3293.901569,3267.208227,2993.239757,2906.700224,1.65
1170.897247,1163.617638,1197.068182,1211.68854,1589.396447,1606.372439,1623.501921,1727.775928,1855.178457,1960.385403,2030.611236,2072.337548,2162.557458,2161.305058,2113.425896,2113.34283,2498.544334,2469.836428,1667.895807,1541.572183,10.2
1234.372439,1264.829065,1310.462548,1332.379481,1838.497279,1866.145967,1893.795935,2062.885083,2197.37596,2333.059699,2515.175736,2578.684699,2798.367638,2812.284251,2779.779289,2832.041293,3323.706146,3295.684219,2819.956306,2753.095871,6.825
1492.338819,1503.813262,1528.551511,1541.224719,2128.839215,2145.395157,2161.5417,2297.075487,2393.834942,2487.31065,2561.685393,2587.311758,2693.94113,2700.913752,2659.744263,2650.547397,2890.28897,2858.7047,2228.087039,2133.6069,8.55
1363.886044,1410.296575,1433.972791,1444.021447,2010.46767,2035.042254,2059.790013,2150.705826,2271.675096,2331.190141,2459.90605,2438.366197,2565.423656,2549.758163,2488.129321,2458.90685,2604.193822,2564.057458,1697.477433,1564.365077,8.225
848.1253363,870.8455452,891.7474284,902.0928944,1297.360342,1319.465263,1342.48552,1464.586169,1585.471435,1671.24181,1868.683019,1937.880677,2124.193385,2127.305903,2110.128976,2158.64583,2641.238171,2631.990347,2056.05618,1994.798069,2.3
