b58,b91,b92,b103,b105,b109,b110,b111,b113,b124,b127,b132,b142,b145,b152,b156,b161,b163,TS
1881.037132,2562.490397,2581.629962,2733.34219,2717.131882,2673.636524,2648.254161,2662.46911,2704.712228,3019.416453,3020.837708,3168.191261,3017.650608,2958.143406,2298.674776,2413.050896,2353.316421,2169.052497,8.875
1418.174395,2133.595664,2167.81247,2338.848552,2358.733819,2331.011869,2318.405919,2354.006488,2439.294034,2767.008704,2846.843963,2944.069473,2979.828454,3018.592024,2552.899509,2614.22551,2493.297041,2327.454344,1.65
1362.081626,1927.709987,1965.433899,2150.471351,2152.572983,2095.269846,2085.455826,2122.984155,2195.697823,2528.960307,2559.042093,2688.118918,2724.09235,2635.059859,2014.871959,2042.28041,2082.014085,1880.612356,1.45
1764.202305,2363.109475,2379.487676,2516.460787,2517.0637,2451.980474,2425.399648,2463.695262,2546.382202,2790.131402,2830.370679,2957.491197,2887.387324,2837.705026,2123.542894,2309.214149,2259.520166,2104.183259,8.2
1220.163799,1929.493344,1967.182305,2185.997078,2177.930357,2159.526786,2139.175487,2168.375487,2232.814773,2556.157468,2610.828896,2713.748701,2737.782305,2661.075974,2141.032143,2131.622078,2056.893669,1828.964123,3.875
1514.338503,2104.037348,2153.868967,2354.368254,2400.906156,2294.805507,2276.929736,2329.491059,2433.069315,2754.796487,2774.658332,2931.725906,2937.581263,2885.416838,2215.169331,2425.116474,2369.46463,2198.796012,2.1
2292.600672,2750.423335,2773.040013,2850.600992,2847.274328,2736.661172,2707.833067,2732.551376,2786.324264,3019.175896,2999.679738,3091.783611,2966.518886,2871.881082,2220.769366,2265.535691,2301.855954,2162.40765,11.8
1313.671895,1991.172055,2028.330826,2222.325064,2214.201184,2242.865557,2231.476953,2254.173656,2308.65573,2649.277049,2699.645006,2855.082907,2844.857875,2797.040653,2252.819782,2382.547375,2347.705346,2179.576665,2.4
1828.486153,2694.02532,2719.381073,2921.507201,2925.766893,2900.841272,2887.459883,2910.868017,2984.579047,3281.816268,3311.475075,3523.202405,3422.519702,3394.078968,2910.777338,2951.21649,2974.81975,2806.421111,8.725
1225.483146,1941.44295,1970.716569,2107.128185,2142.165374,2063.322678,2081.052065,2126.543124,2207.065991,2539.932584,2612.689191,2740.469695,2741.564172,2732.206837,2136.044786,2288.524134,2181.607216,2127.809147,1.775
1331.904289,1994.864117,2014.574264,2207.729994,2215.677657,2150.212708,2135.457907,2175.828585,2259.242958,2569.542894,2592.536812,2706.493918,2682.435659,2719.887484,2136.442862,2218.293534,2051.739277,1900.401408,4.475
1398.732394,2010.697579,2041.831302,2204.685235,2223.176135,2205.508783,2194.119639,2227.34515,2314.948726,2611.264124,2635.919133,2798.266814,2790.136097,2768.589967,2245.592024,2366.238329,2378.809305,2205.579839,3.9
1548.262542,2267.333281,2300.1812,2486.478398,2486.637759,2451.682386,2434.501978,2466.370312,2548.792372,2942.611014,2968.672258,3114.141953,3078.035923,3092.970565,2502.067416,2621.090995,2556.476025,2473.190378,2.175
1839.873239,2300.029435,2317.748536,2405.305586,2405.101282,2352.876246,2334.944453,2353.232315,2395.902358,2583.330749,2650.329957,2747.125495,2592.462415,2626.329008,1987.786833,1988.02532,1831.392784,1653.725273,4.95
1905.732554,2518.454065,2552.245198,2702.458707,2728.830346,2681.09379,2662.623399,2695.645006,2775.53249,2990.739597,3064.466229,3165.068022,3127.529449,3141.168214,2748.288572,2766.933739,2719.550896,2527.574264,9.0
2500.354414,2853.400482,2882.446388,2951.894703,2922.948957,2821.572552,2778.703531,2802.294382,2874.467897,3016.144462,3011.880417,3071.084751,2878.509952,2902.14366,2172.855377,2284.796308,2151.164045,2042.310433,5.775
1276.120617,1965.588799,1989.660552,2118.217045,2135.671266,2125.108442,2117.77711,2138.176623,2189.257305,2516.936039,2582.50487,2673.984578,2656.01461,2646.200812,2006.527435,2062.310877,2013.571104,1823.953409,1.9
1537.84219,2256.704225,2313.703425,2519.899008,2518.570583,2483.949424,2467.004481,2509.184379,2592.50112,2954.706306,2989.456786,3138.013604,3187.819782,3154.319942,2699.216869,2688.487836,2636.339309,2379.989117,1.675
1644.409891,2521.865557,2557.303457,2750.132362,2780.845711,2786.12644,2782.403649,2813.419974,2890.085948,3177.795935,3250.507362,3439.732074,3406.113796,3370.689981,2821.197023,2938.035051,2954.93774,2768.862836,4.125
1673.613476,2291.016485,2300.791613,2422.622439,2452.410051,2395.444782,2383.733195,2414.809859,2486.056818,2714.580986,2780.385563,2928.990237,2861.420935,2787.40717,2007.412292,2224.973271,2275.927497,2135.494718,4.225
1418.173976,2216.310179,2240.828265,2457.84267,2475.109475,2469.071703,2460.111876,2490.616997,2580.615717,2964.334027,2975.915813,3168.759763,3284.028809,3237.829385,3031.84299,3073.830826,2993.239757,2825.555378,1.65
1589.396447,2072.337548,2097.71975,2162.557458,2162.103873,2079.224072,2056.213508,2084.977753,2143.331466,2402.328905,2467.349072,2560.110915,2528.058579,2439.741677,1830.118118,1814.634283,1667.895807,1447.350352,10.2
1838.497279,2578.684699,2604.505442,2798.367638,2821.263924,2755.102593,2738.023367,2780.721031,2880.072503,3208.444462,3194.548175,3394.421575,3330.169334,3259.889725,2744.923816,2828.101152,2819.956306,2690.238636,6.825
2128.839215,2587.311758,2608.571768,2693.94113,2705.653584,2620.915809,2590.231207,2613.889698,2684.487735,2880.197183,2904.216173,2968.921823,2886.727963,2820.285013,2226.413673,2260.504352,2228.087039,2043.30796,8.55
2010.46767,2438.366197,2474.808739,2565.423656,2534.482875,2449.648848,2409.735435,2433.767446,2483.511684,2683.423335,2703.814981,2777.264565,2630.476953,2522.347631,1660.572823,1741.661012,1697.477433,1435.895166,8.225
1297.360342,1937.880677,1959.114417,2124.193385,2124.596772,2096.550878,2091.41304,2120.326159,2194.590125,2460.247191,2522.85868,2655.530147,2642.305428,2611.754708,2132.929103,2126.467479,2056.05618,1942.321412,2.3
1453.110777,2210.718785,2245.675898,2467.939231,2497.145593,2461.84871,2460.20652,2491.349581,2566.436303,2921.329957,2933.434246,3077.538851,3062.038297,3077.705017,2672.348315,2683.368729,2632.573192,2534.09606,2.175
1411.719576,2054.736509,2093.465263,2250.163475,2229.6721,2201.001899,2196.142902,2223.53078,2279.932584,2605.120747,2681.189429,2833.216332,2799.094952,2774.225352,2092.337237,2177.376484,2211.002532,2076.62953,4.625
1922.126645,2515.578812,2535.749278,2698.673034,2687.254093,2594.095666,2582.00305,2613.886838,2676.742857,2954.881059,2969.164205,3100.582504,3038.391974,3007.79374,2528.175923,2532.747352,2385.767897,2157.303852,6.45
2588.687134,2991.097167,2987.845545,2975.613388,2906.215382,2825.202089,2792.531571,2811.560848,2851.140845,3021.862795,3076.467479,3165.43203,3092.013451,2927.511632,2233.330907,2241.621301,2109.173762,1905.084349,6.05
1690.632522,2218.108835,2234.476793,2267.435819,2248.53153,2223.15765,2203.654449,2214.085467,2252.096191,2463.993118,2532.253681,2565.526569,2493.832907,2415.521447,1645.372919,1680.161012,1602.246479,1372.525288,4.525
1556.745846,2142.777022,2176.94746,2349.052856,2363.287387,2316.62684,2307.336762,2335.265865,2401.95474,2657.932584,2699.648046,2807.862478,2764.237221,2710.459566,2166.019307,2225.178193,2222.793796,2189.765469,3.475
1451.523659,2108.078968,2129.261434,2334.491059,2353.109353,2327.58063,2310.432505,2346.514164,2425.645355,2727.469378,2780.011078,2935.962178,2936.384238,2930.38946,2339.014559,2489.782877,2490.405444,2291.948568,3.275
2162.571383,2754.991357,2801.904449,2847.542734,2875.551056,2748.935659,2736.553777,2776.165333,2854.770166,3087.552017,3103.091709,3219.909571,3048.914693,2994.204545,2315.828585,2388.097471,2421.319942,2273.244878,11.2
1665.316031,2213.771483,2254.143377,2401.667985,2445.983067,2370.628897,2348.808831,2405.881785,2524.153347,2770.049058,2776.383288,2982.488052,2941.830511,2841.745213,2094.572242,2320.955056,2345.322361,2078.234847,1.625
1464.430218,2150.268246,2177.054417,2363.982714,2362.182298,2339.778969,2327.589949,2355.111876,2418.693022,2758.973431,2803.56194,2917.306978,2870.34507,2834.519526,2289.252081,2357.819622,2329.956786,2260.307778,2.25
2661.041071,3099.330195,3098.031981,3136.890584,3118.081818,2998.586039,2966.57711,2981.808279,3036.896753,3219.867208,3200.043669,3306.187338,3169.254058,2985.053247,2319.476786,2337.820455,2174.693344,1992.778571,6.45
1730.68806,2411.483515,2437.079385,2597.691421,2621.450224,2575.545455,2567.070423,2593.324264,2658.112836,3000.205506,3009.832746,3128.285531,3047.261364,3088.584507,2614.326344,2618.319942,2486.308579,2321.099712,2.125
2991.462068,3319.212708,3334.724872,3296.810339,3339.073944,3238.107875,3223.93742,3241.247599,3281.840269,3352.215749,3404.505922,3470.550256,3263.642606,3188.53105,2446.772407,2690.821703,2496.59443,2400.483195,7.575
1694.326136,2343.514123,2377.821916,2574.527597,2587.668669,2530.025812,2497.354545,2531.428084,2609.026461,2896.156006,2926.39026,3093.919481,3058.259091,2960.238961,2296.581006,2433.810065,2460.013312,2220.751461,3.0
1461.018406,2130.855154,2168.510883,2369.93758,2397.998239,2368.296255,2369.725832,2406.65605,2485.453905,2810.578585,2871.746799,3021.618598,3050.754641,2988.864757,2446.497439,2578.816581,2630.899968,2519.358035,4.825
1396.290078,2180.045102,2221.627947,2415.022788,2405.842064,2418.220446,2406.976895,2425.414781,2482.277101,2841.430764,2899.80978,2984.194335,2994.369837,2972.965184,2461.030068,2505.351638,2557.254945,2428.413831,4.35
1538.752492,2241.146542,2276.95379,2497.391676,2483.747745,2432.75455,2420.238962,2469.393733,2570.336287,2831.032917,2918.314607,3106.927995,3109.344833,2943.563539,2233.287545,2418.213958,2445.198133,2296.256686,2.15
2082.885108,2725.697737,2752.488368,2859.094002,2887.188479,2793.962494,2781.590125,2801.883684,2842.614812,3123.40671,3163.605317,3297.977053,3149.24007,3110.781295,2447.335813,2635.849502,2519.689983,2341.686976,8.125
1281.707586,1976.458547,2003.323784,2165.085627,2201.074904,2199.107394,2189.0008,2217.447183,2287.524968,2584.025928,2655.485755,2803.900288,2783.449584,2773.756402,2273.491997,2380.885403,2350.620038,2152.354513,1.475
2443.201825,2843.986076,2849.572343,2943.477113,2923.634763,2768.190941,2732.713188,2771.276729,2845.613956,3007.901569,2986.085147,3095.581626,2883.026248,2851.432939,1995.971191,2069.304257,2049.4992,1850.994878,8.375
1464.71719,2174.067222,2203.048816,2381.151889,2466.254481,2379.431018,2380.357554,2434.509283,2545.021127,2854.118438,2874.691581,3106.011684,3095.180058,3019.330186,2351.990717,2564.304097,2614.820102,2487.637484,1.325
