b17,b36,b59,b71,b78,b154,TS
748.6402049,1328.744398,1904.703105,2209.272727,2375.49904,2347.290333,8.875
554.3739516,966.5864852,1446.081025,1727.232948,1832.512898,2591.108561,1.65
546.1680538,929.7064661,1381.783771,1610.690941,1740.326665,2013.828745,1.45
699.6432458,1259.441741,1789.403649,2013.596191,2168.467029,2263.922055,8.2
428.4225649,796.7603896,1243.686039,1520.407955,1649.28961,2115.301786,3.875
580.7974363,1032.153822,1526.641399,1780.789682,1927.312391,2389.207628,2.1
1118.548496,1754.395006,2317.893246,2561.15669,2664.337708,2257.49952,11.8
504.7596031,878.793854,1334.471511,1607.240557,1764.290493,2316.24952,2.4
742.576357,1277.418895,1861.417788,2207.184681,2403.748536,2921.861845,8.725
465.1178984,839.6203513,1245.580313,1537.191328,1674.81611,2223.099225,1.775
509.1523688,904.0233675,1357.536492,1599.15685,1739.403809,2189.276248,4.475
578.5739832,993.7339769,1414.623675,1656.762937,1801.480772,2286.737617,3.9
582.4769742,1058.502453,1578.05982,1860.550245,2014.024371,2558.010603,2.175
895.1139421,1369.943504,1858.252572,2069.96376,2177.814686,2004.29894,4.95
870.8039373,1380.980474,1919.886204,2200.628521,2289.18662,2761.304417,9.0
1158.950722,1821.508989,2524.055538,2744.671268,2849.494061,2278.62809,5.775
487.1056818,885.2118506,1290.60276,1555.761039,1689.955195,2015.966234,1.9
617.828105,1057.799456,1574.550576,1868.68758,1987.7508,2664.620198,1.675
620.0830666,1101.385243,1663.356274,2001.0,2178.739277,2893.162932,4.125
722.7197503,1219.014885,1694.431018,1941.838508,2084.099072,2216.114277,4.225
549.9361396,960.9894366,1434.919334,1730.12516,1882.332266,3041.131562,1.65
767.5208067,1211.68854,1606.372439,1834.53137,1960.385403,1838.926697,10.2
787.2634443,1332.379481,1866.145967,2152.319782,2333.059699,2804.995679,6.825
952.4644722,1541.224719,2145.395157,2383.181041,2487.31065,2237.377433,8.55
887.0113636,1444.021447,2035.042254,2276.238636,2331.190141,1745.576024,8.225
524.6396582,902.0928944,1319.465263,1582.178984,1671.24181,2129.023421,2.3
532.4135148,951.0541225,1483.720525,1760.008546,1937.901408,2652.052065,2.175
576.3078019,1010.090046,1443.900617,1731.989081,1841.739199,2125.226935,4.625
861.5346709,1402.973515,1956.984751,2204.182183,2355.17496,2497.547673,6.45
1423.862003,2049.807248,2641.267131,2833.29435,2939.997784,2268.93116,6.05
680.349872,1223.009283,1712.264085,1951.196863,2039.825224,1646.18838,4.525
608.9417629,1097.909321,1578.012818,1833.26175,1985.57699,2179.473651,3.475
590.1050799,1023.827504,1472.160627,1716.303371,1889.541067,2449.049375,3.275
875.9322983,1501.101793,2180.010083,2471.356914,2598.704225,2452.65589,11.2
667.8013926,1155.305428,1665.464156,1883.934325,2054.750119,2271.81611,1.625
588.4204545,1021.769206,1486.616037,1760.916133,1917.007522,2373.671895,2.25
1375.083604,2089.124675,2688.086851,2889.987175,3032.166071,2329.562662,6.45
679.4113316,1171.011684,1758.074104,2021.56226,2177.341709,2624.668534,2.125
1702.060659,2335.630602,3004.784091,3241.31258,3253.994558,2611.547375,7.575
617.7915584,1171.925325,1708.833766,1945.934416,2115.775325,2395.794805,3.0
581.8098592,1006.533771,1476.383643,1745.306978,1898.671895,2556.333387,4.825
536.0680487,952.5557841,1422.141795,1744.548663,1861.562906,2459.739516,4.35
607.7018516,1049.770375,1570.873081,1836.408134,2016.708182,2407.989714,2.15
920.6178193,1515.009337,2118.273303,2393.359551,2523.977528,2602.842697,8.125
516.7205506,881.7778489,1300.237996,1575.78201,1739.912132,2320.518086,1.475
1144.75,1798.773528,2475.53089,2667.828585,2783.240237,2131.022087,8.375
537.9321383,987.8145006,1470.106434,1732.911972,1929.512004,2545.409731,1.325
