b30,b31,b38,b60,b70,TS
1253.06178,1263.622119,1371.007362,1927.34459,2183.683579,8.875
896.1596772,906.7406235,995.9457193,1473.691565,1698.830669,1.65
912.5054417,922.5171255,983.2099872,1401.019686,1595.354353,1.45
1200.414533,1204.970871,1282.096351,1815.544174,2001.399968,8.2
747.7456169,747.299513,830.250487,1266.465909,1496.166558,3.875
975.4037031,989.1607849,1056.238804,1538.86501,1757.919608,2.1
1676.170775,1680.326344,1771.879962,2342.516485,2535.15525,11.8
844.0192061,848.7426376,913.5617798,1355.020967,1583.541613,2.4
1188.489634,1210.470802,1319.24276,1896.055389,2185.358759,8.725
787.6635544,796.3101757,872.4821966,1265.385188,1513.363349,1.775
836.7488796,841.7267926,909.7487196,1381.770006,1576.602433,4.475
940.5945561,947.7050166,1013.689508,1431.381864,1633.496281,3.9
987.9950942,994.1378383,1091.343251,1608.252255,1839.709289,2.175
1327.118531,1326.224719,1389.170913,1877.053173,2059.294034,4.95
1335.215429,1336.435019,1428.164213,1932.772407,2175.904449,9.0
1755.445746,1790.010273,1851.807544,2548.288443,2727.564526,5.775
819.3081169,823.8060065,904.0256494,1305.186039,1530.90974,1.9
975.7620038,981.7559219,1093.201024,1611.473431,1840.761044,1.675
1023.597151,1031.521607,1127.182778,1680.854193,1982.084507,4.125
1149.483195,1159.84235,1224.84299,1714.838828,1914.555378,4.225
874.4580666,884.3095391,975.0648207,1450.246639,1701.861556,1.65
1159.515845,1170.897247,1219.215749,1623.501921,1813.495999,10.2
1218.090909,1234.372439,1309.108675,1893.795935,2133.606274,6.825
1490.008862,1492.338819,1576.393733,2161.5417,2368.871973,8.55
1370.491997,1363.886044,1491.614757,2059.790013,2252.330026,8.225
845.6751068,848.1253363,938.3883526,1342.48552,1546.947618,2.3
886.3763254,896.3600253,976.2975154,1513.052856,1749.003007,2.175
942.3927837,952.4296566,1050.996677,1476.729704,1701.413357,4.625
1333.817978,1343.793419,1421.155056,1992.398395,2187.758748,6.45
2007.313974,2012.67938,2083.570185,2695.649312,2808.75724,6.05
1140.860275,1139.797855,1245.809859,1734.115077,1936.076344,4.525
1031.65485,1038.162367,1120.273144,1597.60595,1802.656749,3.475
960.74094,962.0705808,1030.668144,1493.208894,1708.687767,3.275
1417.262964,1433.057298,1567.200224,2197.398688,2458.493438,11.2
1097.100649,1109.806298,1165.048109,1667.125495,1873.523975,1.625
962.3903649,966.7275928,1042.399648,1507.691261,1740.551536,2.25
1928.768669,1944.681981,2078.965422,2711.132468,2896.470292,6.45
1102.901729,1112.216229,1204.264725,1785.654449,2010.205506,2.125
2262.126921,2238.12356,2413.819942,3017.524648,3207.87596,7.575
1081.921266,1083.117045,1195.078734,1722.002435,1925.065909,3.0
960.8122599,967.5305698,1021.208867,1490.752721,1714.184699,4.825
892.096376,894.4975471,988.7024846,1449.845229,1722.670517,4.35
1009.970565,1020.592974,1085.320462,1602.391676,1814.661655,2.15
1449.362716,1462.681595,1557.745371,2153.155879,2375.575566,8.125
848.3353073,846.650128,903.8492318,1317.508643,1547.683099,1.475
1720.854033,1723.733195,1809.372439,2508.74936,2649.995519,8.375
923.3927657,939.0774648,992.740557,1475.028649,1713.113636,1.325
