b24,b31,b37,b58,b59,b70,b72,b85,b86,b95,b96,b108,b112,b113,b116,b122,b129,b143,TS
925.5065621,1263.622119,1349.489597,1881.037132,1904.703105,2183.683579,2216.861556,2542.924456,2562.556818,2646.523047,2672.50048,2707.022887,2683.31386,2704.712228,2730.81226,2984.799936,3061.338508,3000.951504,2.2923914230731737
656.80978,906.7406235,981.2796329,1418.174395,1446.081025,1698.830669,1746.906156,2021.447856,2040.801709,2242.354961,2261.253205,2351.7047,2397.400538,2439.294034,2485.44833,2723.997626,2888.831302,2997.548346,0.5063756211519992
665.1171575,922.5171255,955.7765685,1362.081626,1381.783771,1595.354353,1616.060339,1875.643086,1894.587388,2047.753521,2060.53137,2110.196383,2159.632042,2195.697823,2312.756242,2479.197343,2634.347471,2705.209507,0.3746408034078961
879.5112036,1204.970871,1271.183259,1764.202305,1789.403649,2001.399968,2048.547055,2281.794334,2302.255762,2424.034251,2433.004481,2481.903649,2505.649808,2546.382202,2605.190301,2757.610275,2886.476953,2878.534411,2.2054004200751924
536.9366883,747.299513,813.3560065,1220.163799,1243.686039,1496.166558,1530.10487,1802.105844,1822.742532,2036.586201,2045.709253,2180.350325,2200.267532,2232.814773,2352.704221,2496.338799,2647.805844,2725.828571,1.3960441798593108
713.8795696,989.1607849,1044.071372,1514.338503,1526.641399,1757.919608,1779.213008,2054.547397,2076.263016,2243.966925,2250.189745,2319.882576,2381.217914,2433.069315,2563.530305,2703.796487,2850.541225,2926.552936,0.7542745689230116
1321.413092,1680.326344,1763.653969,2292.600672,2317.893246,2535.15525,2570.275608,2699.15509,2710.12404,2813.653169,2814.546575,2777.304898,2760.221671,2786.324264,2870.223592,2972.928617,3061.754962,2958.3121,2.6081933409025377
614.1930218,848.7426376,896.0670615,1313.671895,1334.471511,1583.541613,1620.806818,1959.682458,1980.207266,2113.902049,2132.159731,2256.994878,2281.761364,2308.65573,2360.877241,2593.96959,2744.388604,2838.78217,0.8926805424328147
869.0914702,1210.470802,1298.594714,1828.486153,1861.417788,2185.358759,2231.508467,2576.984966,2629.289761,2795.900775,2815.33692,2918.807248,2948.710081,2984.579047,3082.417788,3243.197341,3382.075803,3425.502295,2.2736202580814875
555.4620984,796.3101757,855.6567495,1225.483146,1245.580313,1513.363349,1555.227093,1831.972622,1844.619085,2035.561323,2047.801234,2076.815319,2169.581738,2207.065991,2294.728913,2493.368571,2685.752018,2752.893021,0.581161143981072
607.7327145,841.7267926,906.7349552,1331.904289,1357.536492,1576.602433,1626.322663,1902.381562,1922.159731,2087.378841,2111.322663,2168.196223,2217.809859,2259.242958,2367.533771,2537.519046,2640.479033,2693.964149,1.549403819541715
