b25,b29,b48,b58,b66,b109,b140,TS
948.346991,1243.667254,1558.606754,1881.037132,2107.84347,2673.636524,3042.761204,2.2923914230731737
669.5459725,884.2285172,1130.093053,1418.174395,1617.244342,2331.011869,2930.978794,0.5063756211519992
679.1341229,900.5462548,1080.722151,1362.081626,1499.314501,2095.269846,2607.954545,0.3746408034078961
912.4242958,1196.658131,1459.677657,1764.202305,1941.24968,2451.980474,2850.6242,2.2054004200751924
555.9199675,749.6649351,939.2288961,1220.163799,1398.025812,2159.526786,2662.180195,1.3960441798593108
727.06884,959.4396265,1183.745371,1514.338503,1632.008071,2294.805507,2836.419687,0.7542745689230116
1353.851152,1672.103713,1940.739117,2292.600672,2472.331466,2736.661172,2872.631722,2.6081933409025377
622.7597631,840.2243918,1032.869238,1313.671895,1520.643086,2242.865557,2802.794654,0.8926805424328147
880.9393891,1165.542016,1487.381231,1828.486153,2047.863744,2900.841272,3373.125178,2.2736202580814875
571.8887482,772.330432,958.6489951,1225.483146,1423.425067,2063.322678,2731.333914,0.581161143981072
623.112516,830.8599552,1037.559859,1331.904289,1515.643246,2150.212708,2672.458387,1.549403819541715
710.0889381,933.7776547,1109.872923,1398.732394,1553.945245,2205.508783,2695.966767,1.4028740669951625
732.6815952,982.1775597,1240.973572,1548.262542,1761.984966,2451.682386,3079.499921,0.7905675700722566
1055.278525,1325.184365,1519.500396,1839.873239,1969.722899,2352.876246,2689.917392,1.6574561743152616
1045.606594,1333.153009,1566.392286,1905.732554,2053.567702,2681.09379,3177.976472,2.3078038810661927
1406.439968,1716.983788,2098.429374,2500.354414,2676.588122,2821.572552,2843.695666,1.8235008741383936
604.4519481,816.6842532,1002.860552,1276.120617,1447.303896,2125.108442,2574.191071,0.6510734359945963
749.3476312,971.6294814,1224.78265,1537.84219,1729.615717,2483.949424,3118.273688,0.5217562211442857
755.93758,1014.15749,1289.329065,1644.409891,1850.423656,2786.12644,3386.794014,1.4625261659981488
860.0641805,1135.584187,1368.528169,1673.613476,1842.345871,2395.444782,2820.833547,1.488046078815127
659.3799616,864.5040013,1083.355474,1418.173976,1590.871799,2469.071703,3195.576665,0.5063756211519992
892.9271767,1143.28089,1338.972791,1589.396447,1727.775928,2079.224072,2454.525608,2.446156528624075
941.3385083,1202.447343,1497.772247,1838.497279,2062.885083,2755.102593,3252.898848,2.0047304476527037
1175.183257,1487.614179,1767.126919,2128.839215,2297.075487,2620.915809,2789.792214,2.251326780615122
1091.460467,1382.902529,1656.778649,2010.46767,2150.705826,2449.648848,2572.909091,2.208742427466275
635.6470961,842.3487894,1040.454819,1297.360342,1464.586169,2096.550878,2624.365564,0.8484782941909552
653.645197,875.2826397,1144.806457,1453.110777,1662.996518,2461.84871,3094.950942,0.7905675700722566
705.2620668,931.6811204,1174.831461,1411.719576,1609.543599,2201.001899,2747.10777,1.5846643614924818
1049.360353,1324.406742,1610.67817,1922.126645,2142.924719,2594.095666,3131.876886,1.943272567803069
1698.875455,1997.890647,2333.775439,2588.687134,2770.663238,2825.202089,2989.255737,1.873833608022636
858.4444622,1141.862036,1402.439341,1690.632522,1857.069622,2223.15765,2429.274488,1.5612812165050718
775.8787783,1026.044469,1278.31065,1556.745846,1727.141795,2316.62684,2675.6232,1.2806287135245702
738.4298148,961.0234214,1164.151132,1451.523659,1615.705966,2327.58063,2887.948568,1.2180688801047306
1122.119238,1398.590109,1785.517446,2162.571383,2377.090589,2748.935659,3043.208707,2.550040543597077
820.0340244,1079.821649,1295.806298,1665.316031,1769.558316,2370.628897,2850.73825,0.4907706803944981
724.6627721,960.7293534,1163.162932,1464.430218,1662.158451,2339.778969,2856.786012,0.8256837244714933
1579.238474,1911.585065,2277.984578,2661.041071,2838.226461,2998.586039,3087.1125,1.943272567803069
833.3961268,1093.840749,1404.884443,1730.68806,1947.335147,2575.545455,3093.785691,0.7665079810324058
1995.073784,2289.928457,2582.955666,2991.462068,3096.337708,3238.107875,3291.521767,2.118520750124681
818.2900974,1083.737013,1361.153409,1694.326136,1867.498864,2530.025812,2966.864448,1.1258065117288665
710.7227913,953.4553457,1151.852913,1461.018406,1621.65557,2368.296255,2938.290173,1.6300154591773683
661.7939547,890.6608641,1111.7536,1396.290078,1612.132932,2418.220446,2919.610065,1.5191462548029435
763.8639025,999.3750593,1240.360342,1538.752492,1703.398323,2432.75455,2981.309068,0.7786046169981008
1148.046526,1435.379332,1772.161734,2082.885108,2294.629846,2793.962494,3243.905048,2.195315654472197
628.1598912,849.5390525,996.8484315,1281.707586,1443.556018,2199.107394,2750.692061,0.3920257514827788
1376.152049,1717.546575,2060.178457,2443.201825,2640.303617,2768.190941,2892.34219,2.2285928948408293
666.4396607,901.7029449,1131.014085,1464.71719,1608.401569,2379.431018,2997.253041,0.2831752583995197
