b81,TS
2439.022247,8.875
1883.509891,1.65
1784.06322,1.45
2230.214469,8.2
1708.730195,3.875
1945.365881,2.1
2710.78137,11.8
1813.951985,2.4
2413.676215,8.725
1710.303371,1.775
1793.426216,4.475
1866.991296,3.9
2045.203671,2.175
2267.238171,4.95
2389.669334,9.0
2825.121509,5.775
1743.358766,1.9
2026.045455,1.675
2254.815301,4.125
2158.93646,4.225
1940.264405,1.65
1959.59507,10.2
2368.931338,6.825
2571.232473,8.55
2370.233835,8.225
1733.831935,2.3
1974.660548,2.175
1838.774964,4.625
2408.995024,6.45
3029.316348,6.05
2102.791453,4.525
2065.483304,3.475
1954.489634,3.275
2645.471031,11.2
2052.005064,1.625
1960.035051,2.25
3032.491558,6.45
2201.773848,2.125
3405.623079,7.575
2196.088474,3.0
1971.673816,4.825
1956.339452,4.35
2091.686976,2.15
2600.544706,8.125
1815.665653,1.475
2819.449584,8.375
1943.410531,1.325
