b34,b63,b64,b94,b98,b113,b124,b131,b144,b162,b163,TS
1304.945583,2023.71975,2053.696863,2618.077145,2713.945583,2704.712228,3019.416453,3176.982875,2982.832266,2258.176376,2169.052497,8.875
932.7314448,1537.062035,1565.482038,2230.211742,2314.51179,2439.294034,2767.008704,2931.377433,3011.646147,2406.170755,2327.454344,1.65
932.0944302,1447.288892,1462.391485,2034.107074,2078.549296,2195.697823,2528.960307,2725.492478,2671.350032,1976.837708,1880.612356,1.45
1237.59283,1878.006082,1899.350192,2411.419814,2443.146447,2546.382202,2790.131402,2987.673496,2859.525128,2179.274648,2104.183259,8.2
777.8063312,1320.098214,1346.658117,2038.919318,2091.351136,2232.814773,2556.157468,2721.755682,2694.230682,1942.371916,1828.964123,3.875
1004.734135,1596.060136,1605.07153,2239.717993,2262.383447,2433.069315,2754.796487,2977.799494,2906.664979,2281.905048,2198.796012,2.1
1709.203105,2390.139885,2419.879001,2815.894686,2828.560179,2786.324264,3019.175896,3172.683099,2921.18598,2229.734155,2162.40765,11.8
869.7716069,1438.916293,1468.699424,2101.15509,2180.830346,2308.65573,2649.277049,2831.256722,2820.178777,2262.582106,2179.576665,2.4
1237.721475,1979.71736,2000.727489,2773.490426,2838.195442,2984.579047,3281.816268,3560.125495,3413.470486,2888.016933,2806.421111,8.725
811.002532,1351.328375,1377.311758,2016.988764,2065.969299,2207.065991,2539.932584,2721.631113,2758.983225,2146.300997,2127.809147,1.775
875.199904,1443.225672,1470.608195,2060.298335,2158.040173,2259.242958,2569.542894,2683.608995,2704.616997,1976.298496,1900.401408,4.475
960.5921823,1504.962019,1523.018199,2106.329008,2147.805507,2314.948726,2611.264124,2832.862003,2791.403228,2289.855357,2205.579839,3.9
1027.267289,1670.290078,1701.050324,2367.689983,2430.98101,2548.792372,2942.611014,3119.243076,3087.41937,2515.339294,2473.190378,2.175
1322.054914,1949.453395,1954.356227,2345.885267,2362.160468,2395.902358,2583.330749,2719.358443,2613.613072,1738.749327,1653.725273,4.95
1354.532971,2021.411812,2031.867798,2609.784731,2622.46767,2775.53249,2990.739597,3145.650928,3137.59523,2620.52993,2527.574264,9.0
1789.02183,2630.78427,2647.578812,2938.200803,2939.901284,2874.467897,3016.144462,3124.862279,2901.597592,2093.999839,2042.310433,5.775
851.1530844,1385.728409,1408.921104,2026.871753,2068.012825,2189.257305,2516.936039,2662.839935,2671.434578,1911.604545,1823.953409,1.9
1033.898047,1662.8113,1684.50016,2403.700064,2430.443662,2592.50112,2954.706306,3139.728393,3168.24936,2498.517446,2379.989117,1.675
1056.417254,1783.272727,1805.738636,2623.294814,2665.379481,2890.085948,3177.795935,3464.883163,3386.838828,2861.72007,2768.862836,4.125
1190.060179,1763.699904,1794.954545,2313.651408,2373.076985,2486.056818,2714.580986,2952.756402,2841.822023,2192.40509,2135.494718,4.225
935.4958387,1528.136684,1550.071223,2289.946223,2355.152209,2580.615717,2964.334027,3163.354033,3267.208227,2906.700224,2825.555378,1.65
1178.918534,1705.070102,1709.850512,2127.696863,2133.198464,2143.331466,2402.328905,2560.091549,2469.836428,1541.572183,1447.350352,10.2
1286.611876,1991.110435,2016.507202,2653.981114,2734.888124,2880.072503,3208.444462,3450.987196,3295.684219,2753.095871,2690.238636,6.825
1514.692198,2247.06979,2265.805349,2651.986865,2678.093369,2684.487735,2880.197183,3020.322045,2858.7047,2133.6069,2043.30796,8.55
1423.917894,2115.238156,2125.482234,2533.708387,2525.176697,2483.511684,2683.423335,2849.559539,2564.057458,1564.365077,1435.895166,8.225
881.8409558,1391.788099,1416.084032,1997.254787,2056.878462,2194.590125,2460.247191,2671.225194,2631.990347,1994.798069,1942.321412,2.3
922.7365089,1573.403228,1601.484412,2317.814844,2416.485995,2566.436303,2921.329957,3050.395949,3070.843804,2580.322994,2534.09606,2.175
996.5570502,1541.335338,1564.758981,2162.76626,2193.53347,2279.932584,2605.120747,2855.005855,2790.491375,2142.607058,2076.62953,4.625
1375.853291,2037.208186,2077.360514,2581.761156,2671.47496,2676.742857,2954.881059,3079.873515,3021.153933,2255.975762,2157.303852,6.45
2019.00902,2707.702643,2734.837,2960.104289,2967.846969,2851.140845,3021.862795,3230.420003,2982.503402,1999.407185,1905.084349,6.05
1179.199104,1819.307298,1833.65733,2261.766805,2254.889405,2252.096191,2463.993118,2594.568662,2459.097151,1480.995038,1372.525288,4.525
1070.308593,1667.669251,1689.056813,2249.568444,2281.727014,2401.95474,2657.932584,2851.560057,2741.224561,2203.683652,2189.765469,3.475
999.8680171,1556.222662,1573.516537,2177.615287,2249.316189,2425.645355,2727.469378,2979.916917,2937.205412,2389.989555,2291.948568,3.275
1469.90781,2302.384923,2330.944782,2839.909411,2880.144366,2854.770166,3087.552017,3263.8742,3032.734955,2320.725512,2273.244878,11.2
1124.06615,1716.859946,1728.833201,2322.199715,2323.877671,2524.153347,2770.049058,3027.160468,2875.566387,2204.412724,2078.234847,1.625
1019.778649,1575.09283,1605.360755,2234.645006,2302.663892,2418.693022,2758.973431,2941.101152,2862.755602,2289.808259,2260.307778,2.25
2003.543669,2814.297727,2824.381331,3093.385714,3121.945617,3036.896753,3219.867208,3369.320617,3069.710714,2080.971266,1992.778571,6.45
1144.002881,1846.06258,1879.600832,2489.398047,2575.96959,2658.112836,3000.205506,3093.067542,3075.047535,2399.996799,2321.099712,2.125
2291.877721,3107.473912,3103.244078,3345.426376,3285.21751,3281.840269,3352.215749,3475.649328,3220.934379,2443.325384,2400.483195,7.575
1142.360714,1808.823701,1830.637987,2443.034416,2525.994481,2609.026461,2896.156006,3126.124513,2998.010065,2340.930682,2220.751461,3.0
986.6714149,1556.925576,1579.212868,2245.275288,2281.450864,2485.453905,2810.578585,3067.113796,3026.90749,2569.585147,2519.358035,4.825
921.6520019,1546.060136,1569.291977,2308.496756,2351.844912,2482.277101,2841.430764,3001.379332,2993.073904,2490.451654,2428.413831,4.35
1038.55436,1632.948093,1654.745213,2329.120589,2354.742523,2570.336287,2831.032917,3155.713088,2998.757557,2365.610698,2296.256686,2.15
1496.686343,2208.099066,2238.24545,2791.737775,2828.546289,2842.614812,3123.40671,3295.461782,3144.558949,2405.870549,2341.686976,8.125
857.371799,1402.349232,1416.706466,2057.233035,2107.196383,2287.524968,2584.025928,2795.288412,2786.065941,2245.798496,2152.354513,1.475
1757.308579,2547.511364,2585.214629,2863.974552,2930.658291,2845.613956,3007.901569,3156.690141,2866.451184,1943.943982,1850.994878,8.375
955.06258,1533.40701,1555.150448,2263.557458,2283.338508,2545.021127,2854.118438,3120.098111,3043.764565,2545.370839,2487.637484,1.325
