b31,b35,b48,b57,b58,b63,b68,b78,b88,b90,b102,b119,b141,TS
1263.622119,1317.372439,1558.606754,1844.445262,1881.037132,2023.71975,2135.49888,2375.49904,2525.767125,2547.78041,2707.051697,2888.841709,3035.075864,2.2923914230731737
906.7406235,950.6469378,1130.093053,1398.933376,1418.174395,1537.062035,1646.279633,1832.512898,2057.126128,2105.739199,2327.692515,2645.414148,2956.348789,0.5063756211519992
922.5171255,929.365717,1080.722151,1327.251601,1362.081626,1447.288892,1553.660851,1740.326665,1929.082266,1927.212228,2128.384443,2398.948784,2665.232554,0.3746408034078961
1204.970871,1248.319462,1459.677657,1733.706626,1764.202305,1878.006082,1981.114277,2168.467029,2299.759763,2340.236236,2505.810019,2703.488636,2874.393886,2.2054004200751924
747.299513,787.3925325,939.2288961,1198.467695,1220.163799,1320.098214,1444.120942,1649.28961,1885.116396,1914.362013,2152.275162,2412.862175,2701.075,1.3960441798593108
989.1607849,1018.834942,1183.745371,1476.686818,1514.338503,1596.060136,1695.747112,1927.312391,2097.762621,2101.161418,2335.749486,2625.238487,2887.032758,0.7542745689230116
1680.326344,1732.415493,1940.739117,2253.575064,2292.600672,2390.139885,2486.919814,2664.337708,2749.363476,2749.704866,2837.871159,2907.262324,2915.207426,2.6081933409025377
848.7426376,874.3626761,1032.869238,1294.448303,1313.671895,1438.916293,1538.658931,1764.290493,1959.902209,1979.199104,2199.158771,2482.501601,2821.245999,0.8926805424328147
1210.470802,1258.625099,1487.381231,1800.067257,1828.486153,1979.71736,2131.50087,2403.748536,2646.914543,2676.640133,2878.659123,3150.336129,3403.322994,2.2736202580814875
796.3101757,824.9631271,958.6489951,1206.168856,1225.483146,1351.328375,1459.607058,1674.81611,1859.101757,1911.692673,2085.842538,2405.965184,2737.687134,0.581161143981072
841.7267926,890.8767606,1037.559859,1304.552977,1331.904289,1443.225672,1538.336108,1739.403809,1942.616037,1977.78265,2184.040173,2444.420935,2678.620198,1.549403819541715
947.7050166,976.9759456,1109.872923,1376.1304,1398.732394,1504.962019,1586.037981,1801.480772,1978.936541,1998.963127,2192.93116,2483.375059,2732.185789,1.4028740669951625
994.1378383,1043.015192,1240.973572,1507.601677,1548.262542,1670.290078,1798.316664,2014.024371,2197.160468,2242.692356,2461.864694,2768.580313,3085.223453,0.7905675700722566
1326.224719,1346.923406,1519.500396,1816.041146,1839.873239,1949.453395,2033.778288,2177.814686,2259.050166,2285.281057,2393.027694,2551.743314,2650.542491,1.6574561743152616
1336.435019,1367.480154,1566.392286,1878.40493,1905.732554,2021.411812,2121.434219,2289.18662,2445.377081,2492.158451,2694.445262,2951.559059,3159.189981,2.3078038810661927
1790.010273,1805.515409,2098.429374,2474.37512,2500.354414,2630.78427,2697.41573,2849.494061,2813.358587,2836.151685,2936.775281,2970.277849,2863.757624,1.8235008741383936
823.8060065,867.9741883,1002.860552,1249.832468,1276.120617,1385.728409,1481.683929,1689.955195,1889.76737,1935.804708,2101.91737,2366.282305,2606.92224,0.6510734359945963
981.7559219,1044.918534,1224.78265,1518.559059,1537.84219,1662.8113,1777.536172,1987.7508,2269.413572,2259.826504,2493.426216,2782.825864,3155.798335,0.5217562211442857
1031.521607,1078.378041,1289.329065,1606.180858,1644.409891,1783.272727,1934.414533,2178.739277,2406.970711,2480.995839,2738.284411,3074.040173,3398.723271,1.4625261659981488
1159.84235,1207.609955,1368.528169,1647.145487,1673.613476,1763.699904,1870.404609,2084.099072,2264.792093,2283.683899,2404.252401,2606.09235,2846.729994,1.488046078815127
884.3095391,947.8111396,1083.355474,1383.100672,1418.173976,1528.136684,1645.694462,1882.332266,2153.788572,2194.853233,2435.004321,2806.867638,3238.321383,0.5063756211519992
1170.897247,1197.068182,1338.972791,1567.795935,1589.396447,1705.070102,1767.7492,1960.385403,2018.685499,2054.128681,2163.912772,2318.866837,2493.503041,2.446156528624075
1234.372439,1310.462548,1497.772247,1809.850352,1838.497279,1991.110435,2099.800096,2333.059699,2529.414052,2561.324584,2778.176697,3083.178777,3288.045935,2.0047304476527037
1492.338819,1528.551511,1767.126919,2094.188796,2128.839215,2247.06979,2336.248615,2487.31065,2569.736984,2580.021681,2687.830353,2805.054122,2833.399589,2.251326780615122
1363.886044,1433.972791,1656.778649,1984.946543,2010.46767,2115.238156,2196.255122,2331.190141,2467.741517,2447.526729,2543.349552,2598.315941,2603.7508,2.208742427466275
848.1253363,891.7474284,1040.454819,1273.181358,1297.360342,1391.788099,1488.699794,1671.24181,1891.678747,1922.333914,2099.267764,2367.644248,2633.076436,0.8484782941909552
896.3600253,936.8012344,1144.806457,1421.950942,1453.110777,1573.403228,1721.080709,1937.901408,2147.772432,2188.083399,2449.035449,2771.230258,3089.39579,0.7905675700722566
952.4296566,1002.64678,1174.831461,1385.205887,1411.719576,1541.335338,1638.99636,1841.739199,2031.527773,2046.171704,2224.198607,2485.815635,2776.718626,1.5846643614924818
1343.793419,1389.628732,1610.67817,1884.958748,1922.126645,2037.208186,2171.566934,2355.17496,2477.511236,2501.717175,2682.266453,2885.116854,3083.872231,1.943272567803069
2012.67938,2033.927204,2333.775439,2545.172496,2588.687134,2707.702643,2762.286912,2939.997784,3045.228675,3007.470802,2973.428707,2964.693306,3045.019782,1.873833608022636
1139.797855,1200.509283,1402.439341,1670.816741,1690.632522,1819.307298,1901.200544,2039.825224,2187.007522,2205.890365,2260.975512,2377.552817,2464.076985,1.5612812165050718
1038.162367,1084.337395,1278.31065,1521.887957,1556.745846,1667.669251,1750.1304,1985.57699,2134.567337,2138.69932,2325.211426,2541.040038,2717.758664,1.2806287135245702
962.0705808,1011.568919,1164.151132,1433.182624,1451.523659,1556.222662,1687.047318,1889.541067,2073.237379,2095.084824,2309.889856,2616.856306,2914.810097,1.2180688801047306
1433.057298,1480.81146,1785.517446,2127.823303,2162.571383,2302.384923,2407.584987,2598.704225,2690.927657,2726.601312,2836.534731,3005.604033,3047.425096,2.550040543597077
1109.806298,1140.148125,1295.806298,1625.788732,1665.316031,1716.859946,1852.692515,2054.750119,2217.324102,2213.473018,2383.371261,2633.075645,2896.411458,0.4907706803944981
966.7275928,1021.182138,1163.162932,1437.691101,1464.430218,1575.09283,1700.569142,1917.007522,2114.740397,2134.147567,2331.511844,2653.81178,2874.168214,0.8256837244714933
1944.681981,2046.909091,2277.984578,2605.212662,2661.041071,2814.297727,2892.671753,3032.166071,3089.014935,3094.743669,3135.959578,3178.349675,3127.077273,1.943272567803069
1112.216229,1157.340109,1404.884443,1691.382202,1730.68806,1846.06258,1987.044814,2177.341709,2336.049936,2385.15669,2587.684699,2860.504161,3077.940621,0.7665079810324058
