b25,b34,b35,b57,b58,b94,b100,b110,b127,b161,TS
948.346991,1304.945583,1317.372439,1844.445262,1881.037132,2618.077145,2683.955666,2648.254161,3020.837708,2353.316421,8.875
669.5459725,932.7314448,950.6469378,1398.933376,1418.174395,2230.211742,2314.696313,2318.405919,2846.843963,2493.297041,1.65
679.1341229,932.0944302,929.365717,1327.251601,1362.081626,2034.107074,2090.991997,2085.455826,2559.042093,2082.014085,1.45
912.4242958,1237.59283,1248.319462,1733.706626,1764.202305,2411.419814,2481.695743,2425.399648,2830.370679,2259.520166,8.2
555.9199675,777.8063312,787.3925325,1198.467695,1220.163799,2038.919318,2099.931006,2139.175487,2610.828896,2056.893669,3.875
727.06884,1004.734135,1018.834942,1476.686818,1514.338503,2239.717993,2301.581896,2276.929736,2774.658332,2369.46463,2.1
1353.851152,1709.203105,1732.415493,2253.575064,2292.600672,2815.894686,2823.400128,2707.833067,2999.679738,2301.855954,11.8
622.7597631,869.7716069,874.3626761,1294.448303,1313.671895,2101.15509,2171.332106,2231.476953,2699.645006,2347.705346,2.4
880.9393891,1237.721475,1258.625099,1800.067257,1828.486153,2773.490426,2828.863111,2887.459883,3311.475075,2974.81975,8.725
571.8887482,811.002532,824.9631271,1206.168856,1225.483146,2016.988764,2051.003798,2081.052065,2612.689191,2181.607216,1.775
623.112516,875.199904,890.8767606,1304.552977,1331.904289,2060.298335,2144.649808,2135.457907,2592.536812,2051.739277,4.475
710.0889381,960.5921823,976.9759456,1376.1304,1398.732394,2106.329008,2172.110777,2194.119639,2635.919133,2378.809305,3.9
732.6815952,1027.267289,1043.015192,1507.601677,1548.262542,2367.689983,2429.063934,2434.501978,2968.672258,2556.476025,2.175
1055.278525,1322.054914,1346.923406,1816.041146,1839.873239,2345.885267,2371.238171,2334.944453,2650.329957,1831.392784,4.95
1045.606594,1354.532971,1367.480154,1878.40493,1905.732554,2609.784731,2669.46927,2662.623399,3064.466229,2719.550896,9.0
1406.439968,1789.02183,1805.515409,2474.37512,2500.354414,2938.200803,2924.421188,2778.703531,3011.880417,2151.164045,5.775
604.4519481,851.1530844,867.9741883,1249.832468,1276.120617,2026.871753,2078.486039,2117.77711,2582.50487,2013.571104,1.9
749.3476312,1033.898047,1044.918534,1518.559059,1537.84219,2403.700064,2438.643086,2467.004481,2989.456786,2636.339309,1.675
755.93758,1056.417254,1078.378041,1606.180858,1644.409891,2623.294814,2707.296895,2782.403649,3250.507362,2954.93774,4.125
860.0641805,1190.060179,1207.609955,1647.145487,1673.613476,2313.651408,2346.596991,2383.733195,2780.385563,2275.927497,4.225
659.3799616,935.4958387,947.8111396,1383.100672,1418.173976,2289.946223,2392.514885,2460.111876,2975.915813,2993.239757,1.65
892.9271767,1178.918534,1197.068182,1567.795935,1589.396447,2127.696863,2163.485115,2056.213508,2467.349072,1667.895807,10.2
941.3385083,1286.611876,1310.462548,1809.850352,1838.497279,2653.981114,2751.00144,2738.023367,3194.548175,2819.956306,6.825
1175.183257,1514.692198,1528.551511,2094.188796,2128.839215,2651.986865,2681.375218,2590.231207,2904.216173,2228.087039,8.55
1091.460467,1423.917894,1433.972791,1984.946543,2010.46767,2533.708387,2510.362516,2409.735435,2703.814981,1697.477433,8.225
635.6470961,881.8409558,891.7474284,1273.181358,1297.360342,1997.254787,2066.477924,2091.41304,2522.85868,2056.05618,2.3
653.645197,922.7365089,936.8012344,1421.950942,1453.110777,2317.814844,2419.725589,2460.20652,2933.434246,2632.573192,2.175
