b15,b35,b56,b57,TS
693.2098271,1317.372439,1807.300416,1844.445262,8.875
517.0110777,950.6469378,1381.381073,1398.933376,1.65
529.6040333,929.365717,1290.394046,1327.251601,1.45
653.8898848,1248.319462,1702.065941,1733.706626,8.2
394.2272727,787.3925325,1176.683604,1198.467695,3.875
550.0468429,1018.834942,1435.258743,1476.686818,2.1
1064.662932,1732.415493,2212.865077,2253.575064,11.8
469.4138924,874.3626761,1274.845391,1294.448303,2.4
697.235322,1258.625099,1772.097326,1800.067257,8.725
433.8919133,824.9631271,1186.555784,1206.168856,1.775
462.1117157,890.8767606,1276.353073,1304.552977,4.475
543.1737617,976.9759456,1354.492166,1376.1304,3.9
542.5855357,1043.015192,1466.769742,1507.601677,2.175
869.0746954,1346.923406,1791.520494,1816.041146,4.95
836.2544814,1367.480154,1850.145327,1878.40493,9.0
1105.2939,1805.515409,2445.836437,2474.37512,5.775
449.1090909,867.9741883,1222.891721,1249.832468,1.9
586.1283611,1044.918534,1502.460787,1518.559059,1.675
584.3810819,1078.378041,1568.648528,1606.180858,4.125
683.4015685,1207.609955,1617.683579,1647.145487,4.225
511.3516325,947.8111396,1347.96991,1383.100672,1.65
737.6888604,1197.068182,1543.990877,1567.795935,10.2
731.7080666,1310.462548,1780.2492,1809.850352,6.825
897.1956006,1528.551511,2057.996044,2094.188796,8.55
840.4939181,1433.972791,1959.919974,1984.946543,8.225
491.1215382,891.7474284,1247.745688,1273.181358,2.3
507.0037981,936.8012344,1389.877354,1421.950942,2.175
535.0553885,1002.64678,1360.271087,1385.205887,4.625
807.5804173,1389.628732,1847.62809,1884.958748,6.45
1387.750277,2033.927204,2504.728913,2545.172496,6.05
634.7588028,1200.509283,1649.74904,1670.816741,4.525
555.1221712,1084.337395,1484.65944,1521.887957,3.475
554.4427916,1011.568919,1415.25542,1433.182624,3.275
827.403009,1480.81146,2082.791133,2127.823303,11.2
637.0602944,1140.148125,1578.324735,1625.788732,1.625
539.5833867,1021.182138,1409.664853,1437.691101,2.25
1311.322565,2046.909091,2548.923539,2605.212662,6.45
646.9795134,1157.340109,1653.128361,1691.382202,2.125
1668.557939,2314.609475,2893.935819,2942.87372,7.575
574.374513,1157.514935,1615.309091,1655.339448,3.0
540.8153009,996.5867478,1394.473752,1429.048496,4.825
506.9200823,936.8363665,1368.74996,1382.308277,4.35
578.2362716,1042.541383,1467.938281,1503.25906,2.15
879.8995094,1504.284697,2019.150657,2050.354961,8.125
478.5102433,869.2893726,1251.658131,1266.572663,1.475
1076.611556,1778.769526,2348.852913,2397.579225,8.375
510.5680218,972.4580666,1386.965589,1429.590429,1.325
