b52,b53,b85,b100,b105,b113,b134,b140,b152,b154,b161,TS
1596.699584,1614.316741,2542.924456,2683.955666,2717.131882,2704.712228,3201.619078,3042.761204,2298.674776,2347.290333,2353.316421,8.875
1172.20921,1209.377433,2021.447856,2314.696313,2358.733819,2439.294034,2972.906947,2930.978794,2552.899509,2591.108561,2493.297041,1.65
1124.615717,1144.908451,1875.643086,2090.991997,2152.572983,2195.697823,2674.351312,2607.954545,2014.871959,2013.828745,2082.014085,1.45
1523.335147,1550.771607,2281.794334,2481.695743,2517.0637,2546.382202,2927.307778,2850.6242,2123.542894,2263.922055,2259.520166,8.2
978.6814935,1000.144318,1802.105844,2099.931006,2177.930357,2232.814773,2717.568831,2662.180195,2141.032143,2115.301786,2056.893669,3.875
1236.081658,1251.906156,2054.547397,2301.581896,2400.906156,2433.069315,2923.992562,2836.419687,2215.169331,2389.207628,2369.46463,2.1
2007.850672,2032.628681,2699.15509,2823.400128,2847.274328,2786.324264,3027.014565,2872.631722,2220.769366,2257.49952,2301.855954,11.8
1065.207746,1090.088348,1959.682458,2171.332106,2214.201184,2308.65573,2928.25144,2802.794654,2252.819782,2316.24952,2347.705346,2.4
1528.702326,1564.842064,2576.984966,2828.863111,2925.766893,2984.579047,3488.273936,3373.125178,2910.777338,2921.861845,2974.81975,8.725
1014.314923,1058.438994,1831.972622,2051.003798,2142.165374,2207.065991,2752.100174,2731.333914,2136.044786,2223.099225,2181.607216,1.775
1075.117798,1101.056178,1902.381562,2144.649808,2215.677657,2259.242958,2743.588828,2672.458387,2136.442862,2189.276248,2051.739277,4.475
1162.898402,1188.143377,1949.394524,2172.110777,2223.176135,2314.948726,2818.800443,2695.966767,2245.592024,2286.737617,2378.809305,3.9
1296.577781,1314.040354,2187.569869,2429.063934,2486.637759,2548.792372,3126.825289,3079.499921,2502.067416,2558.010603,2556.476025,2.175
1602.892863,1629.850609,2301.605159,2371.238171,2405.101282,2395.902358,2777.545972,2689.917392,1987.786833,2004.29894,1831.392784,4.95
1645.354193,1665.208867,2447.247919,2669.46927,2728.830346,2775.53249,3212.852433,3177.976472,2748.288572,2761.304417,2719.550896,9.0
2191.420385,2232.785714,2853.83756,2924.421188,2922.948957,2874.467897,3017.94703,2843.695666,2172.855377,2278.62809,2151.164045,5.775
1052.444318,1080.496916,1853.000487,2078.486039,2135.671266,2189.257305,2704.320455,2574.191071,2006.527435,2015.966234,2013.571104,1.9
1283.608195,1323.517606,2163.849392,2438.643086,2518.570583,2592.50112,3127.058739,3118.273688,2699.216869,2664.620198,2636.339309,1.675
1346.201024,1361.957426,2399.275288,2707.296895,2780.845711,2890.085948,3471.013284,3386.794014,2821.197023,2893.162932,2954.93774,4.125
1438.964949,1470.888604,2275.422375,2346.596991,2452.410051,2486.056818,2924.057778,2820.833547,2007.412292,2216.114277,2275.927497,4.225
1149.238796,1169.31338,2068.918054,2392.514885,2475.109475,2580.615717,3197.245198,3195.576665,3031.84299,3041.131562,2993.239757,1.65
1384.135403,1405.757843,2046.03009,2163.485115,2162.103873,2143.331466,2573.181978,2454.525608,1830.118118,1838.926697,1667.895807,10.2
1558.860275,1584.34251,2479.382202,2751.00144,2821.263924,2880.072503,3364.959827,3252.898848,2744.923816,2804.995679,2819.956306,6.825
1859.073746,1899.288337,2565.790157,2681.375218,2705.653584,2684.487735,2950.315873,2789.792214,2226.413673,2237.377433,2228.087039,8.55
1712.272887,1744.840109,2425.739437,2510.362516,2534.482875,2483.511684,2682.197183,2572.909091,1660.572823,1745.576024,1697.477433,8.225
1066.299731,1093.631113,1827.871657,2066.477924,2124.596772,2194.590125,2668.106504,2624.365564,2132.929103,2129.023421,2056.05618,2.3
1180.198291,1211.138313,2116.463523,2419.725589,2497.145593,2566.436303,3121.404178,3094.950942,2672.348315,2652.052065,2632.573192,2.175
1199.782561,1225.258585,1970.592815,2187.578256,2229.6721,2279.932584,2805.034974,2747.10777,2092.337237,2125.226935,2211.002532,4.625
1657.834992,1692.107063,2481.104334,2647.905618,2687.254093,2676.742857,3151.869823,3131.876886,2528.175923,2497.547673,2385.767897,6.45
2345.392942,2357.403703,3016.223295,2954.301788,2906.215382,2851.140845,3153.542807,2989.255737,2233.330907,2268.93116,2109.173762,6.05
1461.732554,1500.496639,2161.676697,2252.854994,2248.53153,2252.096191,2543.850352,2429.274488,1645.372919,1646.18838,1602.246479,4.525
1330.137205,1353.373002,2110.299414,2292.980693,2363.287387,2401.95474,2785.71736,2675.6232,2166.019307,2179.473651,2222.793796,3.475
1242.766419,1276.730179,2037.357493,2268.184839,2353.109353,2425.645355,2926.898085,2887.948568,2339.014559,2449.049375,2490.405444,3.275
1862.09491,1902.737356,2683.602913,2851.598271,2875.551056,2854.770166,3240.03185,3043.208707,2315.828585,2452.65589,2421.319942,11.2
1361.585061,1385.881152,2195.493907,2349.701219,2445.983067,2524.153347,2941.148125,2850.73825,2094.572242,2271.81611,2345.322361,1.625
1204.360755,1240.59507,2078.159731,2293.802817,2362.182298,2418.693022,2917.96735,2856.786012,2289.252081,2373.671895,2329.956786,2.25
2375.120779,2392.911039,3040.82711,3132.313799,3118.081818,3036.896753,3263.771916,3087.1125,2319.476786,2329.562662,2174.693344,6.45
1454.850672,1490.354033,2318.543054,2574.535051,2621.450224,2658.112836,3172.632682,3093.785691,2614.326344,2624.668534,2486.308579,2.125
2690.179257,2715.202785,3319.231274,3350.822663,3339.073944,3281.840269,3480.208227,3291.521767,2446.772407,2611.547375,2496.59443,7.575
1415.567045,1433.28539,2287.311851,2542.388149,2587.668669,2609.026461,3096.576299,2966.864448,2296.581006,2395.794805,2460.013312,3.0
1203.685659,1229.768566,2080.912292,2289.455986,2397.998239,2485.453905,3026.824744,2938.290173,2446.497439,2556.333387,2630.899968,4.825
1162.11774,1197.423326,2041.542016,2357.953315,2405.842064,2482.277101,3010.996993,2919.610065,2461.030068,2459.739516,2557.254945,4.35
1268.972939,1297.487102,2202.151765,2388.575408,2483.747745,2570.336287,3132.885741,2981.309068,2233.287545,2407.989714,2445.198133,2.15
1802.135306,1843.41937,2663.437411,2849.932901,2887.188479,2842.614812,3323.979427,3243.905048,2447.335813,2602.842697,2519.689983,8.125
1051.232554,1079.492478,1913.573464,2131.600992,2201.074904,2287.524968,2856.983355,2750.692061,2273.491997,2320.518086,2350.620038,1.475
2129.972951,2161.525448,2837.742798,2876.669974,2923.634763,2845.613956,3066.614277,2892.34219,1995.971191,2131.022087,2049.4992,8.375
1174.148367,1205.404449,2089.604513,2318.864917,2466.254481,2545.021127,3095.734955,2997.253041,2351.990717,2545.409731,2614.820102,1.325
