b21,b37,TS
847.478073,1349.489597,8.875
610.8716569,981.2796329,1.65
618.9897567,955.7765685,1.45
829.1861396,1271.183259,8.2
486.2732143,813.3560065,3.875
655.6645039,1044.071372,2.1
1232.986716,1763.653969,11.8
556.3026569,896.0670615,2.4
810.6969457,1298.594714,8.725
511.5329957,855.6567495,1.775
561.1478873,906.7349552,4.475
629.6358601,1003.287071,3.9
644.5967716,1075.02532,2.175
938.0925779,1379.137838,4.95
938.7980154,1405.059059,9.0
1291.890048,1836.414125,5.775
540.3186688,895.1357143,1.9
680.0078425,1075.509283,1.675
673.5200064,1114.371639,4.125
804.5083227,1221.914693,4.225
608.3754802,969.0398528,1.65
844.9639885,1215.334027,10.2
846.0208067,1320.298816,6.825
1022.867068,1557.98006,8.55
969.3778809,1468.212868,8.225
569.412407,919.915493,2.3
592.614496,963.3046368,2.175
651.5192277,1029.975154,4.625
953.4420546,1411.83114,6.45
1540.595664,2066.236588,6.05
749.6414853,1234.158451,4.525
675.8518753,1109.074062,3.475
669.2962494,1027.607058,3.275
998.759443,1534.285851,11.2
750.2497231,1160.00269,1.625
676.3629962,1031.162612,2.25
1443.418019,2084.949351,6.45
743.9460627,1187.507362,2.125
1778.802017,2373.886204,7.575
707.5332792,1183.12711,3.0
639.9654289,1014.779609,4.825
584.344833,970.6068998,4.35
689.5057762,1068.222662,2.15
1047.689508,1536.657541,8.125
565.8185019,891.8447503,1.475
1250.320743,1803.645647,8.375
600.9090909,989.846831,1.325
