b59,b73,b74,b76,b107,b126,TS
1904.703105,2223.857554,2246.752081,2297.204065,2724.347471,3020.471831,8.875
1446.081025,1767.100332,1771.866276,1783.613072,2364.319671,2828.687292,1.65
1381.783771,1620.432618,1645.338188,1696.887644,2125.895327,2539.90573,1.45
1789.403649,2083.817061,2097.206946,2121.009443,2506.490237,2821.131082,8.2
1243.686039,1539.489448,1566.370779,1621.32776,2191.671753,2601.993831,3.875
1526.641399,1777.358759,1813.150657,1882.337553,2347.276943,2763.949834,2.1
2317.893246,2578.116517,2591.901889,2620.461268,2815.670455,3000.201985,11.8
1334.471511,1633.059539,1654.607074,1699.122919,2254.943502,2687.40701,2.4
1861.417788,2256.415889,2279.938914,2327.326792,2926.42665,3296.780503,8.725
1245.580313,1571.185156,1579.280741,1610.426333,2100.554835,2585.683336,1.775
1357.536492,1651.667734,1666.978873,1696.216869,2186.65781,2565.132843,4.475
1414.623675,1687.802184,1708.558949,1752.075803,2232.0978,2622.350688,3.9
1578.05982,1887.444532,1901.908372,1936.466688,2479.415256,2947.335021,2.175
1858.252572,2116.430606,2118.019307,2121.382339,2393.307011,2639.462257,4.95
1919.886204,2234.462388,2235.221351,2237.387004,2726.234315,3066.552177,9.0
2524.055538,2759.173194,2757.871589,2755.456661,2911.194222,3013.867737,5.775
1290.60276,1616.359253,1626.692208,1637.078571,2153.75763,2545.839773,1.9
1574.550576,1888.441421,1915.971031,1965.644046,2528.205026,2973.515365,1.675
1663.356274,2041.175256,2058.81226,2095.022887,2795.872759,3240.064661,4.125
1694.431018,1997.403329,2018.833227,2054.348912,2444.478073,2755.223431,4.225
1434.919334,1792.134283,1812.475832,1846.78233,2484.586748,2940.003841,1.65
1606.372439,1873.807778,1870.229193,1880.486236,2143.768726,2455.783771,10.2
1866.145967,2240.358995,2258.427977,2288.28073,2803.107234,3185.53281,6.825
2145.395157,2405.507201,2420.184365,2452.546764,2690.756449,2898.779079,8.55
2035.042254,2264.197503,2287.236876,2330.705346,2519.690781,2716.462548,8.225
1319.465263,1589.181041,1606.640608,1646.443108,2119.918183,2495.186422,2.3
1483.720525,1797.200981,1823.326317,1876.41035,2478.999842,2912.506093,2.175
1443.900617,1728.99003,1749.079443,1793.614971,2223.037822,2666.622567,4.625
1956.984751,2268.905457,2281.990209,2311.185393,2643.42504,2947.527769,6.45
2641.267131,2883.910112,2903.261592,2933.544548,2902.863111,3064.705966,6.05
1712.264085,1999.845871,2008.424136,2016.554738,2257.707426,2529.200384,4.525
1578.012818,1861.338186,1883.541225,1928.979585,2350.699636,2695.151606,3.475
1472.160627,1776.985282,1804.35148,1854.964551,2361.648995,2758.72464,3.275
2180.010083,2483.639885,2508.568822,2555.15493,2847.036972,3115.560819,11.2
1665.464156,1929.13404,1947.059661,1987.669568,2426.333755,2772.711505,1.625
1486.616037,1780.324584,1808.858675,1874.372759,2383.935659,2796.153809,2.25
2688.086851,3008.444156,3019.578896,3017.798377,3078.756331,3208.89789,6.45
1758.074104,2060.932458,2078.651088,2112.884603,2607.014085,2994.899968,2.125
3004.784091,3279.334187,3275.203745,3259.103873,3290.604513,3413.351152,7.575
1708.833766,1992.593506,2020.494643,2074.670779,2588.376948,2914.494156,3.0
1476.383643,1772.548816,1793.539052,1837.987196,2386.884443,2864.973431,4.825
1422.141795,1795.042095,1806.916442,1824.069157,2431.300839,2906.336129,4.35
1570.873081,1866.244342,1898.187846,1959.955847,2476.70106,2913.263966,2.15
2118.273303,2438.929103,2464.237538,2505.161418,2854.487577,3148.7373,8.125
1300.237996,1613.511044,1632.711908,1676.09443,2221.887964,2630.28201,1.475
2475.53089,2730.825864,2740.09363,2758.59331,2863.564821,2975.021927,8.375
1470.106434,1802.769526,1815.385083,1849.042574,2398.321543,2872.984315,1.325
