b40,b59,b78,b102,b106,b113,b139,b153,b162,TS
1415.002721,1904.703105,2375.49904,2707.051697,2711.728553,2704.712228,3043.721031,2234.233675,2258.176376,8.875
1014.886058,1446.081025,1832.512898,2327.692515,2363.963127,2439.294034,2898.688084,2563.526982,2406.170755,1.65
996.4018886,1381.783771,1740.326665,2128.384443,2141.818502,2195.697823,2590.03185,1969.869078,1976.837708,1.45
1323.389245,1789.403649,2168.467029,2505.810019,2513.84267,2546.382202,2806.956146,2098.948464,2179.274648,8.2
840.5162338,1243.686039,1649.28961,2152.275162,2179.863474,2232.814773,2617.980195,2105.840584,1942.371916,3.875
1089.143061,1526.641399,1927.312391,2335.749486,2385.446748,2433.069315,2809.776863,2226.877671,2281.905048,2.1
1798.945423,2317.893246,2664.337708,2837.871159,2836.439821,2786.324264,2846.056818,2174.661652,2229.734155,11.8
935.4743918,1334.471511,1764.290493,2199.158771,2221.825544,2308.65573,2800.516805,2214.290013,2262.582106,2.4
1342.410191,1861.417788,2403.748536,2878.659123,2919.839057,2984.579047,3331.732869,2824.721633,2888.016933,8.725
875.0382972,1245.580313,1674.81611,2085.842538,2126.267289,2207.065991,2705.274094,2169.702326,2146.300997,1.775
928.7259923,1357.536492,1739.403809,2184.040173,2207.169494,2259.242958,2644.623079,2125.142926,1976.298496,4.475
1011.605001,1414.623675,1801.480772,2192.93116,2227.524767,2314.948726,2693.535211,2183.555626,2289.855357,3.9
1118.306219,1578.05982,2014.024371,2461.864694,2483.401171,2548.792372,3044.468112,2395.13499,2515.339294,2.175
1432.763728,1858.252572,2177.814686,2393.027694,2401.372053,2395.902358,2671.524292,1986.259376,1738.749327,4.95
1473.222151,1919.886204,2289.18662,2694.445262,2734.670294,2775.53249,3158.339629,2740.24888,2620.52993,9.0
1905.442697,2524.055538,2849.494061,2936.775281,2910.033868,2874.467897,2819.156661,2168.969181,2093.999839,5.775
917.812013,1290.60276,1689.955195,2101.91737,2141.616071,2189.257305,2560.873701,1980.630682,1911.604545,1.9
1109.825544,1574.550576,1987.7508,2493.426216,2522.051697,2592.50112,3058.106434,2671.366837,2498.517446,1.675
1173.396447,1663.356274,2178.739277,2738.284411,2791.049296,2890.085948,3366.541613,2726.204225,2861.72007,4.125
1254.450864,1694.431018,2084.099072,2404.252401,2453.369878,2486.056818,2794.845551,2090.825384,2192.40509,4.225
989.6013124,1434.919334,1882.332266,2435.004321,2480.40685,2580.615717,3156.984795,3007.620038,2906.700224,1.65
1240.03265,1606.372439,1960.385403,2163.912772,2154.784251,2143.331466,2425.803457,1834.169174,1541.572183,10.2
1342.191901,1866.145967,2333.059699,2778.176697,2819.422535,2880.072503,3237.887804,2684.847791,2753.095871,6.825
1598.191486,2145.395157,2487.31065,2687.830353,2703.160468,2684.487735,2762.73366,2163.89492,2133.6069,8.55
1520.572503,2035.042254,2331.190141,2543.349552,2523.899008,2483.511684,2532.054417,1641.849872,1564.365077,8.225
947.5098908,1319.465263,1671.24181,2099.267764,2121.70739,2194.590125,2608.677797,2078.825764,1994.798069,2.3
1012.602627,1483.720525,1937.901408,2449.035449,2498.149074,2566.436303,3052.474284,2617.193069,2580.322994,2.175
1062.641082,1443.900617,1841.739199,2224.198607,2221.804241,2279.932584,2704.212059,2036.636335,2142.607058,4.625
1450.369823,1956.984751,2355.17496,2682.266453,2667.586356,2676.742857,3100.245586,2510.764205,2255.975762,6.45
2105.327583,2641.267131,2939.997784,2973.428707,2896.54344,2851.140845,2967.39674,2221.900142,1999.407185,6.05
1273.953105,1712.264085,2039.825224,2260.975512,2240.18838,2252.096191,2395.795134,1559.536012,1480.995038,4.525
1141.473018,1578.012818,1985.57699,2325.211426,2360.927995,2401.95474,2647.26634,2086.221871,2203.683652,3.475
1066.410824,1472.160627,1889.541067,2309.889856,2358.611489,2425.645355,2850.527299,2297.808672,2389.989555,3.275
1622.560019,2180.010083,2598.704225,2836.534731,2863.394206,2854.770166,3020.321863,2353.745679,2320.725512,11.2
1207.721633,1665.464156,2054.750119,2383.371261,2442.350214,2524.153347,2819.68935,2115.949517,2204.412724,1.625
1065.696863,1486.616037,1917.007522,2331.511844,2363.8137,2418.693022,2812.120359,2309.262964,2289.808259,2.25
2112.311201,2688.086851,3032.166071,3135.959578,3100.946429,3036.896753,3056.193831,2280.180032,2080.971266,6.45
1248.550576,1758.074104,2177.341709,2587.684699,2622.930218,2658.112836,3072.164373,2609.481114,2399.996799,2.125
2473.071063,3004.784091,3253.994558,3321.390205,3326.464149,3281.840269,3280.346351,2449.471991,2443.325384,7.575
1220.899026,1708.833766,2115.775325,2563.555682,2590.186688,2609.026461,2951.074675,2277.098377,2340.930682,3.0
1044.497119,1476.383643,1898.671895,2335.31402,2394.463028,2485.453905,2908.128041,2425.391325,2569.585147,4.825
1012.307644,1422.141795,1861.562906,2389.586327,2405.571451,2482.277101,2891.026745,2409.344675,2490.451654,4.35
1106.702801,1570.873081,2016.708182,2465.810888,2479.925305,2570.336287,2971.305903,2284.625099,2365.610698,2.15
1598.629688,2118.273303,2523.977528,2852.637759,2873.99636,2842.614812,3220.807406,2523.263649,2405.870549,8.125
909.8738796,1300.237996,1739.912132,2152.222631,2211.713988,2287.524968,2735.953265,2249.910371,2245.798496,1.475
1848.619558,2475.53089,2783.240237,2918.168534,2898.119398,2845.613956,2874.273848,2019.988956,1943.943982,8.375
1039.489597,1470.106434,1929.512004,2356.253841,2445.289853,2545.021127,2955.558259,2399.898848,2545.370839,1.325
