b31,b38,b58,b79,b87,b90,b94,b128,TS
1263.622119,1371.007362,1881.037132,2400.109315,2544.306818,2547.78041,2618.077145,3025.588988,8.875
906.7406235,995.9457193,1418.174395,1850.243076,2049.217756,2105.739199,2230.211742,2865.462731,1.65
922.5171255,983.2099872,1362.081626,1755.361076,1913.006082,1927.212228,2034.107074,2581.644686,1.45
1204.970871,1282.096351,1764.202305,2189.873239,2301.643726,2340.236236,2411.419814,2844.610435,8.2
747.299513,830.250487,1220.163799,1668.029383,1854.401461,1914.362013,2038.919318,2620.5875,3.875
989.1607849,1056.238804,1514.338503,1935.730337,2087.76721,2101.161418,2239.717993,2788.439152,2.1
1680.326344,1771.879962,2292.600672,2681.730154,2730.048656,2749.704866,2815.894686,3010.9371,11.8
848.7426376,913.5617798,1313.671895,1783.059539,1971.056338,1979.199104,2101.15509,2713.325224,2.4
1210.470802,1319.24276,1828.486153,2416.694888,2638.717202,2676.640133,2773.490426,3334.530464,8.725
796.3101757,872.4821966,1225.483146,1680.737617,1848.285488,1911.692673,2016.988764,2648.408767,1.775
841.7267926,909.7487196,1331.904289,1756.9371,1931.565941,1977.78265,2060.298335,2619.298496,4.475
947.7050166,1013.689508,1398.732394,1823.523975,1967.96376,1998.963127,2106.329008,2656.78984,3.9
994.1378383,1091.343251,1548.262542,2030.492325,2206.488527,2242.692356,2367.689983,2989.769109,2.175
1326.224719,1389.170913,1839.873239,2206.51448,2279.219497,2285.281057,2345.885267,2659.87134,4.95
1336.435019,1428.164213,1905.732554,2320.473271,2446.412932,2492.158451,2609.784731,3062.319462,9.0
1790.010273,1851.807544,2500.354414,2856.513965,2841.142055,2836.151685,2938.200803,3020.967576,5.775
823.8060065,904.0256494,1276.120617,1708.745779,1885.145779,1935.804708,2026.871753,2622.69724,1.9
981.7559219,1093.201024,1537.84219,2000.068982,2236.568502,2259.826504,2403.700064,3005.878841,1.675
1031.521607,1127.182778,1644.409891,2207.048816,2411.146287,2480.995839,2623.294814,3262.685019,4.125
1159.84235,1224.84299,1673.613476,2111.078425,2265.727753,2283.683899,2313.651408,2802.659411,4.225
884.3095391,975.0648207,1418.173976,1900.840269,2127.529449,2194.853233,2289.946223,3011.987996,1.65
1170.897247,1219.215749,1589.396447,1957.020166,2030.611236,2054.128681,2127.696863,2477.744718,10.2
1234.372439,1309.108675,1838.497279,2346.864277,2515.175736,2561.324584,2653.981114,3213.086908,6.825
1492.338819,1576.393733,2128.839215,2512.702485,2561.685393,2580.021681,2651.986865,2915.937015,8.55
1363.886044,1491.614757,2010.46767,2342.352433,2459.90605,2447.526729,2533.708387,2691.730314,8.225
848.1253363,938.3883526,1297.360342,1689.120114,1868.683019,1922.333914,1997.254787,2555.020573,2.3
896.3600253,976.2975154,1453.110777,1953.762146,2147.448172,2188.083399,2317.814844,2954.019623,2.175
952.4296566,1050.996677,1411.719576,1845.257477,2019.865169,2046.171704,2162.76626,2702.007913,4.625
1343.793419,1421.155056,1922.126645,2372.857624,2481.491011,2501.717175,2581.761156,2991.689085,6.45
2012.67938,2083.570185,2588.687134,2972.352429,3036.660389,3007.470802,2960.104289,3087.94746,6.05
1139.797855,1245.809859,1690.632522,2058.060819,2181.114757,2205.890365,2261.766805,2538.567382,4.525
1038.162367,1120.273144,1556.745846,2012.151132,2123.795379,2138.69932,2249.568444,2711.379649,3.475
962.0705808,1030.668144,1451.523659,1909.896661,2063.566704,2095.084824,2177.615287,2807.049691,3.275
1433.057298,1567.200224,2162.571383,2614.99904,2684.28009,2726.601312,2839.909411,3091.56386,11.2
1109.806298,1165.048109,1665.316031,2055.469536,2217.598512,2213.473018,2322.199715,2779.329483,1.625
966.7275928,1042.399648,1464.430218,1930.630442,2110.883483,2134.147567,2234.645006,2828.15749,2.25
1944.681981,2078.965422,2661.041071,3034.046591,3071.440097,3094.743669,3093.385714,3201.127922,6.45
1112.216229,1204.264725,1730.68806,2190.698944,2342.800896,2385.15669,2489.398047,3026.524808,2.125
2238.12356,2413.819942,2991.462068,3297.411332,3291.108835,3308.885563,3345.426376,3407.125,7.575
1083.117045,1195.078734,1694.326136,2141.915747,2322.848052,2342.864935,2443.034416,2938.803734,3.0
967.5305698,1021.208867,1461.018406,1923.966389,2109.31242,2123.03105,2245.275288,2881.52993,4.825
894.4975471,988.7024846,1396.290078,1888.507517,2082.495648,2156.407976,2308.496756,2896.468587,4.35
1020.592974,1085.320462,1538.752492,2040.989872,2247.233898,2244.319196,2329.120589,2920.321728,2.15
1462.681595,1557.745371,2082.885108,2550.371894,2685.779237,2713.240703,2791.737775,3176.564646,8.125
846.650128,903.8492318,1281.707586,1766.18886,1934.822503,1964.691741,2057.233035,2680.681178,1.475
1723.733195,1809.372439,2443.201825,2797.022087,2832.742157,2835.858035,2863.974552,3002.916933,8.375
939.0774648,992.740557,1464.71719,1934.716229,2113.712868,2153.011844,2263.557458,2876.737836,1.325
