b17,b20,b23,b29,b32,b48,b59,b71,b99,b101,b133,b141,b146,b151,TS
748.6402049,820.7916133,902.3450704,1243.667254,1278.294174,1558.606754,1904.703105,2209.272727,2710.246159,2682.713988,3168.12356,3035.075864,2870.233515,2486.06242,8.875
554.3739516,598.7439468,643.4984966,884.2285172,913.7043836,1130.093053,1446.081025,1727.232948,2322.00633,2316.702959,2958.013768,2956.348789,2950.391676,2567.489476,1.65
546.1680538,596.0769846,651.2568822,900.5462548,927.4596671,1080.722151,1381.783771,1610.690941,2084.866517,2107.577465,2663.974072,2665.232554,2519.611396,2203.191101,1.45
699.6432458,793.6888604,850.2207106,1196.658131,1215.986236,1459.677657,1789.403649,2013.596191,2458.721031,2495.869558,2934.696703,2874.393886,2733.256402,2335.984475,8.2
428.4225649,470.5073052,519.1917208,749.6649351,758.2150974,939.2288961,1243.686039,1520.407955,2101.468506,2118.593344,2709.329058,2701.075,2557.37224,2217.816071,3.875
580.7974363,640.399905,700.2745688,959.4396265,991.2098433,1183.745371,1526.641399,1780.789682,2278.394208,2319.546289,2903.464947,2887.032758,2766.676215,2486.308118,2.1
1118.548496,1205.841709,1289.683419,1672.103713,1686.06162,1940.739117,2317.893246,2561.15669,2829.435019,2825.698143,3025.333547,2915.207426,2775.474392,2390.145327,11.8
504.7596031,542.2243918,602.6298015,840.2243918,856.6782971,1032.869238,1334.471511,1607.240557,2184.865877,2177.006722,2883.618758,2821.245999,2717.502401,2401.46831,2.4
742.576357,793.5345783,854.3616078,1165.542016,1217.337079,1487.381231,1861.417788,2207.184681,2840.141636,2838.31793,3494.49818,3403.322994,3319.134357,3034.15129,8.725
465.1178984,498.2345308,541.2457667,772.330432,797.7865169,958.6489951,1245.580313,1537.191328,2058.687609,2067.639183,2754.990663,2737.687134,2617.383922,2245.350055,1.775
509.1523688,552.6765365,592.328105,830.8599552,851.6387644,1037.559859,1357.536492,1599.15685,2158.440461,2157.84363,2725.916133,2678.620198,2603.56146,2288.766165,4.475
578.5739832,615.9547397,671.7113467,933.7776547,948.3168223,1109.872923,1414.623675,1656.762937,2161.206678,2183.223928,2769.380756,2732.185789,2703.372844,2383.821174,3.9
582.4769742,630.2225036,701.8017091,982.1775597,1004.180567,1240.973572,1578.05982,1860.550245,2433.318405,2438.89128,3109.929894,3085.223453,3008.475866,2726.437411,2.175
895.1139421,927.6137047,1011.910429,1325.184365,1316.881627,1519.500396,1858.252572,2069.96376,2369.160943,2380.030543,2772.012818,2650.542491,2502.272353,2028.161893,4.95
870.8039373,920.2887324,990.2760883,1333.153009,1339.773848,1566.392286,1919.886204,2200.628521,2643.488956,2686.308099,3183.771607,3159.189981,3066.482875,2772.659091,9.0
1158.950722,1253.89053,1375.379775,1716.983788,1784.457303,2098.429374,2524.055538,2744.671268,2935.98122,2923.467576,3026.031461,2863.757624,2798.015088,2246.207384,5.775
487.1056818,530.8021104,572.9034091,816.6842532,830.2318182,1002.860552,1290.60276,1555.761039,2076.139123,2087.297565,2694.173377,2606.92224,2544.832143,2094.185714,1.9
617.828105,661.7887324,705.1830986,971.6294814,1001.414693,1224.78265,1574.550576,1868.68758,2436.319302,2462.197823,3134.93598,3155.798335,3040.600032,2784.332266,1.675
620.0830666,662.3753201,721.6272407,1014.15749,1035.776729,1289.329065,1663.356274,2001.0,2677.602913,2728.40717,3418.927497,3398.723271,3284.109955,3035.96991,4.125
722.7197503,785.8442702,827.3357875,1135.584187,1165.886844,1368.528169,1694.431018,1941.838508,2358.297695,2374.583067,2916.205986,2846.729994,2625.602753,2264.714949,4.225
549.9361396,595.3161012,628.9767926,864.5040013,902.7223111,1083.355474,1434.919334,1730.12516,2373.955346,2412.698303,3173.916293,3238.321383,3194.004962,3064.449104,1.65
767.5208067,823.3758003,879.246959,1143.28089,1167.126921,1338.972791,1606.372439,1834.53137,2148.419334,2163.818182,2564.859635,2493.503041,2279.87596,1842.59523,10.2
787.2634443,839.8487516,906.2791293,1202.447343,1249.229834,1497.772247,1866.145967,2152.319782,2748.597311,2759.779289,3351.369398,3288.045935,3179.911492,2947.247919,6.825
952.4644722,1005.28264,1104.38772,1487.614179,1497.886374,1767.126919,2145.395157,2383.181041,2685.495806,2682.744738,2923.274411,2833.399589,2729.838266,2352.801867,8.55
887.0113636,942.771927,1020.640365,1382.902529,1387.548015,1656.778649,2035.042254,2276.238636,2523.488956,2521.175576,2714.085467,2603.7508,2376.706786,1847.798496,8.225
