b14,b59,b85,b90,b91,b93,b103,b118,b121,b129,b136,b145,b152,b155,b161,b163,TS
483.5586327,1483.720525,2116.463523,2188.083399,2210.718785,2280.635385,2467.939231,2731.431239,2839.28264,2982.605792,3089.313182,3077.705017,2672.348315,2685.465105,2632.573192,2534.09606,2.175
536.1315621,1525.851953,2132.597951,2227.691101,2250.432458,2339.757202,2487.800896,2742.635083,2851.426216,3048.921735,3060.870999,3092.722311,2590.701825,2666.725992,2688.304898,2555.457106,3.975
1358.619402,2641.267131,3016.223295,3007.470802,2991.097167,2986.675107,2975.613388,2964.825131,2970.454344,3156.210635,3066.031176,2927.511632,2233.330907,2283.193543,2109.173762,1905.084349,6.05
723.9199744,1919.012004,2457.540813,2515.588348,2534.016965,2568.384283,2712.802817,2899.612356,2938.580986,3114.613156,3102.980794,3103.849072,2521.883003,2686.443982,2646.364117,2377.348271,9.925
465.0978003,1319.465263,1827.871657,1922.333914,1937.880677,1982.671784,2124.193385,2338.284539,2439.945561,2600.145434,2647.906473,2611.754708,2132.929103,2164.056971,2056.05618,1942.321412,2.3
850.1492325,1858.252572,2301.605159,2285.281057,2300.029435,2336.045893,2405.305586,2525.668935,2582.460832,2675.826555,2729.896186,2626.329008,1987.786833,2014.964868,1831.392784,1653.725273,4.95
627.1515685,1738.916933,2272.554097,2351.251761,2374.534251,2406.56258,2529.085948,2713.216229,2813.082586,2975.271767,2930.207907,2911.776889,2235.953105,2385.471191,2336.435499,2198.806658,7.5
515.6520019,1578.05982,2187.569869,2242.692356,2267.333281,2334.575724,2486.478398,2728.001899,2847.644722,3022.742048,3103.053331,3092.970565,2502.067416,2715.200032,2556.476025,2473.190378,2.175
626.6165173,1758.074104,2318.543054,2385.15669,2411.483515,2461.002881,2597.691421,2825.959347,2923.918534,3046.721991,3129.755922,3088.584507,2614.326344,2638.201665,2486.308579,2321.099712,2.125
440.1174776,1334.471511,1959.682458,1979.199104,1991.172055,2068.633163,2222.325064,2440.757682,2565.213828,2744.388604,2912.431178,2797.040653,2252.819782,2404.994238,2347.705346,2179.576665,2.4
654.1446863,1904.703105,2542.924456,2547.78041,2562.490397,2599.96991,2733.34219,2839.452305,2966.904449,3061.338508,3164.052497,2958.143406,2298.674776,2448.389085,2353.316421,2169.052497,8.875
447.4583867,1300.237996,1913.573464,1964.691741,1976.458547,2032.919334,2165.085627,2433.741517,2521.036332,2715.477273,2847.419814,2773.756402,2273.491997,2383.425896,2350.620038,2152.354513,1.475
550.6664029,1526.641399,2054.547397,2101.161418,2104.037348,2206.112201,2354.368254,2602.921981,2673.846969,2850.541225,2878.794429,2885.416838,2215.169331,2488.175819,2369.46463,2198.796012,2.1
1031.373239,2225.516485,2734.850032,2800.589309,2805.215589,2899.582746,2997.421895,3121.238476,3228.067382,3329.816901,3451.183739,3354.017286,2899.273528,2945.59379,2808.126921,2568.987356,3.8
664.7186264,1861.417788,2576.984966,2676.640133,2694.02532,2747.671309,2921.507201,3121.28533,3222.768634,3382.075803,3416.005855,3394.078968,2910.777338,3003.669726,2974.81975,2806.421111,8.725
1046.703425,2475.53089,2837.742798,2835.858035,2843.986076,2855.707426,2943.477113,2954.473592,3006.618118,3074.098752,2974.791293,2851.432939,1995.971191,2160.766325,2049.4992,1850.994878,8.375
404.3590758,1245.580313,1831.972622,1911.692673,1941.44295,1997.589017,2107.128185,2359.679696,2471.82244,2685.752018,2680.359867,2732.206837,2136.044786,2259.41668,2181.607216,2127.809147,1.775
1636.894206,3004.784091,3319.231274,3308.885563,3319.212708,3349.639405,3296.810339,3379.225192,3356.547855,3429.866357,3385.421255,3188.53105,2446.772407,2746.402849,2496.59443,2400.483195,7.575
449.9495839,1389.394686,1992.339469,2112.252241,2120.658131,2178.940621,2341.639085,2592.182138,2671.961268,2836.810339,2895.172535,2815.252881,2261.975992,2317.997919,2292.092029,2144.479033,2.4
482.9582665,1397.455377,1948.792456,2016.38443,2025.488925,2082.599518,2255.381541,2514.394382,2568.365329,2765.193419,2808.183307,2818.492616,2173.591493,2307.847994,2345.636437,2162.247352,1.575
1044.432778,2317.893246,2699.15509,2749.704866,2750.423335,2799.09283,2850.600992,2892.148848,2946.852593,3061.754962,2941.717029,2871.881082,2220.769366,2310.579065,2301.855954,2162.40765,11.8
435.8902049,1357.536492,1902.381562,1977.78265,1994.864117,2036.338988,2207.729994,2407.988636,2515.890205,2640.479033,2706.172215,2719.887484,2136.442862,2228.302497,2051.739277,1900.401408,4.475
505.8086039,1535.610227,2164.469318,2248.627435,2261.245617,2362.808442,2519.665747,2759.361039,2848.758604,3015.781656,3053.653409,3036.17013,2357.564286,2681.340422,2590.338961,2383.587175,4.65
563.5680218,1663.356274,2399.275288,2480.995839,2521.865557,2590.930378,2750.132362,3041.189661,3099.772567,3305.213028,3470.007362,3370.689981,2821.197023,3048.004161,2954.93774,2768.862836,4.125
