b14,b16,b20,b21,b30,b31,b32,b34,b52,b58,b60,b62,b65,b75,b81,b85,b86,b91,b95,b107,b108,b111,b116,b120,b127,b128,b130,b132,b137,b144,b145,b146,b152,b155,b156,b158,b160,b161,b163,TS
483.5586327,525.0090204,572.6592815,592.614496,886.3763254,896.3600253,903.2291502,922.7365089,1180.198291,1453.110777,1513.052856,1559.919766,1632.416205,1850.055863,1974.660548,2116.463523,2145.609748,2210.718785,2369.729862,2478.999842,2467.241019,2491.349581,2638.883526,2806.211426,2933.434246,2954.019623,3019.013768,3077.538851,3036.375376,3070.843804,3077.705017,2995.490109,2672.348315,2685.465105,2683.368729,2672.490742,2659.385504,2632.573192,2534.09606,2.175
536.1315621,577.456146,635.6827785,651.4239757,965.8620359,968.9295775,985.2335147,1016.473592,1252.613796,1497.449104,1557.009603,1611.647567,1683.555858,1920.378521,2029.927817,2132.597951,2153.28041,2250.432458,2359.884763,2488.543054,2484.682618,2493.31242,2707.24952,2814.457106,2969.167574,2990.943822,3148.728233,3136.572343,3005.523688,3109.190621,3092.722311,3011.774968,2590.701825,2666.725992,2631.153489,2563.638284,2675.194302,2688.304898,2555.457106,3.975
1358.619402,1410.557367,1502.245608,1540.595664,2007.313974,2012.67938,2009.817218,2019.00902,2345.392942,2588.687134,2695.649312,2719.443741,2761.271562,2923.375218,3029.316348,3016.223295,3022.191486,2991.097167,2916.067416,2902.863111,2866.997468,2811.560848,2893.856939,2961.784143,3076.467479,3087.94746,3249.293717,3165.43203,2978.335813,2982.503402,2927.511632,2781.28533,2233.330907,2283.193543,2241.621301,2163.035132,2184.802026,2109.173762,1905.084349,6.05
723.9199744,769.7783291,865.0941101,892.4403009,1270.06402,1270.735755,1288.015205,1318.154289,1640.201665,1898.784891,1939.40589,1975.441101,2056.326344,2266.56114,2407.711908,2457.540813,2470.365397,2534.016965,2605.7492,2712.175576,2692.600352,2671.190141,2836.617798,2922.6879,3054.295615,3066.896767,3195.456146,3194.653489,3020.514725,3128.283611,3103.849072,2998.050896,2521.883003,2686.443982,2644.184219,2562.497759,2683.798496,2646.364117,2377.348271,9.925
465.0978003,513.1368887,557.3184048,569.412407,845.6751068,848.1253363,859.6896661,881.8409558,1066.299731,1297.360342,1342.48552,1379.777022,1442.6069,1626.873081,1733.831935,1827.871657,1843.695838,1937.880677,1983.858205,2119.918183,2110.128976,2120.326159,2309.149074,2407.281215,2522.85868,2555.020573,2650.099858,2655.530147,2608.05982,2631.990347,2611.754708,2525.813103,2132.929103,2164.056971,2126.467479,2055.813578,2075.916284,2056.05618,1942.321412,2.3
850.1492325,884.8751385,927.6137047,938.0925779,1327.118531,1326.224719,1316.881627,1322.054914,1602.892863,1839.873239,1877.053173,1922.644248,1957.43029,2117.285172,2267.238171,2301.605159,2299.235322,2300.029435,2332.532679,2393.307011,2375.248299,2353.232315,2444.680013,2570.70834,2650.329957,2659.87134,2697.114259,2747.125495,2677.647571,2613.613072,2626.329008,2502.272353,1987.786833,2014.964868,1988.02532,1928.52176,1887.313024,1831.392784,1653.725273,4.95
627.1515685,687.1115557,760.8241037,783.578265,1130.233835,1136.331306,1137.473592,1153.796735,1424.616997,1723.788412,1752.041773,1796.980474,1877.586428,2071.834347,2203.160371,2272.554097,2281.920455,2374.534251,2464.752241,2544.03281,2510.942061,2496.631882,2634.376601,2784.495198,2882.910211,2916.370999,3041.230154,2967.408451,2867.130122,2932.302337,2911.776889,2802.623239,2235.953105,2385.471191,2282.648367,2089.474712,2314.65765,2336.435499,2198.806658,7.5
515.6520019,565.536319,630.2225036,644.5967716,987.9950942,994.1378383,1004.180567,1027.267289,1296.577781,1548.262542,1608.252255,1654.392942,1733.305586,1918.043203,2045.203671,2187.569869,2216.832568,2267.333281,2399.61054,2479.415256,2467.890014,2466.370312,2651.456243,2808.943978,2968.672258,2989.769109,3081.174869,3114.141953,3046.84507,3087.41937,3092.970565,3008.475866,2502.067416,2715.200032,2621.090995,2432.006014,2523.047318,2556.476025,2473.190378,2.175
626.6165173,664.9316581,726.4198143,743.9460627,1102.901729,1112.216229,1122.050736,1144.002881,1454.850672,1730.68806,1785.654449,1830.519526,1915.464629,2095.008643,2201.773848,2318.543054,2349.306658,2411.483515,2539.238636,2607.014085,2591.272407,2593.324264,2749.341229,2893.421095,3009.832746,3026.524808,3069.159091,3128.285531,3077.060659,3075.047535,3088.584507,3005.549776,2614.326344,2638.201665,2618.319942,2570.192862,2528.983515,2486.308579,2321.099712,2.125
440.1174776,493.6203585,542.2243918,556.3026569,844.0192061,848.7426376,856.6782971,869.7716069,1065.207746,1313.671895,1355.020967,1407.212868,1497.355954,1676.543694,1813.951985,1959.682458,1980.207266,1991.172055,2113.902049,2254.943502,2256.994878,2254.173656,2360.877241,2525.989437,2699.645006,2713.325224,2795.598592,2855.082907,2844.049296,2820.178777,2797.040653,2717.502401,2252.819782,2404.994238,2382.547375,2333.888444,2370.636044,2347.705346,2179.576665,2.4
654.1446863,728.3165813,820.7916133,847.478073,1253.06178,1263.622119,1278.294174,1304.945583,1596.699584,1881.037132,1927.34459,1985.685179,2083.815461,2272.086428,2439.022247,2542.924456,2562.556818,2562.490397,2646.523047,2724.347471,2707.022887,2662.46911,2730.81226,2931.15653,3020.837708,3025.588988,3136.882042,3168.191261,3093.755922,2982.832266,2958.143406,2870.233515,2298.674776,2448.389085,2413.050896,2342.364597,2376.273367,2353.316421,2169.052497,8.875
