b16,b31,b59,b72,b102,b106,b143,TS
728.3165813,1263.622119,1904.703105,2216.861556,2707.051697,2711.728553,3000.951504,8.875
534.7276468,906.7406235,1446.081025,1746.906156,2327.692515,2363.963127,2997.548346,1.65
536.7162292,922.5171255,1381.783771,1616.060339,2128.384443,2141.818502,2705.209507,1.45
672.6080346,1204.970871,1789.403649,2048.547055,2505.810019,2513.84267,2878.534411,8.2
417.9714286,747.299513,1243.686039,1530.10487,2152.275162,2179.863474,2725.828571,3.875
557.1910112,989.1607849,1526.641399,1779.213008,2335.749486,2385.446748,2926.552936,2.1
1086.975992,1680.326344,2317.893246,2570.275608,2837.871159,2836.439821,2958.3121,11.8
493.6203585,848.7426376,1334.471511,1620.806818,2199.158771,2221.825544,2838.78217,2.4
725.9139104,1210.470802,1861.417788,2231.508467,2878.659123,2919.839057,3425.502295,8.725
452.6192436,796.3101757,1245.580313,1555.227093,2085.842538,2126.267289,2752.893021,1.775
487.2167093,841.7267926,1357.536492,1626.322663,2184.040173,2207.169494,2693.964149,4.475
567.328533,947.7050166,1414.623675,1672.088463,2192.93116,2227.524767,2805.683336,3.9
565.536319,994.1378383,1578.05982,1873.797753,2461.864694,2483.401171,3081.194968,2.175
884.8751385,1326.224719,1858.252572,2093.677006,2393.027694,2401.372053,2593.659598,4.95
856.3207426,1336.435019,1919.886204,2217.433419,2694.445262,2734.670294,3126.997439,9.0
1130.335634,1790.010273,2524.055538,2752.854575,2936.775281,2910.033868,2891.736437,5.775
469.0074675,823.8060065,1290.60276,1586.312987,2101.91737,2141.616071,2676.562013,1.9
608.2884123,981.7559219,1574.550576,1878.743598,2493.426216,2522.051697,3179.160851,1.675
603.1882202,1031.521607,1663.356274,2021.150608,2738.284411,2791.049296,3400.472471,4.125
705.1935019,1159.84235,1694.431018,1971.403489,2404.252401,2453.369878,2852.390525,4.225
533.8737196,884.3095391,1434.919334,1761.231434,2435.004321,2480.40685,3293.901569,1.65
752.5396927,1170.897247,1606.372439,1855.178457,2163.912772,2154.784251,2498.544334,10.2
758.6597311,1234.372439,1866.145967,2197.37596,2778.176697,2819.422535,3323.706146,6.825
933.9322678,1492.338819,2145.395157,2393.834942,2687.830353,2703.160468,2890.28897,8.55
875.5289693,1363.886044,2035.042254,2271.675096,2543.349552,2523.899008,2604.193822,8.225
513.1368887,848.1253363,1319.465263,1585.471435,2099.267764,2121.70739,2641.238171,2.3
525.0090204,896.3600253,1483.720525,1778.942238,2449.035449,2498.149074,3060.76626,2.175
560.8102548,952.4296566,1443.900617,1730.805349,2224.198607,2221.804241,2799.786042,4.625
834.2778491,1343.793419,1956.984751,2238.239807,2682.266453,2667.586356,3029.428892,6.45
1410.557367,2012.67938,2641.267131,2858.352904,2973.428707,2896.54344,3038.39579,6.05
658.7767286,1139.797855,1712.264085,1975.179738,2260.975512,2240.18838,2488.628521,4.525
589.8971356,1038.162367,1578.012818,1847.290711,2325.211426,2360.927995,2765.381389,3.475
577.5780978,962.0705808,1472.160627,1746.379332,2309.889856,2358.611489,2940.510049,3.275
852.0934699,1433.057298,2180.010083,2472.993438,2836.534731,2863.394206,3044.144686,11.2
642.9886058,1109.806298,1665.464156,1906.445007,2383.371261,2442.350214,2912.018516,1.625
560.40621,966.7275928,1486.616037,1771.568022,2331.511844,2363.8137,2866.167093,2.25
1346.945455,1944.681981,2688.086851,2948.676299,3135.959578,3100.946429,3144.939773,6.45
664.9316581,1112.216229,1758.074104,2041.041773,2587.684699,2622.930218,3052.972471,2.125
1692.295455,2238.12356,3004.784091,3260.421735,3321.390205,3326.464149,3242.358195,7.575
601.2147727,1083.117045,1708.833766,1969.641883,2563.555682,2590.186688,3036.261364,3.0
567.0140845,967.5305698,1476.383643,1759.96783,2335.31402,2394.463028,3051.790333,4.825
525.9870233,894.4975471,1422.141795,1769.677481,2389.586327,2405.571451,3005.991613,4.35
598.1235955,1020.592974,1570.873081,1849.482355,2465.810888,2479.925305,3055.080551,2.15
901.3313815,1462.681595,2118.273303,2415.893654,2852.637759,2873.99636,3147.089413,8.125
503.7863316,846.650128,1300.237996,1594.471031,2152.222631,2211.713988,2787.428297,1.475
1109.076665,1723.733195,2475.53089,2699.961908,2918.168534,2898.119398,2875.523367,8.375
518.6854994,939.0774648,1470.106434,1769.677337,2356.253841,2445.289853,3070.915973,1.325
