b23,b26,b29,b30,b32,b33,b34,b37,b38,b53,b57,b58,b63,b65,b71,b76,b78,b79,b88,b92,b99,b103,b107,b111,b113,b131,b142,b143,b144,b149,b150,b152,b155,TS
902.3450704,1001.71911,1243.667254,1253.06178,1278.294174,1293.257362,1304.945583,1349.489597,1371.007362,1614.316741,1844.445262,1881.037132,2023.71975,2083.815461,2209.272727,2297.204065,2375.49904,2400.109315,2525.767125,2581.629962,2710.246159,2733.34219,2724.347471,2662.46911,2704.712228,3176.982875,3017.650608,3000.951504,2982.832266,2594.319462,2545.721831,2298.674776,2448.389085,8.875
643.4984966,703.9006172,884.2285172,896.1596772,913.7043836,920.0427283,932.7314448,981.2796329,995.9457193,1209.377433,1398.933376,1418.174395,1537.062035,1594.172654,1727.232948,1783.613072,1832.512898,1850.243076,2057.126128,2167.81247,2322.00633,2338.848552,2364.319671,2354.006488,2439.294034,2931.377433,2979.828454,2997.548346,3011.646147,2687.247349,2629.44026,2552.899509,2617.463681,1.65
651.2568822,717.2802497,900.5462548,912.5054417,927.4596671,932.3660371,932.0944302,955.7765685,983.2099872,1144.908451,1327.251601,1362.081626,1447.288892,1478.542734,1610.690941,1696.887644,1740.326665,1755.361076,1929.082266,1965.433899,2084.866517,2150.471351,2125.895327,2122.984155,2195.697823,2725.492478,2724.09235,2705.209507,2671.350032,2252.847151,2233.559699,2014.871959,2046.298656,1.45
850.2207106,967.6101152,1196.658131,1200.414533,1215.986236,1226.702145,1237.59283,1271.183259,1282.096351,1550.771607,1733.706626,1764.202305,1878.006082,1919.75064,2013.596191,2121.009443,2168.467029,2189.873239,2299.759763,2379.487676,2458.721031,2516.460787,2506.490237,2463.695262,2546.382202,2987.673496,2887.387324,2878.534411,2859.525128,2427.612516,2385.818182,2123.542894,2390.242157,8.2
519.1917208,590.2741883,749.6649351,747.7456169,758.2150974,768.5180195,777.8063312,813.3560065,830.250487,1000.144318,1198.467695,1220.163799,1320.098214,1371.868506,1520.407955,1621.32776,1649.28961,1668.029383,1885.116396,1967.182305,2101.468506,2185.997078,2191.671753,2168.375487,2232.814773,2721.755682,2737.782305,2725.828571,2694.230682,2276.07289,2249.10211,2141.032143,2124.645942,3.875
700.2745688,765.8806773,959.4396265,975.4037031,991.2098433,994.0235797,1004.734135,1044.071372,1056.238804,1251.906156,1476.686818,1514.338503,1596.060136,1613.670676,1780.789682,1882.337553,1927.312391,1935.730337,2097.762621,2153.868967,2278.394208,2354.368254,2347.276943,2329.491059,2433.069315,2977.799494,2937.581263,2926.552936,2906.664979,2517.903149,2513.41668,2215.169331,2488.175819,2.1
1289.683419,1415.368278,1672.103713,1676.170775,1686.06162,1691.489757,1709.203105,1763.653969,1771.879962,2032.628681,2253.575064,2292.600672,2390.139885,2449.994078,2561.15669,2620.461268,2664.337708,2681.730154,2749.363476,2773.040013,2829.435019,2850.600992,2815.670455,2732.551376,2786.324264,3172.683099,2966.518886,2958.3121,2921.18598,2503.103233,2452.513764,2220.769366,2310.579065,11.8
602.6298015,657.6782971,840.2243918,844.0192061,856.6782971,864.3509923,869.7716069,896.0670615,913.5617798,1090.088348,1294.448303,1313.671895,1438.916293,1497.355954,1607.240557,1699.122919,1764.290493,1783.059539,1959.902209,2028.330826,2184.865877,2222.325064,2254.943502,2254.173656,2308.65573,2831.256722,2844.857875,2838.78217,2820.178777,2485.403169,2446.737196,2252.819782,2404.994238,2.4
854.3616078,919.0330749,1165.542016,1188.489634,1217.337079,1223.447381,1237.721475,1298.594714,1319.24276,1564.842064,1800.067257,1828.486153,1979.71736,2021.989239,2207.184681,2327.326792,2403.748536,2416.694888,2646.914543,2719.381073,2840.141636,2921.507201,2926.42665,2910.868017,2984.579047,3560.125495,3422.519702,3425.502295,3413.470486,3046.44026,3052.09416,2910.777338,3003.669726,8.725
541.2457667,622.1876879,772.330432,787.6635544,797.7865169,798.5016617,811.002532,855.6567495,872.4821966,1058.438994,1206.168856,1225.483146,1351.328375,1402.772432,1537.191328,1610.426333,1674.81611,1680.737617,1859.101757,1970.716569,2058.687609,2107.128185,2100.554835,2126.543124,2207.065991,2721.631113,2741.564172,2752.893021,2758.983225,2391.557683,2337.199557,2136.044786,2259.41668,1.775
