b26,b29,b59,b66,b80,b84,b98,b161,TS
1001.71911,1243.667254,1904.703105,2107.84347,2418.870038,2512.917734,2713.945583,2353.316421,8.875
703.9006172,884.2285172,1446.081025,1617.244342,1866.397056,1999.43029,2314.51179,2493.297041,1.65
717.2802497,900.5462548,1381.783771,1499.314501,1768.93662,1855.68662,2078.549296,2082.014085,1.45
967.6101152,1196.658131,1789.403649,1941.24968,2209.444302,2257.223752,2443.146447,2259.520166,8.2
590.2741883,749.6649351,1243.686039,1398.025812,1688.117532,1783.138636,2091.351136,2056.893669,3.875
765.8806773,959.4396265,1526.641399,1632.008071,1939.633486,2027.173129,2262.383447,2369.46463,2.1
1415.368278,1672.103713,2317.893246,2472.331466,2697.297535,2691.120519,2828.560179,2301.855954,11.8
657.6782971,840.2243918,1334.471511,1520.643086,1797.621319,1930.746639,2180.830346,2347.705346,2.4
919.0330749,1165.542016,1861.417788,2047.863744,2415.544706,2519.941446,2838.195442,2974.81975,8.725
622.1876879,772.330432,1245.580313,1423.425067,1688.193702,1806.918975,2065.969299,2181.607216,1.775
658.8444302,830.8599552,1357.536492,1515.643246,1774.909571,1878.081626,2158.040173,2051.739277,4.475
749.5717677,933.7776547,1414.623675,1553.945245,1844.217439,1941.903466,2147.805507,2378.809305,3.9
768.956797,982.1775597,1578.05982,1761.984966,2037.880994,2150.514955,2430.98101,2556.476025,2.175
1103.694572,1325.184365,1858.252572,1969.722899,2236.712455,2296.567811,2362.160468,1831.392784,4.95
1097.893886,1333.153009,1919.886204,2053.567702,2355.370999,2445.804738,2622.46767,2719.550896,9.0
1452.385393,1716.983788,2524.055538,2676.588122,2840.652488,2835.007384,2939.901284,2151.164045,5.775
644.3042208,816.6842532,1290.60276,1447.303896,1724.740422,1825.496266,2068.012825,2013.571104,1.9
794.9428617,971.6294814,1574.550576,1729.615717,2011.528489,2126.226472,2430.443662,2636.339309,1.675
795.4467029,1014.15749,1663.356274,1850.423656,2230.402849,2378.360755,2665.379481,2954.93774,4.125
918.3237836,1135.584187,1694.431018,1842.345871,2137.108035,2240.158451,2373.076985,2275.927497,4.225
689.7143086,864.5040013,1434.919334,1590.871799,1920.141005,2036.357875,2355.152209,2993.239757,1.65
932.5745839,1143.28089,1606.372439,1727.775928,1955.15621,2019.110915,2133.198464,1667.895807,10.2
985.5518566,1202.447343,1866.145967,2062.885083,2356.663732,2459.567862,2734.888124,2819.956306,6.825
1235.053489,1487.614179,2145.395157,2297.075487,2541.645197,2583.906473,2678.093369,2228.087039,8.55
1150.50032,1382.902529,2035.042254,2150.705826,2355.828905,2394.804577,2525.176697,1697.477433,8.225
676.0449438,842.3487894,1319.465263,1464.586169,1710.660706,1812.773382,2056.878462,2056.05618,2.3
685.3217281,875.2826397,1483.720525,1662.996518,1963.762937,2082.457351,2416.485995,2632.573192,2.175
741.2965659,931.6811204,1443.900617,1609.543599,1841.724956,1928.649628,2193.53347,2211.002532,4.625
1105.657785,1324.406742,1956.984751,2142.924719,2390.982825,2465.009791,2671.47496,2385.767897,6.45
1763.159677,1997.890647,2641.267131,2770.663238,3005.221079,3022.664979,2967.846969,2109.173762,6.05
911.3455506,1141.862036,1712.264085,1857.069622,2080.581146,2148.041293,2254.889405,1602.246479,4.525
819.2365881,1026.044469,1578.012818,1727.141795,2039.00902,2111.119481,2281.727014,2222.793796,3.475
779.4302896,961.0234214,1472.160627,1615.705966,1932.211426,2020.106662,2249.316189,2490.405444,3.275
1181.651408,1398.590109,2180.010083,2377.090589,2630.867958,2674.841069,2880.144366,2421.319942,11.2
862.9110619,1079.821649,1665.464156,1769.558316,2050.110935,2159.344358,2323.877671,2345.322361,1.625
775.4739117,960.7293534,1486.616037,1662.158451,1943.87532,2047.06306,2302.663892,2329.956786,2.25
1631.161364,1911.585065,2688.086851,2838.226461,3032.888149,3029.198539,3121.945617,2174.693344,6.45
873.1038732,1093.840749,1758.074104,1947.335147,2195.691581,2282.394366,2575.96959,2486.308579,2.125
2071.806178,2289.928457,3004.784091,3096.337708,3354.913892,3342.897887,3285.21751,2496.59443,7.575
868.1553571,1083.737013,1708.833766,1867.498864,2169.614773,2272.693506,2525.994481,2460.013312,3.0
752.1141165,953.4553457,1476.383643,1621.65557,1945.669174,2059.06098,2281.450864,2630.899968,4.825
699.6227251,890.6608641,1422.141795,1612.132932,1921.826871,2028.17123,2351.844912,2557.254945,4.35
813.3600253,999.3750593,1570.873081,1703.398323,2065.27805,2183.772116,2354.742523,2445.198133,2.15
1213.912486,1435.379332,2118.273303,2294.629846,2576.246716,2650.558474,2828.546289,2519.689983,8.125
668.2983355,849.5390525,1300.237996,1443.556018,1790.893566,1905.111236,2107.196383,2350.620038,1.475
1449.065461,1717.546575,2475.53089,2640.303617,2809.408451,2826.40637,2930.658291,2049.4992,8.375
704.9860755,901.7029449,1470.106434,1608.401569,1936.682458,2044.916453,2283.338508,2614.820102,1.325
