b25,b26,b28,b29,b32,b35,b57,b58,b59,b67,b71,b97,b98,b99,b105,b106,b135,b140,TS
948.346991,1001.71911,1192.827625,1243.667254,1278.294174,1317.372439,1844.445262,1881.037132,1904.703105,2121.429257,2209.272727,2693.334507,2713.945583,2710.246159,2717.131882,2711.728553,3224.974552,3042.761204,8.875
669.5459725,703.9006172,843.520652,884.2285172,913.7043836,950.6469378,1398.933376,1418.174395,1446.081025,1632.029435,1727.232948,2287.9185,2314.51179,2322.00633,2358.733819,2363.963127,2978.937648,2930.978794,1.65
679.1341229,717.2802497,861.1789373,900.5462548,927.4596671,929.365717,1327.251601,1362.081626,1381.783771,1525.475352,1610.690941,2069.458067,2078.549296,2084.866517,2152.572983,2141.818502,2678.823303,2607.954545,1.45
912.4242958,967.6101152,1149.334667,1196.658131,1215.986236,1248.319462,1733.706626,1764.202305,1789.403649,1961.172375,2013.596191,2438.304577,2443.146447,2458.721031,2517.0637,2513.84267,2911.962548,2850.6242,8.2
555.9199675,590.2741883,717.6175325,749.6649351,758.2150974,787.3925325,1198.467695,1220.163799,1243.686039,1421.692045,1520.407955,2069.237013,2091.351136,2101.468506,2177.930357,2179.863474,2723.083279,2662.180195,3.875
727.06884,765.8806773,916.1611014,959.4396265,991.2098433,1018.834942,1476.686818,1514.338503,1526.641399,1663.880361,1780.789682,2256.945878,2262.383447,2278.394208,2400.906156,2385.446748,2941.385504,2836.419687,2.1
1353.851152,1415.368278,1619.552337,1672.103713,1686.06162,1732.415493,2253.575064,2292.600672,2317.893246,2480.274648,2561.15669,2823.439501,2828.560179,2829.435019,2847.274328,2836.439821,3014.276889,2872.631722,11.8
622.7597631,657.6782971,802.1819782,840.2243918,856.6782971,874.3626761,1294.448303,1313.671895,1334.471511,1529.277209,1607.240557,2156.733675,2180.830346,2184.865877,2214.201184,2221.825544,2968.198944,2802.794654,2.4
880.9393891,919.0330749,1104.114259,1165.542016,1217.337079,1258.625099,1800.067257,1828.486153,1861.417788,2089.94113,2207.184681,2827.612439,2838.195442,2840.141636,2925.766893,2919.839057,3471.395316,3373.125178,8.725
571.8887482,622.1876879,747.4687451,772.330432,797.7865169,824.9631271,1206.168856,1225.483146,1245.580313,1441.852825,1537.191328,2059.794429,2065.969299,2058.687609,2142.165374,2126.267289,2724.72195,2731.333914,1.775
