b20,b21,b31,b34,b35,b36,b48,b54,b55,b59,b70,b71,b73,b78,b99,b104,b126,TS
820.7916133,847.478073,1263.622119,1304.945583,1317.372439,1328.744398,1558.606754,1686.93774,1756.961428,1904.703105,2183.683579,2209.272727,2223.857554,2375.49904,2710.246159,2729.358995,3020.471831,8.875
598.7439468,610.8716569,906.7406235,932.7314448,950.6469378,966.5864852,1130.093053,1279.673366,1347.152398,1446.081025,1698.830669,1727.232948,1767.100332,1832.512898,2322.00633,2348.289128,2828.687292,1.65
596.0769846,618.9897567,922.5171255,932.0944302,929.365717,929.7064661,1080.722151,1198.87516,1250.128041,1381.783771,1595.354353,1610.690941,1620.432618,1740.326665,2084.866517,2152.12484,2539.90573,1.45
793.6888604,829.1861396,1204.970871,1237.59283,1248.319462,1259.441741,1459.677657,1607.929257,1664.84395,1789.403649,2001.399968,2013.596191,2083.817061,2168.467029,2458.721031,2518.171255,2821.131082,8.2
470.5073052,486.2732143,747.299513,777.8063312,787.3925325,796.7603896,939.2288961,1070.44724,1141.161201,1243.686039,1496.166558,1520.407955,1539.489448,1649.28961,2101.468506,2182.691883,2601.993831,3.875
640.399905,655.6645039,989.1607849,1004.734135,1018.834942,1032.153822,1183.745371,1320.553094,1387.38044,1526.641399,1757.919608,1780.789682,1777.358759,1927.312391,2278.394208,2378.316664,2763.949834,2.1
1205.841709,1232.986716,1680.326344,1709.203105,1732.415493,1754.395006,1940.739117,2101.117798,2166.25112,2317.893246,2535.15525,2561.15669,2578.116517,2664.337708,2829.435019,2850.18822,3000.201985,11.8
542.2243918,556.3026569,848.7426376,869.7716069,874.3626761,878.793854,1032.869238,1164.224872,1236.600832,1334.471511,1583.541613,1607.240557,1633.059539,1764.290493,2184.865877,2219.629481,2687.40701,2.4
793.5345783,810.6969457,1210.470802,1237.721475,1258.625099,1277.418895,1487.381231,1644.090362,1722.199399,1861.417788,2185.358759,2207.184681,2256.415889,2403.748536,2840.141636,2929.133882,3296.780503,8.725
498.2345308,511.5329957,796.3101757,811.002532,824.9631271,839.6203513,958.6489951,1115.283431,1166.702959,1245.580313,1513.363349,1537.191328,1571.185156,1674.81611,2058.687609,2129.203671,2585.683336,1.775
