b21,b22,b23,b24,b30,b31,b32,b35,b48,b57,b58,b59,b91,b94,b98,b99,b103,b110,b117,b121,b128,b143,b149,TS
847.478073,875.231274,902.3450704,925.5065621,1253.06178,1263.622119,1278.294174,1317.372439,1558.606754,1844.445262,1881.037132,1904.703105,2562.490397,2618.077145,2713.945583,2710.246159,2733.34219,2648.254161,2785.282971,2966.904449,3025.588988,3000.951504,2594.319462,8.875
610.8716569,627.5610065,643.4984966,656.80978,896.1596772,906.7406235,913.7043836,950.6469378,1130.093053,1398.933376,1418.174395,1446.081025,2133.595664,2230.211742,2314.51179,2322.00633,2338.848552,2318.405919,2545.42665,2703.584428,2865.462731,2997.548346,2687.247349,1.65
618.9897567,635.9611076,651.2568822,665.1171575,912.5054417,922.5171255,927.4596671,929.365717,1080.722151,1327.251601,1362.081626,1381.783771,1927.709987,2034.107074,2078.549296,2084.866517,2150.471351,2085.455826,2341.100352,2451.175256,2581.644686,2705.209507,2252.847151,1.45
829.1861396,839.6674136,850.2207106,879.5112036,1200.414533,1204.970871,1215.986236,1248.319462,1459.677657,1733.706626,1764.202305,1789.403649,2363.109475,2411.419814,2443.146447,2458.721031,2516.460787,2425.399648,2641.808099,2741.399968,2844.610435,2878.534411,2427.612516,8.2
486.2732143,502.9300325,519.1917208,536.9366883,747.7456169,747.299513,758.2150974,787.3925325,939.2288961,1198.467695,1220.163799,1243.686039,1929.493344,2038.919318,2091.351136,2101.468506,2185.997078,2139.175487,2371.098539,2465.915097,2620.5875,2725.828571,2276.07289,3.875
655.6645039,678.0822915,700.2745688,713.8795696,975.4037031,989.1607849,991.2098433,1018.834942,1183.745371,1476.686818,1514.338503,1526.641399,2104.037348,2239.717993,2262.383447,2278.394208,2354.368254,2276.929736,2583.33154,2673.846969,2788.439152,2926.552936,2517.903149,2.1
1232.986716,1260.739437,1289.683419,1321.413092,1676.170775,1680.326344,1686.06162,1732.415493,1940.739117,2253.575064,2292.600672,2317.893246,2750.423335,2815.894686,2828.560179,2829.435019,2850.600992,2707.833067,2881.8137,2946.852593,3010.9371,2958.3121,2503.103233,11.8
556.3026569,579.4290973,602.6298015,614.1930218,844.0192061,848.7426376,856.6782971,874.3626761,1032.869238,1294.448303,1313.671895,1334.471511,1991.172055,2101.15509,2180.830346,2184.865877,2222.325064,2231.476953,2400.834827,2565.213828,2713.325224,2838.78217,2485.403169,2.4
810.6969457,831.8395316,854.3616078,869.0914702,1188.489634,1210.470802,1217.337079,1258.625099,1487.381231,1800.067257,1828.486153,1861.417788,2694.02532,2773.490426,2838.195442,2840.141636,2921.507201,2887.459883,3101.796962,3222.768634,3334.530464,3425.502295,3046.44026,8.725
511.5329957,527.1235955,541.2457667,555.4620984,787.6635544,796.3101757,797.7865169,824.9631271,958.6489951,1206.168856,1225.483146,1245.580313,1941.44295,2016.988764,2065.969299,2058.687609,2107.128185,2081.052065,2323.764045,2471.82244,2648.408767,2752.893021,2391.557683,1.775
561.1478873,576.28121,592.328105,607.7327145,836.7488796,841.7267926,851.6387644,890.8767606,1037.559859,1304.552977,1331.904289,1357.536492,1994.864117,2060.298335,2158.040173,2158.440461,2207.729994,2135.457907,2387.627881,2515.890205,2619.298496,2693.964149,2340.800576,4.475
629.6358601,650.2174395,671.7113467,690.984966,940.5945561,947.7050166,948.3168223,976.9759456,1109.872923,1376.1304,1398.732394,1414.623675,2010.697579,2106.329008,2147.805507,2161.206678,2204.685235,2194.119639,2432.029277,2528.203513,2656.78984,2805.683336,2463.541383,3.9
644.5967716,672.8963444,701.8017091,718.6630796,987.9950942,994.1378383,1004.180567,1043.015192,1240.973572,1507.601677,1548.262542,1578.05982,2267.333281,2367.689983,2430.98101,2433.318405,2486.478398,2434.501978,2689.595031,2847.644722,2989.769109,3081.194968,2734.345466,2.175
938.0925779,974.2813736,1011.910429,1033.929103,1327.118531,1326.224719,1316.881627,1346.923406,1519.500396,1816.041146,1839.873239,1858.252572,2300.029435,2345.885267,2362.160468,2369.160943,2405.305586,2334.944453,2485.07517,2582.460832,2659.87134,2593.659598,2138.258269,4.95
938.7980154,964.0777849,990.2760883,1016.756402,1335.215429,1336.435019,1339.773848,1367.480154,1566.392286,1878.40493,1905.732554,1919.886204,2518.454065,2609.784731,2622.46767,2643.488956,2702.458707,2662.623399,2872.225192,2951.004802,3062.319462,3126.997439,2831.302497,9.0
1291.890048,1333.655217,1375.379775,1393.508507,1755.445746,1790.010273,1784.457303,1805.515409,2098.429374,2474.37512,2500.354414,2524.055538,2853.400482,2938.200803,2939.901284,2935.98122,2951.894703,2778.703531,2920.634189,2989.719101,3020.967576,2891.736437,2374.870947,5.775
540.3186688,555.8345779,572.9034091,588.4886364,819.3081169,823.8060065,830.2318182,867.9741883,1002.860552,1249.832468,1276.120617,1290.60276,1965.588799,2026.871753,2068.012825,2076.139123,2118.217045,2117.77711,2308.931981,2430.177273,2622.69724,2676.562013,2198.33263,1.9
680.0078425,692.8766005,705.1830986,727.3004161,975.7620038,981.7559219,1001.414693,1044.918534,1224.78265,1518.559059,1537.84219,1574.550576,2256.704225,2403.700064,2430.443662,2436.319302,2519.899008,2467.004481,2722.952945,2844.277369,3005.878841,3179.160851,2818.288412,1.675
673.5200064,697.9129321,721.6272407,739.3273047,1023.597151,1031.521607,1035.776729,1078.378041,1289.329065,1606.180858,1644.409891,1663.356274,2521.865557,2623.294814,2665.379481,2677.602913,2750.132362,2782.403649,2980.807138,3099.772567,3262.685019,3400.472471,3038.618118,4.125
804.5083227,815.796895,827.3357875,844.0704225,1149.483195,1159.84235,1165.886844,1207.609955,1368.528169,1647.145487,1673.613476,1694.431018,2291.016485,2313.651408,2373.076985,2358.297695,2422.622439,2383.733195,2567.951665,2649.665653,2802.659411,2852.390525,2421.073944,4.225
608.3754802,618.743758,628.9767926,643.7048656,874.4580666,884.3095391,902.7223111,947.8111396,1083.355474,1383.100672,1418.173976,1434.919334,2216.310179,2289.946223,2355.152209,2373.955346,2457.84267,2460.111876,2741.587388,2845.43614,3011.987996,3293.901569,3072.204545,1.65
844.9639885,862.1478873,879.246959,885.8015365,1159.515845,1170.897247,1167.126921,1197.068182,1338.972791,1567.795935,1589.396447,1606.372439,2072.337548,2127.696863,2133.198464,2148.419334,2162.557458,2056.213508,2263.625,2352.691741,2477.744718,2498.544334,1945.778969,10.2
846.0208067,875.7367157,906.2791293,924.5997119,1218.090909,1234.372439,1249.229834,1310.462548,1497.772247,1809.850352,1838.497279,1866.145967,2578.684699,2653.981114,2734.888124,2748.597311,2798.367638,2738.023367,3023.587068,3133.56402,3213.086908,3323.706146,2987.31178,6.825
1022.867068,1062.378857,1104.38772,1139.827979,1490.008862,1492.338819,1497.886374,1528.551511,1767.126919,2094.188796,2128.839215,2145.395157,2587.311758,2651.986865,2678.093369,2685.495806,2693.94113,2590.231207,2768.760722,2834.66482,2915.937015,2890.28897,2435.732394,8.55
969.3778809,995.0139245,1020.640365,1055.539853,1370.491997,1363.886044,1387.548015,1433.972791,1656.778649,1984.946543,2010.46767,2035.042254,2438.366197,2533.708387,2525.176697,2523.488956,2565.423656,2409.735435,2574.590109,2636.348912,2691.730314,2604.193822,1982.184859,8.225
