b24,b29,b31,b59,b66,b69,b98,b137,b153,TS
925.5065621,1243.667254,1263.622119,1904.703105,2107.84347,2157.524488,2713.945583,3093.755922,2234.233675,8.875
656.80978,884.2285172,906.7406235,1446.081025,1617.244342,1669.105238,2314.51179,2882.413198,2563.526982,1.65
665.1171575,900.5462548,922.5171255,1381.783771,1499.314501,1575.926857,2078.549296,2596.025448,1969.869078,1.45
879.5112036,1196.658131,1204.970871,1789.403649,1941.24968,1993.210467,2443.146447,2796.793694,2098.948464,8.2
536.9366883,749.6649351,747.299513,1243.686039,1398.025812,1469.92224,2091.351136,2611.125487,2105.840584,3.875
713.8795696,959.4396265,989.1607849,1526.641399,1632.008071,1727.373002,2262.383447,2815.163159,2226.877671,2.1
1321.413092,1672.103713,1680.326344,2317.893246,2472.331466,2506.717029,2828.560179,2862.496959,2174.661652,11.8
614.1930218,840.2243918,848.7426376,1334.471511,1520.643086,1557.314981,2180.830346,2844.049296,2214.290013,2.4
869.0914702,1165.542016,1210.470802,1861.417788,2047.863744,2164.131825,2838.195442,3345.631113,2824.721633,8.725
555.4620984,772.330432,796.3101757,1245.580313,1423.425067,1485.619718,2065.969299,2655.445007,2169.702326,1.775
607.7327145,830.8599552,841.7267926,1357.536492,1515.643246,1555.770967,2158.040173,2645.572983,2125.142926,4.475
690.984966,933.7776547,947.7050166,1414.623675,1553.945245,1607.400063,2147.805507,2747.596297,2183.555626,3.9
718.6630796,982.1775597,994.1378383,1578.05982,1761.984966,1818.359392,2430.98101,3046.84507,2395.13499,2.175
1033.929103,1325.184365,1326.224719,1858.252572,1969.722899,2052.446115,2362.160468,2677.647571,1986.259376,4.95
1016.756402,1333.153009,1336.435019,1919.886204,2053.567702,2151.141805,2622.46767,3158.552337,2740.24888,9.0
1393.508507,1716.983788,1790.010273,2524.055538,2676.588122,2710.236918,2939.901284,2846.677047,2168.969181,5.775
588.4886364,816.6842532,823.8060065,1290.60276,1447.303896,1503.564935,2068.012825,2579.501786,1980.630682,1.9
727.3004161,971.6294814,981.7559219,1574.550576,1729.615717,1807.43726,2430.443662,3006.440461,2671.366837,1.675
739.3273047,1014.15749,1031.521607,1663.356274,1850.423656,1963.885563,2665.379481,3395.671415,2726.204225,4.125
844.0704225,1135.584187,1159.84235,1694.431018,1842.345871,1892.138764,2373.076985,2766.646287,2090.825384,4.225
643.7048656,864.5040013,884.3095391,1434.919334,1590.871799,1673.81274,2355.152209,3152.637164,3007.620038,1.65
885.8015365,1143.28089,1170.897247,1606.372439,1727.775928,1790.424136,2133.198464,2420.011204,1834.169174,10.2
924.5997119,1202.447343,1234.372439,1866.145967,2062.885083,2118.011844,2734.888124,3260.50112,2684.847791,6.825
1139.827979,1487.614179,1492.338819,2145.395157,2297.075487,2354.040513,2678.093369,2805.38677,2163.89492,8.55
1055.539853,1382.902529,1363.886044,2035.042254,2150.705826,2222.439821,2525.176697,2523.302017,1641.849872,8.225
613.1330907,842.3487894,848.1253363,1319.465263,1464.586169,1511.143061,2056.878462,2608.05982,2078.825764,2.3
642.4584586,875.2826397,896.3600253,1483.720525,1662.996518,1739.66213,2416.485995,3036.375376,2617.193069,2.175
695.8447539,931.6811204,952.4296566,1443.900617,1609.543599,1666.135464,2193.53347,2681.655167,2036.636335,4.625
1030.337881,1324.406742,1343.793419,1956.984751,2142.924719,2179.791332,2671.47496,3059.349117,2510.764205,6.45
1662.587435,1997.890647,2012.67938,2641.267131,2770.663238,2782.403228,2967.846969,2978.335813,2221.900142,6.05
831.693662,1141.862036,1139.797855,1712.264085,1857.069622,1919.975512,2254.889405,2402.518726,1559.536012,4.525
754.837949,1026.044469,1038.162367,1578.012818,1727.141795,1771.981801,2281.727014,2667.145751,2086.221871,3.475
715.5967716,961.0234214,962.0705808,1472.160627,1615.705966,1703.708182,2249.316189,2849.431556,2297.808672,3.275
1084.743598,1398.590109,1433.057298,2180.010083,2377.090589,2432.007042,2880.144366,2998.578425,2353.745679,11.2
810.6523184,1079.821649,1109.806298,1665.464156,1769.558316,1867.866909,2323.877671,2812.273777,2115.949517,1.625
705.3583547,960.7293534,966.7275928,1486.616037,1662.158451,1719.163572,2302.663892,2790.9363,2309.262964,2.25
1559.341071,1911.585065,1944.681981,2688.086851,2838.226461,2904.044968,3121.945617,3094.38539,2280.180032,6.45
821.2485595,1093.840749,1112.216229,1758.074104,1947.335147,2000.901889,2575.96959,3077.060659,2609.481114,2.125
1940.50112,2289.928457,2238.12356,3004.784091,3096.337708,3175.277689,3285.21751,3307.971191,2449.471991,7.575
792.0461039,1083.737013,1083.117045,1708.833766,1867.498864,1904.085065,2525.994481,2981.564773,2277.098377,3.0
696.5771447,953.4553457,967.5305698,1476.383643,1621.65557,1681.28233,2281.450864,2915.652689,2425.391325,4.825
641.9547397,890.6608641,894.4975471,1422.141795,1612.132932,1699.622883,2351.844912,2923.823548,2409.344675,4.35
743.9414464,999.3750593,1020.592974,1570.873081,1703.398323,1788.545656,2354.742523,2998.030226,2284.625099,2.15
1124.02263,1435.379332,1462.681595,2118.273303,2294.629846,2360.290552,2828.546289,3143.844596,2523.263649,8.125
609.990557,849.5390525,846.650128,1300.237996,1443.556018,1520.043534,2107.196383,2770.93694,2249.910371,1.475
1341.986236,1717.546575,1723.733195,2475.53089,2640.303617,2637.986556,2930.658291,2893.626921,2019.988956,8.375
657.8533931,901.7029449,939.0774648,1470.106434,1608.401569,1700.236556,2283.338508,2932.556498,2399.898848,1.325
