b24,b30,b31,b33,b35,b56,b58,b59,b69,b78,b99,b134,TS
925.5065621,1253.06178,1263.622119,1293.257362,1317.372439,1807.300416,1881.037132,1904.703105,2157.524488,2375.49904,2710.246159,3201.619078,8.875
656.80978,896.1596772,906.7406235,920.0427283,950.6469378,1381.381073,1418.174395,1446.081025,1669.105238,1832.512898,2322.00633,2972.906947,1.65
665.1171575,912.5054417,922.5171255,932.3660371,929.365717,1290.394046,1362.081626,1381.783771,1575.926857,1740.326665,2084.866517,2674.351312,1.45
879.5112036,1200.414533,1204.970871,1226.702145,1248.319462,1702.065941,1764.202305,1789.403649,1993.210467,2168.467029,2458.721031,2927.307778,8.2
536.9366883,747.7456169,747.299513,768.5180195,787.3925325,1176.683604,1220.163799,1243.686039,1469.92224,1649.28961,2101.468506,2717.568831,3.875
713.8795696,975.4037031,989.1607849,994.0235797,1018.834942,1435.258743,1514.338503,1526.641399,1727.373002,1927.312391,2278.394208,2923.992562,2.1
1321.413092,1676.170775,1680.326344,1691.489757,1732.415493,2212.865077,2292.600672,2317.893246,2506.717029,2664.337708,2829.435019,3027.014565,11.8
614.1930218,844.0192061,848.7426376,864.3509923,874.3626761,1274.845391,1313.671895,1334.471511,1557.314981,1764.290493,2184.865877,2928.25144,2.4
869.0914702,1188.489634,1210.470802,1223.447381,1258.625099,1772.097326,1828.486153,1861.417788,2164.131825,2403.748536,2840.141636,3488.273936,8.725
555.4620984,787.6635544,796.3101757,798.5016617,824.9631271,1186.555784,1225.483146,1245.580313,1485.619718,1674.81611,2058.687609,2752.100174,1.775
607.7327145,836.7488796,841.7267926,861.824904,890.8767606,1276.353073,1331.904289,1357.536492,1555.770967,1739.403809,2158.440461,2743.588828,4.475
690.984966,940.5945561,947.7050166,949.3082766,976.9759456,1354.492166,1398.732394,1414.623675,1607.400063,1801.480772,2161.206678,2818.800443,3.9
718.6630796,987.9950942,994.1378383,1013.583795,1043.015192,1466.769742,1548.262542,1578.05982,1818.359392,2014.024371,2433.318405,3126.825289,2.175
1033.929103,1327.118531,1326.224719,1306.591233,1346.923406,1791.520494,1839.873239,1858.252572,2052.446115,2177.814686,2369.160943,2777.545972,4.95
1016.756402,1335.215429,1336.435019,1342.527849,1367.480154,1850.145327,1905.732554,1919.886204,2151.141805,2289.18662,2643.488956,3212.852433,9.0
1393.508507,1755.445746,1790.010273,1780.333387,1805.515409,2445.836437,2500.354414,2524.055538,2710.236918,2849.494061,2935.98122,3017.94703,5.775
588.4886364,819.3081169,823.8060065,838.2061688,867.9741883,1222.891721,1276.120617,1290.60276,1503.564935,1689.955195,2076.139123,2704.320455,1.9
727.3004161,975.7620038,981.7559219,1020.93662,1044.918534,1502.460787,1537.84219,1574.550576,1807.43726,1987.7508,2436.319302,3127.058739,1.675
739.3273047,1023.597151,1031.521607,1039.393246,1078.378041,1568.648528,1644.409891,1663.356274,1963.885563,2178.739277,2677.602913,3471.013284,4.125
844.0704225,1149.483195,1159.84235,1173.447343,1207.609955,1617.683579,1673.613476,1694.431018,1892.138764,2084.099072,2358.297695,2924.057778,4.225
