b24,b25,b30,b34,b58,b71,b78,b102,b106,b127,b148,TS
925.5065621,948.346991,1253.06178,1304.945583,1881.037132,2209.272727,2375.49904,2707.051697,2711.728553,3020.837708,2638.18694,8.875
656.80978,669.5459725,896.1596772,932.7314448,1418.174395,1727.232948,1832.512898,2327.692515,2363.963127,2846.843963,2744.979427,1.65
665.1171575,679.1341229,912.5054417,932.0944302,1362.081626,1610.690941,1740.326665,2128.384443,2141.818502,2559.042093,2269.785051,1.45
879.5112036,912.4242958,1200.414533,1237.59283,1764.202305,2013.596191,2168.467029,2505.810019,2513.84267,2830.370679,2465.533611,8.2
536.9366883,555.9199675,747.7456169,777.8063312,1220.163799,1520.407955,1649.28961,2152.275162,2179.863474,2610.828896,2303.523864,3.875
713.8795696,727.06884,975.4037031,1004.734135,1514.338503,1780.789682,1927.312391,2335.749486,2385.446748,2774.658332,2520.652951,2.1
1321.413092,1353.851152,1676.170775,1709.203105,2292.600672,2561.15669,2664.337708,2837.871159,2836.439821,2999.679738,2549.888924,11.8
614.1930218,622.7597631,844.0192061,869.7716069,1313.671895,1607.240557,1764.290493,2199.158771,2221.825544,2699.645006,2522.236556,2.4
869.0914702,880.9393891,1188.489634,1237.721475,1828.486153,2207.184681,2403.748536,2878.659123,2919.839057,3311.475075,3037.372369,8.725
555.4620984,571.8887482,787.6635544,811.002532,1225.483146,1537.191328,1674.81611,2085.842538,2126.267289,2612.689191,2430.805824,1.775
607.7327145,623.112516,836.7488796,875.199904,1331.904289,1599.15685,1739.403809,2184.040173,2207.169494,2592.536812,2362.127881,4.475
690.984966,710.0889381,940.5945561,960.5921823,1398.732394,1656.762937,1801.480772,2192.93116,2227.524767,2635.919133,2494.204146,3.9
718.6630796,732.6815952,987.9950942,1027.267289,1548.262542,1860.550245,2014.024371,2461.864694,2483.401171,2968.672258,2738.00633,2.175
1033.929103,1055.278525,1327.118531,1322.054914,1839.873239,2069.96376,2177.814686,2393.027694,2401.372053,2650.329957,2194.133091,4.95
1016.756402,1045.606594,1335.215429,1354.532971,1905.732554,2200.628521,2289.18662,2694.445262,2734.670294,3064.466229,2860.710627,9.0
1393.508507,1406.439968,1755.445746,1789.02183,2500.354414,2744.671268,2849.494061,2936.775281,2910.033868,3011.880417,2428.922151,5.775
588.4886364,604.4519481,819.3081169,851.1530844,1276.120617,1555.761039,1689.955195,2101.91737,2141.616071,2582.50487,2231.064286,1.9
727.3004161,749.3476312,975.7620038,1033.898047,1537.84219,1868.68758,1987.7508,2493.426216,2522.051697,2989.456786,2827.337068,1.675
739.3273047,755.93758,1023.597151,1056.417254,1644.409891,2001.0,2178.739277,2738.284411,2791.049296,3250.507362,3037.923816,4.125
844.0704225,860.0641805,1149.483195,1190.060179,1673.613476,1941.838508,2084.099072,2404.252401,2453.369878,2780.385563,2419.369078,4.225
643.7048656,659.3799616,874.4580666,935.4958387,1418.173976,1730.12516,1882.332266,2435.004321,2480.40685,2975.915813,3073.715109,1.65
885.8015365,892.9271767,1159.515845,1178.918534,1589.396447,1834.53137,1960.385403,2163.912772,2154.784251,2467.349072,2003.855154,10.2
924.5997119,941.3385083,1218.090909,1286.611876,1838.497279,2152.319782,2333.059699,2778.176697,2819.422535,3194.548175,2995.192702,6.825
1139.827979,1175.183257,1490.008862,1514.692198,2128.839215,2383.181041,2487.31065,2687.830353,2703.160468,2904.216173,2470.073429,8.55
1055.539853,1091.460467,1370.491997,1423.917894,2010.46767,2276.238636,2331.190141,2543.349552,2523.899008,2703.814981,2045.738956,8.225
613.1330907,635.6470961,845.6751068,881.8409558,1297.360342,1582.178984,1671.24181,2099.267764,2121.70739,2522.85868,2295.021206,2.3
642.4584586,653.645197,886.3763254,922.7365089,1453.110777,1760.008546,1937.901408,2449.035449,2498.149074,2933.434246,2754.081658,2.175
695.8447539,705.2620668,942.3927837,996.5570502,1411.719576,1731.989081,1841.739199,2224.198607,2221.804241,2681.189429,2377.54344,4.625
1030.337881,1049.360353,1333.817978,1375.853291,1922.126645,2204.182183,2355.17496,2682.266453,2667.586356,2969.164205,2692.252809,6.45
1662.587435,1698.875455,2007.313974,2019.00902,2588.687134,2833.29435,2939.997784,2973.428707,2896.54344,3076.467479,2535.761038,6.05
831.693662,858.4444622,1140.860275,1179.199104,1690.632522,1951.196863,2039.825224,2260.975512,2240.18838,2532.253681,2042.703105,4.525
754.837949,775.8787783,1031.65485,1070.308593,1556.745846,1833.26175,1985.57699,2325.211426,2360.927995,2699.648046,2438.577623,3.475
715.5967716,738.4298148,960.74094,999.8680171,1451.523659,1716.303371,1889.541067,2309.889856,2358.611489,2780.011078,2667.067099,3.275
1084.743598,1122.119238,1417.262964,1469.90781,2162.571383,2471.356914,2598.704225,2836.534731,2863.394206,3103.091709,2656.74936,11.2
810.6523184,820.0340244,1097.100649,1124.06615,1665.316031,1883.934325,2054.750119,2383.371261,2442.350214,2776.383288,2464.494857,1.625
705.3583547,724.6627721,962.3903649,1019.778649,1464.430218,1760.916133,1917.007522,2331.511844,2363.8137,2803.56194,2558.211428,2.25
1559.341071,1579.238474,1928.768669,2003.543669,2661.041071,2889.987175,3032.166071,3135.959578,3100.946429,3200.043669,2600.256981,6.45
821.2485595,833.3961268,1102.901729,1144.002881,1730.68806,2021.56226,2177.341709,2587.684699,2622.930218,3009.832746,2736.783451,2.125
1940.50112,1995.073784,2262.126921,2291.877721,2991.462068,3241.31258,3253.994558,3321.390205,3326.464149,3404.505922,2798.415653,7.575
792.0461039,818.2900974,1081.921266,1142.360714,1694.326136,1945.934416,2115.775325,2563.555682,2590.186688,2926.39026,2617.862825,3.0
696.5771447,710.7227913,960.8122599,986.6714149,1461.018406,1745.306978,1898.671895,2335.31402,2394.463028,2871.746799,2779.379161,4.825
641.9547397,661.7939547,892.096376,921.6520019,1396.290078,1744.548663,1861.562906,2389.586327,2405.571451,2899.80978,2655.798544,4.35
743.9414464,763.8639025,1009.970565,1038.55436,1538.752492,1836.408134,2016.708182,2465.810888,2479.925305,2918.314607,2641.433296,2.15
1124.02263,1148.046526,1449.362716,1496.686343,2082.885108,2393.359551,2523.977528,2852.637759,2873.99636,3163.605317,2795.92752,8.125
609.990557,628.1598912,848.3353073,857.371799,1281.707586,1575.78201,1739.912132,2152.222631,2211.713988,2655.485755,2492.872599,1.475
1341.986236,1376.152049,1720.854033,1757.308579,2443.201825,2667.828585,2783.240237,2918.168534,2898.119398,2986.085147,2426.886364,8.375
657.8533931,666.4396607,923.3927657,955.06258,1464.71719,1732.911972,1929.512004,2356.253841,2445.289853,2874.691581,2699.537772,1.325
