b103,b158,TS
2733.34219,2342.364597,8.875
2338.848552,2598.212692,1.65
2150.471351,2038.210467,1.45
2516.460787,2150.12644,8.2
2185.997078,2144.237175,3.875
2354.368254,2303.229941,2.1
2850.600992,2194.993118,11.8
2222.325064,2333.888444,2.4
2921.507201,2832.935275,8.725
2107.128185,2294.44295,1.775
2207.729994,2200.373079,4.475
2204.685235,2334.479348,3.9
2486.478398,2432.006014,2.175
2405.305586,1928.52176,4.95
2702.458707,2729.083387,9.0
2951.894703,2110.866613,5.775
2118.217045,2078.528896,1.9
2519.899008,2723.932939,1.675
2750.132362,2724.488316,4.125
2422.622439,2209.833227,4.225
2457.84267,3060.238956,1.65
2162.557458,1794.925576,10.2
2798.367638,2698.240557,6.825
2693.94113,2181.210635,8.55
2565.423656,1601.050416,8.225
2124.193385,2055.813578,2.3
2467.939231,2672.490742,2.175
2250.163475,2141.736351,4.625
2698.673034,2561.379615,6.45
2975.613388,2163.035132,6.05
2267.435819,1587.703905,4.525
2349.052856,2160.409084,3.475
2334.491059,2334.263491,3.275
2847.542734,2344.121639,11.2
2401.667985,2250.213958,1.625
2363.982714,2293.586588,2.25
3136.890584,2286.278896,6.45
2597.691421,2570.192862,2.125
3296.810339,2572.87356,7.575
2574.527597,2332.507955,3.0
2369.93758,2480.051536,4.825
2415.022788,2489.096851,4.35
2497.391676,2355.463364,2.15
2859.094002,2642.945719,8.125
2165.085627,2374.245038,1.475
2943.477113,1913.173656,8.375
2381.151889,2487.828745,1.325
