b160,b100,b142,b158,b155,b152,b14,b150,b163,b138,TS
2376.273367,2683.955666,3017.650608,2342.364597,2448.389085,2298.674776,654.1446863,2545.721831,2169.052497,3044.341069,8.875
2548.553885,2314.696313,2979.828454,2598.212692,2617.463681,2552.899509,499.3438835,2629.44026,2327.454344,2861.595664,1.65
2130.335147,2090.991997,2724.09235,2038.210467,2046.298656,2014.871959,521.584347,2233.559699,1880.612356,2573.977593,1.45
2266.503361,2481.695743,2887.387324,2150.12644,2390.242157,2123.542894,639.0632202,2385.818182,2104.183259,2763.824744,8.2
2118.810714,2099.931006,2737.782305,2144.237175,2124.645942,2141.032143,365.9993506,2249.10211,1828.964123,2574.922403,3.875
2406.922931,2301.581896,2937.581263,2303.229941,2488.175819,2215.169331,550.6664029,2513.41668,2198.796012,2784.385029,2.1
2306.383643,2823.400128,2966.518886,2194.993118,2310.579065,2220.769366,1044.432778,2452.513764,2162.40765,2816.157971,11.8
2370.636044,2171.332106,2844.857875,2333.888444,2404.994238,2252.819782,440.1174776,2446.737196,2179.576665,2798.330986,2.4
2941.486311,2828.863111,3422.519702,2832.935275,3003.669726,2910.777338,664.7186264,3052.09416,2806.421111,3290.13863,8.725
2228.512581,2051.003798,2741.564172,2294.44295,2259.41668,2136.044786,404.3590758,2337.199557,2127.809147,2673.976579,1.775
2111.78281,2144.649808,2682.435659,2200.373079,2228.302497,2136.442862,435.8902049,2318.774648,1900.401408,2617.617157,4.475
2389.688875,2172.110777,2790.136097,2334.479348,2383.436303,2245.592024,513.2910271,2429.069631,2205.579839,2691.379174,3.9
2523.047318,2429.063934,3078.035923,2432.006014,2715.200032,2502.067416,515.6520019,2729.560373,2473.190378,3009.489318,2.175
1887.313024,2371.238171,2592.462415,1928.52176,2014.964868,1987.786833,850.1492325,2084.542807,1653.725273,2652.680013,4.95
2751.18678,2669.46927,3127.529449,2729.083387,2782.18806,2748.288572,813.7837708,2801.18598,2527.574264,3135.681498,9.0
2155.125201,2924.421188,2878.509952,2110.866613,2375.856982,2172.855377,1078.742857,2315.258266,2042.310433,2793.708828,5.775
2061.610714,2078.486039,2656.01461,2078.528896,2044.153734,2006.527435,423.6983766,2162.91461,1823.953409,2542.688799,1.9
