b110,b91,b104,b126,b53,b160,b142,b152,b153,b124,b145,b131,b140,b14,b138,TS
2648.254161,2562.490397,2729.358995,3020.471831,1614.316741,2376.273367,3017.650608,2298.674776,2234.233675,3019.416453,2958.143406,3176.982875,3042.761204,654.1446863,3044.341069,8.875
2318.405919,2133.595664,2348.289128,2828.687292,1209.377433,2548.553885,2979.828454,2552.899509,2563.526982,2767.008704,3018.592024,2931.377433,2930.978794,499.3438835,2861.595664,1.65
2085.455826,1927.709987,2152.12484,2539.90573,1144.908451,2130.335147,2724.09235,2014.871959,1969.869078,2528.960307,2635.059859,2725.492478,2607.954545,521.584347,2573.977593,1.45
2425.399648,2363.109475,2518.171255,2821.131082,1550.771607,2266.503361,2887.387324,2123.542894,2098.948464,2790.131402,2837.705026,2987.673496,2850.6242,639.0632202,2763.824744,8.2
2139.175487,1929.493344,2182.691883,2601.993831,1000.144318,2118.810714,2737.782305,2141.032143,2105.840584,2556.157468,2661.075974,2721.755682,2662.180195,365.9993506,2574.922403,3.875
2276.929736,2104.037348,2378.316664,2763.949834,1251.906156,2406.922931,2937.581263,2215.169331,2226.877671,2754.796487,2885.416838,2977.799494,2836.419687,550.6664029,2784.385029,2.1
2707.833067,2750.423335,2850.18822,3000.201985,2032.628681,2306.383643,2966.518886,2220.769366,2174.661652,3019.175896,2871.881082,3172.683099,2872.631722,1044.432778,2816.157971,11.8
2231.476953,1991.172055,2219.629481,2687.40701,1090.088348,2370.636044,2844.857875,2252.819782,2214.290013,2649.277049,2797.040653,2831.256722,2802.794654,440.1174776,2798.330986,2.4
2887.459883,2694.02532,2929.133882,3296.780503,1564.842064,2941.486311,3422.519702,2910.777338,2824.721633,3281.816268,3394.078968,3560.125495,3373.125178,664.7186264,3290.13863,8.725
2081.052065,1941.44295,2129.203671,2585.683336,1058.438994,2228.512581,2741.564172,2136.044786,2169.702326,2539.932584,2732.206837,2721.631113,2731.333914,404.3590758,2673.976579,1.775
2135.457907,1994.864117,2212.339949,2565.132843,1101.056178,2111.78281,2682.435659,2136.442862,2125.142926,2569.542894,2719.887484,2683.608995,2672.458387,435.8902049,2617.617157,4.475
2194.119639,2010.697579,2215.111885,2622.350688,1188.143377,2389.688875,2790.136097,2245.592024,2183.555626,2611.264124,2768.589967,2832.862003,2695.966767,513.2910271,2691.379174,3.9
2434.501978,2267.333281,2488.727805,2947.335021,1314.040354,2523.047318,3078.035923,2502.067416,2395.13499,2942.611014,3092.970565,3119.243076,3079.499921,515.6520019,3009.489318,2.175
2334.944453,2300.029435,2405.170597,2639.462257,1629.850609,1887.313024,2592.462415,1987.786833,1986.259376,2583.330749,2626.329008,2719.358443,2689.917392,850.1492325,2652.680013,4.95
2662.623399,2518.454065,2716.12612,3066.552177,1665.208867,2751.18678,3127.529449,2748.288572,2740.24888,2990.739597,3141.168214,3145.650928,3177.976472,813.7837708,3135.681498,9.0
2778.703531,2853.400482,2941.979615,3013.867737,2232.785714,2155.125201,2878.509952,2172.855377,2168.969181,3016.144462,2902.14366,3124.862279,2843.695666,1078.742857,2793.708828,5.775
2117.77711,1965.588799,2129.009416,2545.839773,1080.496916,2061.610714,2656.01461,2006.527435,1980.630682,2516.936039,2646.200812,2662.839935,2574.191071,423.6983766,2542.688799,1.9
2467.004481,2256.704225,2518.678617,2973.515365,1323.517606,2732.888764,3187.819782,2699.216869,2671.366837,2954.706306,3154.319942,3139.728393,3118.273688,558.8778809,3000.995198,1.675
2782.403649,2521.865557,2765.752561,3240.064661,1361.957426,2905.548015,3406.113796,2821.197023,2726.204225,3177.795935,3370.689981,3464.883163,3386.794014,563.5680218,3344.271927,4.125
