variant,band,count,frequency
HHO,b59,10,0.25
HHO,b71,9,0.225
HHO,b58,8,0.2
HHO,b99,6,0.15
HHO,b91,6,0.15
HHO,b31,6,0.15
HHO,b141,5,0.125
HHO,b23,5,0.125
HHO,b24,5,0.125
HHO,b66,4,0.1
HHO,b20,4,0.1
HHO,b56,4,0.1
HHO,b65,4,0.1
HHO,b36,4,0.1
HHO,b33,4,0.1
HHO,b70,4,0.1
HHO,b106,4,0.1
HHO,b78,4,0.1
HHO,b30,3,0.075
HHO,b104,3,0.075
HHO,b53,3,0.075
HHO,b72,3,0.075
HHO,b98,3,0.075
HHO,b152,3,0.075
HHO,b162,3,0.075
HHO,b25,3,0.075
HHO,b64,3,0.075
HHO,b21,3,0.075
HHO,b135,3,0.075
HHO,b120,3,0.075
HHO,b32,3,0.075
HHO,b161,3,0.075
HHO,b28,3,0.075
HHO,b85,2,0.05
HHO,b159,2,0.05
HHO,b60,2,0.05
HHO,b94,2,0.05
HHO,b79,2,0.05
HHO,b147,2,0.05
HHO,b157,2,0.05
HHO,b37,2,0.05
HHO,b62,2,0.05
HHO,b133,2,0.05
HHO,b81,2,0.05
HHO,b82,2,0.05
HHO,b136,2,0.05
HHO,b57,2,0.05
HHO,b16,2,0.05
HHO,b75,2,0.05
HHO,b80,2,0.05
HHO,b92,2,0.05
HHO,b145,2,0.05
HHO,b107,2,0.05
HHO,b158,2,0.05
HHO,b26,2,0.05
HHO,b127,2,0.05
HHO,b69,2,0.05
HHO,b73,2,0.05
HHO,b74,2,0.05
HHO,b22,2,0.05
HHO,b54,2,0.05
HHO,b112,2,0.05
HHO,b105,2,0.05
HHO,b144,2,0.05
HHO,b55,1,0.025
HHO,b18,1,0.025
HHO,b100,1,0.025
HHO,b118,1,0.025
HHO,b154,1,0.025
HHO,b156,1,0.025
HHO,b40,1,0.025
HHO,b137,1,0.025
HHO,b96,1,0.025
HHO,b138,1,0.025
HHO,b29,1,0.025
HHO,b35,1,0.025
HHO,b76,1,0.025
HHO,b84,1,0.025
HHO,b151,1,0.025
HHO,b67,1,0.025
HHO,b113,1,0.025
HHO,b142,1,0.025
HHO,b49,1,0.025
HHO,b27,1,0.025
HHO,b131,1,0.025
HHO,b103,1,0.025
HHO,b86,1,0.025
HHO,b97,1,0.025
HHO,b50,1,0.025
HHO,b93,1,0.025
HHO,b126,1,0.025
HHO,b77,1,0.025
HHO,b125,1,0.025
HHO,b88,1,0.025
HHO,b95,1,0.025
HHO,b109,1,0.025
HHO,b14,1,0.025
HHO,b61,1,0.025
HHO,b146,1,0.025
HHO,b102,1,0.025
HHO,b139,1,0.025
HHO,b68,1,0.025
HHO,b45,1,0.025
HHO,b51,1,0.025
HHO,b52,1,0.025
HHO,b83,1,0.025
HHO,b134,1,0.025
HHO,b160,1,0.025
MSHHO_I1,b25,10,0.25
MSHHO_I1,b58,9,0.225
