variant,band_name,count,frequency
HHO,b21,2,0.4
HHO,b39,2,0.4
HHO,b122,1,0.2
HHO,b22,1,0.2
HHO,b40,1,0.2
HHO,b44,1,0.2
HHO,b62,1,0.2
HHO,b71,1,0.2
HHO,b104,1,0.2
HHO,b32,1,0.2
HHO,b49,1,0.2
HHO,b54,1,0.2
HHO,b29,1,0.2
HHO,b106,1,0.2
HHO,b99,1,0.2
HHO,b26,1,0.2
HHO,b50,1,0.2
HHO,b31,1,0.2
HHO,b48,1,0.2
HHO,b110,1,0.2
HHO,b55,1,0.2
HHO,b47,1,0.2
HHO,b20,1,0.2
+SCI,b43,2,0.4
+SCI,b23,2,0.4
+SCI,b37,2,0.4
+SCI,b29,2,0.4
+SCI,b65,1,0.2
+SCI,b17,1,0.2
+SCI,b30,1,0.2
+SCI,b46,1,0.2
+SCI,b107,1,0.2
+SCI,b25,1,0.2
+SCI,b62,1,0.2
+SCI,b71,1,0.2
+SCI,b18,1,0.2
+SCI+SDGE,b106,2,0.4
+SCI+SDGE,b44,1,0.2
+SCI+SDGE,b37,1,0.2
+SCI+SDGE,b17,1,0.2
+SCI+SDGE,b101,1,0.2
+SCI+SDGE,b30,1,0.2
+SCI+SDGE,b46,1,0.2
+SCI+SDGE,b107,1,0.2
+SCI+SDGE,b29,1,0.2
+SCI+SDGE,b70,1,0.2
+SCI+SDGE,b25,1,0.2
+SCI+SDGE,b71,1,0.2
+SCI+SDGE,b105,1,0.2
+SCI+SDGE,b38,1,0.2
+SCI+SDGE+RSC,b79,1,0.2
+SCI+SDGE+RSC,b44,1,0.2
+SCI+SDGE+RSC,b23,1,0.2
+SCI+SDGE+RSC,b17,1,0.2
+SCI+SDGE+RSC,b21,1,0.2
+SCI+SDGE+RSC,b22,1,0.2
+SCI+SDGE+RSC,b30,1,0.2
+SCI+SDGE+RSC,b96,1,0.2
+SCI+SDGE+RSC,b107,1,0.2
+SCI+SDGE+RSC,b34,1,0.2
+SCI+SDGE+RSC,b63,1,0.2
+SCI+SDGE+RSC,b24,1,0.2
+SCI+SDGE+RSC,b41,1,0.2
+SCI+SDGE+RSC,b71,1,0.2
+SCI+SDGE+RSC,b105,1,0.2
+SCI+SDGE+RSC,b38,1,0.2
SSAHHO,b43,2,0.4
SSAHHO,b78,1,0.2
SSAHHO,b23,1,0.2
SSAHHO,b17,1,0.2
SSAHHO,b21,1,0.2
SSAHHO,b22,1,0.2
SSAHHO,b28,1,0.2
SSAHHO,b96,1,0.2
SSAHHO,b107,1,0.2
SSAHHO,b31,1,0.2
SSAHHO,b63,1,0.2
SSAHHO,b24,1,0.2
SSAHHO,b73,1,0.2
SSAHHO,b105,1,0.2
SSAHHO,b39,1,0.2
