variant,band_name,count,frequency
HHO,b53,10,0.333
HHO,b107,7,0.233
HHO,b42,6,0.2
HHO,b105,4,0.133
HHO,b40,4,0.133
HHO,b49,4,0.133
HHO,b23,4,0.133
HHO,b56,3,0.1
HHO,b38,3,0.1
HHO,b106,3,0.1
HHO,b46,3,0.1
HHO,b100,3,0.1
HHO,b22,3,0.1
HHO,b96,3,0.1
HHO,b39,3,0.1
HHO,b45,2,0.067
HHO,b71,2,0.067
HHO,b72,2,0.067
HHO,b44,2,0.067
HHO,b21,2,0.067
HHO,b69,2,0.067
HHO,b65,2,0.067
HHO,b99,2,0.067
HHO,b32,2,0.067
HHO,b24,2,0.067
HHO,b26,2,0.067
HHO,b29,2,0.067
HHO,b17,1,0.033
HHO,b43,1,0.033
HHO,b34,1,0.033
HHO,b15,1,0.033
HHO,b51,1,0.033
HHO,b28,1,0.033
HHO,b95,1,0.033
HHO,b101,1,0.033
HHO,b27,1,0.033
HHO,b47,1,0.033
HHO,b102,1,0.033
HHO,b20,1,0.033
HHO,b104,1,0.033
HHO,b103,1,0.033
HHO,b55,1,0.033
HHO,b54,1,0.033
HHO,b31,1,0.033
HHO,b41,1,0.033
HHO,b62,1,0.033
HHO,b70,1,0.033
HHO,b37,1,0.033
+SCI+SDGE,b62,5,0.167
+SCI+SDGE,b38,4,0.133
+SCI+SDGE,b21,4,0.133
+SCI+SDGE,b24,4,0.133
+SCI+SDGE,b53,4,0.133
+SCI+SDGE,b49,4,0.133
+SCI+SDGE,b99,3,0.1
+SCI+SDGE,b106,3,0.1
+SCI+SDGE,b31,3,0.1
+SCI+SDGE,b54,3,0.1
+SCI+SDGE,b43,3,0.1
+SCI+SDGE,b96,3,0.1
+SCI+SDGE,b103,3,0.1
+SCI+SDGE,b23,3,0.1
+SCI+SDGE,b18,3,0.1
+SCI+SDGE,b104,3,0.1
+SCI+SDGE,b45,3,0.1
+SCI+SDGE,b44,3,0.1
+SCI+SDGE,b107,3,0.1
+SCI+SDGE,b41,2,0.067
+SCI+SDGE,b48,2,0.067
+SCI+SDGE,b100,2,0.067
+SCI+SDGE,b64,2,0.067
+SCI+SDGE,b22,2,0.067
+SCI+SDGE,b46,2,0.067
+SCI+SDGE,b77,2,0.067
+SCI+SDGE,b52,2,0.067
+SCI+SDGE,b55,2,0.067
+SCI+SDGE,b34,2,0.067
+SCI+SDGE,b25,2,0.067
+SCI+SDGE,b17,2,0.067
+SCI+SDGE,b40,2,0.067
+SCI+SDGE,b39,2,0.067
+SCI+SDGE,b111,2,0.067
+SCI+SDGE,b37,2,0.067
+SCI+SDGE,b47,2,0.067
+SCI+SDGE,b26,2,0.067
+SCI+SDGE,b28,1,0.033
+SCI+SDGE,b70,1,0.033
+SCI+SDGE,b105,1,0.033
+SCI+SDGE,b15,1,0.033
+SCI+SDGE,b84,1,0.033
+SCI+SDGE,b73,1,0.033
+SCI+SDGE,b42,1,0.033
+SCI+SDGE,b72,1,0.033
+SCI+SDGE,b69,1,0.033
+SCI+SDGE,b65,1,0.033
+SCI+SDGE,b83,1,0.033
+SCI+SDGE,b94,1,0.033
+SCI+SDGE,b36,1,0.033
+SCI+SDGE,b78,1,0.033
+SCI+SDGE,b29,1,0.033
+SCI+SDGE,b56,1,0.033
+SCI+SDGE,b95,1,0.033
+SCI+SDGE,b63,1,0.033
+SCI+SDGE,b81,1,0.033
+SCI+SDGE,b50,1,0.033
