variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
HHO,0,42,42,0.48730455994888244,2.1026338065535013,0.3635830470418594,2.5070772589593044,3,"b105,b17,b56",6.244647026062012,success,
HHO,1,42,42,0.437380171637636,2.2026294030328573,0.30362669650232355,2.62251453736351,3,"b43,b107,b38",6.063791275024414,success,
HHO,2,42,42,0.439166002434212,2.199130904073744,0.3141664405226886,2.6025927386805185,3,"b45,b106,b46",6.005274772644043,success,
HHO,3,42,42,0.4374584427629712,2.202476183869661,0.31443928989959524,2.6020749844537368,3,"b45,b105,b40",6.212337017059326,success,
HHO,4,42,42,0.4440490752065195,2.189536270771118,0.32045827926756487,2.5906271362715145,4,"b49,b71,b100,b34",7.096626043319702,success,
HHO,5,42,42,0.48693544987773074,2.103390555703764,0.3566811915972019,2.520635056200375,5,"b53,b72,b15,b51,b28",6.580968856811523,success,
HHO,6,42,42,0.5096953883636839,2.0562073368527294,0.3503170482055914,2.5330722832607995,6,"b42,b22,b95,b100,b56,b44",6.090327024459839,success,
HHO,7,42,42,0.5661342324293211,1.9342455572829675,0.31825912134946,2.594815691645509,3,"b42,b21,b23",6.810428857803345,success,
HHO,8,42,42,0.43834072830516657,2.200748333369632,0.32121089781339307,2.589192129321532,4,"b49,b69,b101,b27",6.309382915496826,success,
HHO,9,42,42,0.43548315944384386,2.206339633645602,0.31393244649319296,2.6030366796471767,3,"b53,b107,b56",6.892661094665527,success,
HHO,10,42,42,0.5029045869906343,2.070397779614872,0.32189475260233313,2.587887543244986,12,"b47,b72,b65,b71,b96,b102,b99,b21,b20,b22,b40,b38",6.24045991897583,success,
HHO,11,42,42,0.4368808879340257,2.2036065220703387,0.3174701583675248,2.596316717646725,3,"b53,b104,b38",6.029762029647827,success,
HHO,12,42,42,0.43841902523352705,2.2005949326791314,0.3210064015485671,2.589582118086111,3,"b53,b103,b40",6.243343114852905,success,
HHO,13,42,42,0.4361006691817295,2.205132575770689,0.3153821143879011,2.600285103527307,3,"b65,b107,b32",6.411849021911621,success,
HHO,14,42,42,0.5609037382910931,1.9458698331821882,0.3129520543608718,2.6048958884206863,3,"b22,b23,b42",6.827761173248291,success,
HHO,15,42,42,0.4798515122983227,2.117861646097249,0.3496708572121062,2.5343316988575864,3,"b53,b24,b55",6.382548093795776,success,
HHO,16,42,42,0.4327405110778001,2.2116927793389327,0.3230667093620724,2.5856502770772862,3,"b49,b26,b39",6.2889463901519775,success,
HHO,17,42,42,0.43445385476600984,2.2083501683963354,0.3200262654807815,2.5914504917645913,3,"b49,b105,b29",6.3198630809783936,success,
HHO,18,42,42,0.4347045928417397,2.207860571867848,0.3092218166247669,2.6119577882125644,3,"b53,b107,b40",6.4168291091918945,success,
HHO,19,42,42,0.44036854578406726,2.196771944566732,0.30954351228211296,2.6113495225294034,3,"b44,b107,b46",6.157895088195801,success,
HHO,20,42,42,0.4363482614552313,2.2046484168955627,0.3126350192794086,2.605496827654263,3,"b53,b107,b42",6.059112071990967,success,
HHO,21,42,42,0.4413884799884862,2.194769211676771,0.3239229873895697,2.584014417128624,3,"b54,b100,b32",6.429832935333252,success,
HHO,22,42,42,0.5280991043484703,2.01724810520985,0.33290144905066854,2.566798910142582,3,"b46,b23,b31",6.427863836288452,success,
HHO,23,42,42,0.4349835199742056,2.207315805189334,0.31664023353201143,2.5978947388356084,3,"b53,b105,b39",6.980109214782715,success,
HHO,24,42,42,0.524799447495661,2.024288388000466,0.2626804294719258,2.698514327779812,3,"b23,b53,b42",6.496406078338623,success,
HHO,25,42,42,0.41322137292405636,2.24942262344593,0.29644510283319236,2.636002651323702,3,"b96,b106,b29",6.138963222503662,success,
HHO,26,42,42,0.4323720803557488,2.212410901570367,0.3068313439881494,2.6164732906846146,3,"b69,b106,b41",5.996718883514404,success,
HHO,27,42,42,0.511158231118082,2.0531376584952636,0.2997689754063363,2.6297685181032144,3,"b42,b24,b39",6.317193031311035,success,
HHO,28,42,42,0.5647647503801221,1.937295841216765,0.1927257869722495,2.823627399802265,5,"b62,b70,b96,b99,b26",6.969550848007202,success,
HHO,29,42,42,0.43464301913051206,2.2079808120695588,0.30976087248008055,2.6109384552589634,3,"b53,b107,b37",5.988173007965088,success,
+SCI+SDGE,0,42,42,0.44268568677979236,2.1922193857139085,0.3236584827818513,2.5845198454078555,3,"b62,b99,b41",6.002367973327637,success,
+SCI+SDGE,1,42,42,0.43912611298452753,2.1992091095339785,0.3232254107936685,2.5853471671108705,3,"b48,b100,b28",6.389082193374634,success,
