variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
λ=0.1,0,42,42,0.49869865281170433,2.0791381688071535,0.363370687596272,2.50749550452048,15,"b57,b53,b68,b43,b63,b64,b70,b104,b96,b99,b100,b19,b16,b24,b52",4.803088903427124,success,
λ=0.1,1,42,42,0.43426694825877765,2.2087150554379447,0.3092167964057103,2.6119672793753974,4,"b48,b72,b109,b28",4.76491904258728,success,
λ=0.1,2,42,42,0.4348553741267025,2.2075661008252117,0.3101879046728633,2.6101306719627617,3,"b64,b106,b38",4.547921895980835,success,
λ=0.1,3,42,42,0.4304140508934161,2.2162234663108826,0.32295113693099387,2.585870990948873,4,"b62,b71,b22,b23",4.718421936035156,success,
λ=0.1,4,42,42,0.5034654883957999,2.0692293753551265,0.354168514599401,2.5255528118281556,20,"b49,b73,b80,b62,b47,b67,b65,b70,b83,b19,b18,b95,b97,b100,b20,b24,b55,b38,b42,b45",4.944482088088989,success,
λ=0.1,5,42,42,0.44770010771104474,2.1823348833448724,0.3294805985190864,2.5733717077451974,4,"b46,b82,b51,b45",4.596037149429321,success,
λ=0.1,6,42,42,0.4343382313686862,2.2085759005508283,0.32245173495773605,2.5868245048652403,18,"b77,b48,b47,b64,b121,b103,b96,b105,b100,b21,b20,b24,b50,b53,b55,b35,b33,b39",5.039942979812622,success,
λ=0.1,7,42,42,0.5230097279268028,2.028096783996968,0.4083512367047373,2.4172904044842025,21,"b53,b48,b72,b55,b82,b23,b110,b96,b103,b106,b99,b100,b16,b25,b24,b51,b31,b32,b29,b38,b42",5.120588779449463,success,
λ=0.1,8,42,42,0.43433516348870227,2.2085818896745297,0.3124412040750626,2.6058641356506036,3,"b53,b106,b38",4.87202000617981,success,
λ=0.1,9,42,42,0.4798515122983227,2.117861646097249,0.3496708572121062,2.5343316988575864,3,"b53,b24,b55",4.551670074462891,success,
λ=0.1,10,42,42,0.5461488939331254,1.9782930009323731,0.30625109318523613,2.6175681852130177,3,"b20,b23,b42",4.295740365982056,success,
λ=0.1,11,42,42,0.43433516348870227,2.2085818896745297,0.3124412040750626,2.6058641356506036,3,"b53,b106,b38",4.739917993545532,success,
λ=0.1,12,42,42,0.49664637361394126,2.083389717113313,0.20323358284772486,2.8051904902710105,4,"b57,b71,b84,b25",4.358669996261597,success,
