window_length,polyorder,best_n_components,RMSECV
11,2,2,2.670337733309878
13,4,2,2.6729944139915323
17,3,2,2.6911039765445746
25,4,2,2.6960952066180663
19,1,2,2.696994588550901
15,3,2,2.697162689480805
21,1,2,2.698925668550604
11,4,2,2.699661422008772
9,4,2,2.7042916855452437
17,1,2,2.7059557681404773
21,4,2,2.7081504015460953
13,1,2,2.7084105254605864
15,1,2,2.7088277372026988
19,3,2,2.7090449050083723
11,1,2,2.7107208807869934
25,2,2,2.7147410178269924
19,4,1,2.7148117604511133
9,3,3,2.7148470577880106
13,2,2,2.7152366171164477
25,1,3,2.715290653088581
21,3,2,2.7175391923849426
21,2,1,2.718800326731387
13,3,1,2.7197446096593136
19,2,1,2.7207131038095933
17,4,1,2.7229869617504314
17,2,1,2.7236268328947855
15,2,2,2.7268088475623085
25,3,1,2.728358568356607
7,4,2,2.728941304391348
9,2,1,2.7302175289308197
5,3,1,2.731710176792316
15,4,2,2.7337082624852442
11,3,2,2.7338248764528195
9,1,1,2.7345164741295425
5,4,1,2.7347425315300598
5,1,1,2.7373503359533884
5,2,1,2.737876418229525
7,1,1,2.738953508860858
7,3,1,2.7415645086279685
7,2,1,2.7428769342492325
